Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																																					1.598095	0.685003	0.000007																																																																																																							-2.283105	
 1 	 2																																																																																																																					1.638417	0.644681	0.000007																																																																																																							-2.283105	
 1 	 3																																																																																																																					1.666168	0.616930	0.000007																																																																																																							-2.283105	
 1 	 4																																																																																																																					1.621886	0.661212	0.000007																																																																																																							-2.283105	
 1 	 5																																																																																																																					1.663534	0.619564	0.000007																																																																																																							-2.283105	
 1 	 6																																																																																																																					1.669824	0.613275	0.000007																																																																																																							-2.283105	
 1 	 7																																																																																																																					1.678816	0.604282	0.000007																																																																																																							-2.283105	
 1 	 8																																																																																																																					1.674403	0.608695	0.000007																																																																																																							-2.283105	
 1 	 9																																																																																																																					1.672314	0.610785	0.000007																																																																																																							-2.283105	
 1 	 10																																																																																																																					1.671247	0.611852	0.000007																																																																																																							-2.283105	
 1 	 11																																																																																																																					1.671805	0.611293	0.000007																																																																																																							-2.283105	
 1 	 12																																																																																																																					1.672142	0.610956	0.000007																																																																																																							-2.283105	
 1 	 13																																																																																																																					1.670430	0.612668	0.000007																																																																																																							-2.283105	
 1 	 14																																																																																																																					1.670636	0.612462	0.000007																																																																																																							-2.283105	
 1 	 15																																																																																																																					1.673540	0.609558	0.000007																																																																																																							-2.283105	
 1 	 16																																																																																																																					1.675904	0.607194	0.000007																																																																																																							-2.283105	
 1 	 17																																																																																																																					1.676501	0.606597	0.000007																																																																																																							-2.283105	
 1 	 18																																																																																																																					1.671327	0.611772	0.000007																																																																																																							-2.283105	
 1 	 19																																																																																																																					1.669402	0.613697	0.000007																																																																																																							-2.283105	
 1 	 20																																																																																																																					1.664017	0.619081	0.000007																																																																																																							-2.283105	
 1 	 21																																																																																																																					1.662247	0.620852	0.000007																																																																																																							-2.283105	
 1 	 22																																																																																																																					1.660917	0.622181	0.000007																																																																																																							-2.283105	
 1 	 23																																																																																																																					1.630645	0.652454	0.000007																																																																																																							-2.283105	
 1 	 24																																																																																																																					1.609288	0.673811	0.000007																																																																																																							-2.283105	
 2 	 1																																																																																																																					1.531727	0.751369	0.000008																																																																																																							-2.283105	
 2 	 2																																																																																																																					1.574211	0.708886	0.000009																																																																																																							-2.283105	
 2 	 3																																																																																																																					1.604814	0.678282	0.000009																																																																																																							-2.283105	
 2 	 4																																																																																																																					1.547112	0.735986	0.000008																																																																																																							-2.283105	
 2 	 5																																																																																																																					1.601824	0.681273	0.000008																																																																																																							-2.283105	
 2 	 6																																																																																																																					1.609269	0.673828	0.000008																																																																																																							-2.283105	
 2 	 7																																																																																																																					1.620525	0.662572	0.000008																																																																																																							-2.283105	
 2 	 8																																																																																																																					1.613968	0.669129	0.000008																																																																																																							-2.283105	
 2 	 9																																																																																																																					1.612087	0.671010	0.000008																																																																																																							-2.283105	
 2 	 10																																																																																																																					1.612565	0.670533	0.000008																																																																																																							-2.283105	
 2 	 11																																																																																																																					1.615128	0.667969	0.000008																																																																																																							-2.283105	
 2 	 12																																																																																																																					1.616932	0.666165	0.000008																																																																																																							-2.283105	
 2 	 13																																																																																																																					1.614948	0.668149	0.000008																																																																																																							-2.283105	
 2 	 14																																																																																																																					1.614590	0.668507	0.000008																																																																																																							-2.283105	
 2 	 15																																																																																																																					1.614741	0.668356	0.000008																																																																																																							-2.283105	
 2 	 16																																																																																																																					1.616646	0.666451	0.000008																																																																																																							-2.283105	
 2 	 17																																																																																																																					1.617518	0.665579	0.000008																																																																																																							-2.283105	
 2 	 18																																																																																																																					1.608256	0.674841	0.000008																																																																																																							-2.283105	
 2 	 19																																																																																																																					1.603639	0.679458	0.000008																																																																																																							-2.283105	
 2 	 20																																																																																																																					1.600115	0.682982	0.000008																																																																																																							-2.283105	
 2 	 21																																																																																																																					1.596783	0.686314	0.000008																																																																																																							-2.283105	
 2 	 22																																																																																																																					1.593566	0.689531	0.000008																																																																																																							-2.283105	
 2 	 23																																																																																																																					1.581549	0.701548	0.000008																																																																																																							-2.283105	
 2 	 24																																																																																																																					1.534591	0.748506	0.000008																																																																																																							-2.283105	
 3 	 1																																																																																																																					1.768816	0.514285	0.000004																																																																																																							-2.283105	
 3 	 2																																																																																																																					1.803786	0.479315	0.000004																																																																																																							-2.283105	
 3 	 3																																																																																																																					1.827519	0.455581	0.000004																																																																																																							-2.283105	
 3 	 4																																																																																																																					1.758425	0.524676	0.000004																																																																																																							-2.283105	
 3 	 5																																																																																																																					1.810083	0.473018	0.000004																																																																																																							-2.283105	
 3 	 6																																																																																																																					1.819290	0.463811	0.000004																																																																																																							-2.283105	
 3 	 7																																																																																																																					1.835008	0.448093	0.000004																																																																																																							-2.283105	
 3 	 8																																																																																																																					1.829013	0.454088	0.000004																																																																																																							-2.283105	
 3 	 9																																																																																																																					1.828409	0.454692	0.000004																																																																																																							-2.283105	
 3 	 10																																																																																																																					1.828473	0.454628	0.000004																																																																																																							-2.283105	
 3 	 11																																																																																																																					1.829107	0.453994	0.000004																																																																																																							-2.283105	
 3 	 12																																																																																																																					1.828807	0.454294	0.000004																																																																																																							-2.283105	
 3 	 13																																																																																																																					1.828858	0.454243	0.000004																																																																																																							-2.283105	
 3 	 14																																																																																																																					1.829293	0.453808	0.000004																																																																																																							-2.283105	
 3 	 15																																																																																																																					1.832232	0.450869	0.000004																																																																																																							-2.283105	
 3 	 16																																																																																																																					1.833402	0.449699	0.000004																																																																																																							-2.283105	
 3 	 17																																																																																																																					1.832442	0.450659	0.000004																																																																																																							-2.283105	
