TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.797591	6175.859109	60.000000	0.000000	60.000000	60.000000	0.000000	0.355195	1.000000	0.843906	0.843906	0.052828	42472.799648
CCGT	4511.302752	114.256650	25.000000	4.000000	5.461890	Infinity	0.000000	0.002078	1.000000	0.054224	0.955769	0.070952	1003.840783
CCGT_AMMONIA	0.025177	0.000638	25.000000	0.000000	0.000030	Infinity	0.000000	0.000000	1.000000	0.019204	0.590000	0.070952	0.005602
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.999991	2927.868072	25.000000	0.000000	210.000000	210.000000	0.000000	0.218148	1.000000	0.148085	1.000000	0.070952	267749.999883
WIND_ONSHORE	85646.999004	996.141165	30.000000	0.000000	74.999999	75.000000	0.000000	0.137493	1.000000	0.261336	1.000000	0.065051	46713.749457
WIND_OFFSHORE	321437.994699	2236.403040	30.000000	0.000000	59.999999	60.000000	0.000000	0.212786	1.000000	0.505557	1.000000	0.065051	37370.999384
HYDRO_RIVER	110988.235184	1109.785512	80.000000	0.000000	21.999999	22.000000	0.000000	0.074299	1.000000	0.481437	1.000000	0.051030	27782.038794
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.038220	0.002457	25.000000	0.000000	0.000025	Infinity	0.000000	0.000000	1.000000	0.040728	0.844900	0.070952	0.025619
IND_COGEN_WOOD	0.020723	0.000759	25.000000	0.000000	0.000018	Infinity	0.000000	0.000000	1.000000	0.008595	0.844900	0.070952	0.002921
IND_COGEN_WASTE	0.040137	0.001480	25.000000	0.000000	0.000013	Infinity	0.000000	0.000000	1.000000	0.047607	0.844900	0.070952	0.008169
IND_BOILER_GAS	0.019994	0.000401	17.000000	0.000000	0.000283	Infinity	0.000000	0.000000	1.000000	0.031593	0.944300	0.088699	0.003486
IND_BOILER_WOOD	0.018559	0.000371	17.000000	0.000000	0.000134	Infinity	0.000000	0.000000	1.000000	0.011564	0.894600	0.088699	0.003876
IND_BOILER_OIL	0.018907	0.000407	17.000000	0.000000	0.000287	Infinity	0.000000	0.000000	1.000000	0.003807	0.944300	0.088699	0.003539
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.894600	0.088699	0.000000
IND_BOILER_WASTE	2214.116822	44.280795	17.000000	0.000000	16.018788	Infinity	0.000000	0.359204	1.000000	0.492024	0.894600	0.088699	462.462398
IND_DIRECT_ELEC	9225.313454	41.849840	15.000000	0.000000	23.793138	Infinity	0.000000	0.640795	1.000000	0.590939	0.944300	0.096342	34.975913
DHN_HP_ELEC	9569.806705	324.499968	25.000000	0.000000	24.182667	Infinity	0.000000	0.999998	1.000000	0.743453	0.944300	0.070952	4226.888318
DHN_COGEN_GAS	0.048227	0.001410	25.000000	0.000000	0.000035	Infinity	0.000000	0.000000	1.000000	0.033065	0.844900	0.070952	0.017388
DHN_COGEN_WOOD	0.022993	0.000842	25.000000	0.000000	0.000020	Infinity	0.000000	0.000000	1.000000	0.007024	0.844900	0.070952	0.003241
DHN_COGEN_WASTE	0.031292	0.001154	25.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.022347	0.844900	0.070952	0.006369
