Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1	0.000000																						-0.000000																																						50.634360	3.999993	0.000001			0.000000	11.430252	22.347130	7.734760		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.020190					-0.052333						-0.000000	-0.744419						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000002	1.173295	-0.000004	0.000007	-6.225456	0.744424	-0.000004	0.000000																																															-36.107925	
 1 	 2	0.000000																						-0.000000																																						50.634360	3.999993	0.000001			0.000000	9.711068	21.757978	7.734760		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.008083					-0.020951						-0.000000	-0.298021						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917155		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000001	0.409511	-0.000004	0.000007	-4.512301	0.298026	-0.000004	0.000000																																															-34.792448	
 1 	 3	0.000000																						-0.000000																																						50.634360	3.999995	0.000000			0.000000	8.510736	21.911796	7.734138		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528490		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.004024					-0.010431						-0.000000	-0.148377						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917155		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000001	0.173206	-0.000004	0.000007	-3.602219	0.148381	-0.000004	0.000000																																															-34.433670	
 1 	 4	0.000000																						-0.000000																																						50.634360	3.999993	0.000001			0.000000	8.301646	22.119305	7.734138		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.048498					-0.125707						-0.000000	-1.788128						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000002	0.133025	-0.000004	0.000007	-3.916717	1.788133	-0.000004	0.000001																																															-33.917658	
 1 	 5	0.000000																						-0.000000																																						50.634360	3.999993	0.000001			0.000000	8.549457	22.482083	7.734138		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.129328					-0.335219						-0.000001	-4.768342						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000002	0.212929	-0.000004	0.000007	-4.700920	4.768347	-0.000004	0.000001																																															-33.533606	
 1 	 6	0.000000																						-0.000000																																						50.634360	3.999993	0.000001			0.000000	8.913428	22.329716	7.734138		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.323321					-0.838048						-0.000003	-11.920856						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000002	0.201547	-0.000004	0.000007	-4.297563	11.920861	-0.000004	0.000003																																															-33.440364	
 1 	 7	0.000000																						-0.000000																																						50.634360	3.999990	0.000001			0.000000	8.712082	21.929209	7.733517		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.626349					-1.623496						-0.000005	-23.093488						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000002	0.201790	-0.000004	0.000006	-2.016045	23.093494	-0.000004	0.000006																																															-34.031173	
 1 	 8	0.000000																						-0.000000																																						50.634360	3.999984	0.000000			0.000000	8.642385	20.630464	7.733517		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528490		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.545529					-1.414011						-0.000005	-20.113654						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000002	0.437836	-0.000004	0.000004	-0.000015	20.113664	-0.000004	0.000005																																															-35.205106	
 1 	 9	0.000000																						-0.000000																																						50.634360	3.999995	0.000001			0.101588	8.580433	19.565347	7.733517		0.000004	0.000000	0.000001						-0.000001	-0.000002	0.000004	0.000000	0.000000	0.000000	0.000001						-54.528490		0.000002	0.000000	0.000002	0.000001					-0.000001	-0.505121					-1.309272						-0.000004	-18.623801						-0.480711				-0.344392		-0.000001	-0.160820			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000004								-0.000001	-0.000000			-0.274000		-0.000001	1.279057	-0.000002	0.000014	-0.000005	19.646564	-0.000004	0.000004																																															-36.188784	
 1 	 10	0.000000																						-0.000000																																						50.634360	3.969857	0.000000			7.689639	8.835987	19.195314	7.733517		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528490		0.000001	0.000000	0.000001	0.000001					-0.000001	-0.565736					-1.466389						-0.000005	-20.858708						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000002	0.000013	-0.000005	0.000006	-4.247251	20.858712	-0.000004	0.000005																																															-36.865420	
 1 	 11	0.000000																						-0.000000																																						50.634360	3.990996	0.000000			30.250431	9.656859	17.967673	7.733102		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528489		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.646553					-1.675865						-0.000006	-23.838415						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000002	0.000018	-0.000003	0.000012	-24.588118	23.838419	-0.000004	0.000006																																															-38.409021	
 1 	 12	0.000000																						-0.000001																																						50.634360	0.000000	0.000000			55.588979	10.253152	16.358389	7.733102		0.000000	0.000000	0.000000						-0.284502	-6.807382	0.000001	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000001	0.000000					-0.000005	-0.711210					-1.843457						-0.000006	-26.222332						-0.480711				-0.344392		-0.000002	-0.160721			-0.041730	-0.000000	-0.000000					-0.000005	-0.000004		0.917151		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000196								-0.000002	-0.000034			-0.274000		-1.138713	0.000000	-0.000020	0.000001	-35.190402	26.222332	-0.000003	0.000007																																															-39.679158	
 1 	 13	0.000000																						-0.000001																																						50.634360	0.000000	0.000000			72.673302	10.857190	15.895484	7.733102		0.000001	0.000000	0.000001						-14.705412	-6.807382	0.000001	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000000	0.000000					-0.000011	-0.646553					-1.675865						-0.000006	-23.838415						-0.480711				-0.344392		-0.000004	-0.000017			-0.041852	-0.000000	-0.000000					-0.000041	-0.002353		0.917147		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.586691								-0.000002	-1.050623			-0.274000		-1.138713	0.000001	-0.000020	0.000001	-35.518624	23.838415	-0.000004	0.000006																																															-40.908830	
 1 	 14	0.000000																						-0.000001																																						50.634360	0.000000	0.000000			80.792026	11.360555	16.406275	7.733102		0.000000	0.000000	0.000001						-17.274069	-6.807382	0.000000	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000000	0.000000	0.000000	0.000000					-0.000058	-0.654636					-1.696816						-0.000006	-24.136436						-0.480711				-0.344392		-0.000004	-0.000017			-0.041790	-0.000001	-0.000000					-0.000080	-6.141470		0.917146		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.499690								-0.000002	-1.050623			-0.274000		-1.138714	0.000000	-0.000019	0.000000	-35.477594	24.136436	-0.000004	0.000006																																															-41.432905	
 1 	 15	0.000000																						-0.000001																																						50.634360	0.000000	0.000000			72.334551	11.027559	17.169560	7.732480		0.000001	0.000000	0.000001						-16.074860	-6.807382	0.000001	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000000	0.000000	0.000000	0.000000					-0.000065	-0.735456					-1.906302						-0.000006	-27.116269						-0.480711				-0.344392		-0.000004	-0.000017			-0.041790	-0.000001	-0.000000					-0.000078	-0.291924		0.917145		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.499689								-0.000002	-1.050623			-0.274000		-1.138714	0.000000	-0.000020	0.000001	-35.067322	27.116270	-0.000004	0.000007																																															-40.573815	
 1 	 16	0.000000																						-0.000001																																						50.634360	0.000000	0.000000			51.817555	12.088498	17.940101	7.732480		0.000001	0.000000	0.000000						-0.440245	-6.807382	0.000001	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000001	0.000000					-0.000005	-0.767785					-1.990098						-0.000007	-28.308228						-0.480711				-0.344392		-0.000002	-0.160722			-0.041730	-0.000000	-0.000000					-0.000005	-0.000004		0.917151		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000194								-0.000002	-0.000033			-0.274000		-1.138713	0.000001	-0.000020	0.000001	-34.903211	28.308229	-0.000003	0.000007																																															-39.252406	
 1 	 17	0.000000																						-0.000000																																						50.634360	3.952517	0.000000			25.372422	14.907341	19.523265	7.732481		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.767785					-1.990098						-0.000007	-28.308228						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000002	0.049444	-0.000003	0.000014	-26.578464	28.308233	-0.000004	0.000007																																															-37.921604	
 1 	 18	0.000000																						-0.000000																																						50.634360	3.937412	0.000000			4.561841	15.968279	22.229590	7.732481		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000001	0.000001					-0.000001	-0.565736					-1.466389						-0.000005	-20.858708						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000002	0.029234	-0.000003	0.000011	-11.226584	20.858712	-0.000004	0.000005																																															-36.920603	
 1 	 19	0.000000																						-0.000000																																						50.634360	3.918690	0.000000			0.158083	16.471644	24.147960	7.732067		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000001	0.000001					-0.000001	-0.404096					-1.047418						-0.000003	-14.899041						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000002	0.005470	-0.000003	0.000008	-9.077549	14.899045	-0.000004	0.000004																																															-37.625323	
 1 	 20	0.000000																						-0.000000																																						50.634360	3.970130	0.000000			0.011291	16.502620	24.619572	7.732067		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.303028					-0.785448						-0.000003	-11.172632						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000002	0.003154	-0.000004	0.000007	-9.248413	11.172637	-0.000004	0.000003																																															-38.222416	
 1 	 21	0.000000																						-0.000000																																						50.634360	3.972224	0.000000			0.000000	16.239322	24.013007	7.732067		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000001	0.000001					-0.000001	-0.201904					-0.523335						-0.000002	-7.444194						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000002	0.002268	-0.000004	0.000006	-9.398231	7.444199	-0.000004	0.000002																																															-37.555887	
 1 	 22	0.000000																						-0.000000																																						50.634360	3.979088	0.000000			0.000000	15.875350	22.836155	7.732067		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000001	0.000001					-0.000001	-0.129328					-0.335219						-0.000001	-4.768342						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000002	0.001783	-0.000004	0.000006	-9.092344	4.768347	-0.000004	0.000001																																															-36.588020	
 1 	 23	0.000000																						-0.000000																																						50.634360	3.986341	0.000000			0.000000	14.984782	21.827632	7.731445		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000001	0.000001					-0.000001	-0.080830					-0.209512						-0.000001	-2.980214						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000000			-0.274000		-0.000002	0.001464	-0.000004	0.000007	-8.143753	2.980218	-0.000004	0.000001																																															-35.818037	
 1 	 24	0.000000																						-0.000000																																						50.634360	3.987316	0.000000			0.000000	13.296574	20.713177	7.731445		0.000004	0.000000	0.000001						-0.000001	-0.000003	0.000003	0.000000	0.000000	0.000000	0.000001						-54.528491		0.000001	0.000000	0.000002	0.000001					-0.000001	-0.032332					-0.083805						-0.000000	-1.192086						-0.480711				-0.344392		-0.000001	-0.160819			-0.042633	-0.000000	-0.000000					-0.000001	-0.000001		0.917154		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.000005								-0.000001	-0.000001			-0.274000		-0.000002	0.001234	-0.000004	0.000007	-4.940167	1.192090	-0.000004	0.000000																																															-36.393914	
 2 	 1	0.000000																						-0.000001																																						50.634360	0.000001	0.000000			0.000000	9.308375	25.437998	5.669353		0.000001	0.000000	0.000001						-0.014074	-6.807380	0.000001	0.000000	0.000000	0.000000	0.000001						-21.532814		0.000001	0.000000	0.000001	0.000001					-0.000002	-0.020190					-0.052333						-0.000000	-0.744419						-0.480711				-0.344392		-0.000002	-0.163448			-0.041730	-0.000001	-0.000000					-0.000007	-0.000006		0.917152		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.955897								-0.000002	-1.050617			-0.274000		-0.000005	0.000013	-0.000006	0.000008	-24.325561	0.744430	-0.000004	0.000000																																															-35.904096	
 2 	 2	0.000000																						-0.000001																																						50.634360	0.000001	0.000000			0.000000	10.555171	26.366710	5.666038		0.000001	0.000000	0.000001						-0.013865	-6.807380	0.000001	0.000000	0.000000	0.000000	0.000001						-22.674613		0.000000	0.000000	0.000001	0.000001					-0.000002	-0.008083					-0.020951						-0.000000	-0.298021						-0.480711				-0.344392		-0.000002	-0.163448			-0.041730	-0.000001	-0.000000					-0.000007	-0.000005		0.917152		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.955896								-0.000002	-1.050617			-0.274000		-0.000005	0.000012	-0.000007	0.000008	-26.485352	0.298032	-0.000004	0.000000																																															-34.818397	
 2 	 3	0.000000																						-0.000001																																						50.634360	0.000001	0.000000			0.000000	10.764261	25.858821	5.663344		0.000001	0.000000	0.000001						-0.013891	-6.807380	0.000001	0.000000	0.000000	0.000000	0.000001						-35.371879		0.000000	0.000000	0.000001	0.000000					-0.000002	-0.004024					-0.010431						-0.000000	-0.148377						-0.480711				-0.344392		-0.000002	-0.163448			-0.041730	-0.000001	-0.000000					-0.000007	-0.000005		0.917152		-0.000000				0.000000	0.000000			-0.000000			-0.000000	-0.955897								-0.000002	-1.050617			-0.274000		-0.000005	0.000012	-0.000007	0.000008	-13.673398	0.148386	-0.000004	0.000000																																															-34.646144	
