TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.799946	6175.859159	60.000000	0.000000	60.000000	60.000000	0.000000	0.355773	1.000000	0.843906	0.843906	0.052828	42472.799992
CCGT	3303.840009	83.675540	25.000000	4.000000	4.000000	Infinity	0.000000	0.001384	1.000000	0.049245	0.955769	0.070952	735.160002
CCGT_AMMONIA	0.001823	0.000046	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000663	0.590000	0.070952	0.000406
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.999901	2927.868059	25.000000	0.000000	209.999999	210.000000	0.000000	0.218552	1.000000	0.148118	1.000000	0.070952	267749.998738
WIND_ONSHORE	85646.999977	996.141176	30.000000	0.000000	75.000000	75.000000	0.000000	0.137572	1.000000	0.261061	1.000000	0.065051	46713.749988
WIND_OFFSHORE	321437.999876	2236.403076	30.000000	0.000000	60.000000	60.000000	0.000000	0.212591	1.000000	0.504274	1.000000	0.065051	37370.999986
HYDRO_RIVER	110988.239891	1109.785559	80.000000	0.000000	22.000000	22.000000	0.000000	0.074127	1.000000	0.479539	1.000000	0.051030	27782.039973
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.001680	0.000108	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002015	0.844900	0.070952	0.001126
IND_COGEN_WOOD	0.001690	0.000062	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000532	0.844900	0.070952	0.000238
IND_COGEN_WASTE	0.002517	0.000093	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002664	0.844900	0.070952	0.000512
IND_BOILER_GAS	0.001606	0.000032	17.000000	0.000000	0.000023	Infinity	0.000000	0.000000	1.000000	0.005977	0.944300	0.088699	0.000280
IND_BOILER_WOOD	0.001538	0.000031	17.000000	0.000000	0.000011	Infinity	0.000000	0.000000	1.000000	0.000972	0.894600	0.088699	0.000321
IND_BOILER_OIL	0.001533	0.000033	17.000000	0.000000	0.000023	Infinity	0.000000	0.000000	1.000000	0.000678	0.944300	0.088699	0.000287
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.894600	0.088699	0.000000
IND_BOILER_WASTE	2212.284411	44.244148	17.000000	0.000000	16.005530	Infinity	0.000000	0.357795	1.000000	0.492432	0.894600	0.088699	462.079662
