Name	C_inv	C_maint	C_op
NUCLEAR	15359.466896	6175.859071	0.000000
CCGT	389.955208	139.196013	0.000000
CCGT_AMMONIA	0.001711	0.000611	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1490.001103	2927.867091	0.000000
WIND_ONSHORE	5571.460166	996.141159	0.000000
WIND_OFFSHORE	18123.562164	1938.382784	0.000000
HYDRO_RIVER	5663.687412	1109.785426	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.001946	0.001763	0.000000
IND_COGEN_WOOD	0.001093	0.000564	0.000000
IND_COGEN_WASTE	0.001902	0.000988	0.000000
IND_BOILER_GAS	0.001296	0.000293	0.000000
IND_BOILER_WOOD	0.001163	0.000262	0.000000
IND_BOILER_OIL	0.001152	0.000279	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	196.389616	44.280649	0.000000
IND_DIRECT_ELEC	598.389274	28.176012	0.000000
DHN_HP_ELEC	663.596192	317.137747	0.000000
DHN_COGEN_GAS	0.002567	0.001058	0.000000
DHN_COGEN_WOOD	0.001125	0.000580	0.000000
DHN_COGEN_WASTE	0.001629	0.000846	0.000000
DHN_COGEN_WET_BIOMASS	0.001238	0.001420	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.003815	0.001935	0.000000
DHN_BOILER_GAS	0.000332	0.000075	0.000000
DHN_BOILER_WOOD	0.000478	0.000108	0.000000
DHN_BOILER_OIL	0.000304	0.000074	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.002039	0.000037	0.000000
DEC_HP_ELEC	7873.401608	3837.425029	0.000000
DEC_THHP_GAS	0.002526	0.000920	0.000000
DEC_COGEN_GAS	0.002129	0.001706	0.000000
DEC_COGEN_OIL	0.001708	0.001306	0.000000
DEC_ADVCOGEN_GAS	0.003514	0.000816	0.000000
DEC_ADVCOGEN_H2	0.003411	0.000792	0.000000
DEC_BOILER_GAS	0.002301	0.000778	0.000000
DEC_BOILER_WOOD	0.002456	0.000969	0.000000
DEC_BOILER_OIL	0.001775	0.001200	0.000000
DEC_SOLAR	0.046158	0.006382	0.000000
DEC_DIRECT_ELEC	0.003249	0.000147	0.000000
TRAMWAY_TROLLEY	662.296920	203.622539	0.000000
BUS_COACH_DIESEL	1569.809344	861.464502	0.000000
BUS_COACH_HYDIESEL	0.048473	0.020389	0.000000
BUS_COACH_CNG_STOICH	0.002370	0.001285	0.000000
BUS_COACH_FC_HYBRIDH2	0.000358	0.000104	0.000000
TRAIN_PUB	4450.004136	2755.785129	0.000000
CAR_GASOLINE	0.000178	0.000111	0.000000
CAR_DIESEL	0.000369	0.000224	0.000000
CAR_NG	0.000620	0.000376	0.000000
CAR_METHANOL	0.000139	0.000087	0.000000
CAR_HEV	0.000190	0.000158	0.000000
CAR_PHEV	0.119494	0.089068	0.000000
CAR_BEV	96307.534167	16289.790294	0.000000
CAR_FUEL_CELL	0.004102	0.000401	0.000000
PLANE	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	44.203787	40.102930	0.000000
BOAT_FREIGHT_NG	40.489214	36.285919	0.000000
BOAT_FREIGHT_METHANOL	0.001036	0.000940	0.000000
TRAIN_FREIGHT	111.058411	38.111606	0.000000
TRUCK_DIESEL	0.005683	0.003119	0.000000
TRUCK_METHANOL	0.000144	0.000079	0.000000
TRUCK_FUEL_CELL	5035.364401	1466.091742	0.000000
TRUCK_ELEC	0.020306	0.005551	0.000000
TRUCK_NG	0.000060	0.000033	0.000000
HABER_BOSCH	443.298977	108.011563	0.000000
CO2_TO_METHANOL	37.568523	18.727474	0.000000
E_WOOD_TO_METHANOL	227.603711	113.457813	0.000000
METHANE_TO_METHANOL	547.477079	308.644464	0.000000
OIL_TO_HVC	87.145586	4.808962	0.000000
GAS_TO_HVC	0.001663	0.000586	0.000000
BIOMASS_TO_HVC	0.002050	0.000762	0.000000
METHANOL_TO_HVC	324.950682	364.462281	0.000000
PHS	17.714758	0.000000	0.000000
BATT_LI	0.011312	0.000182	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.006663	0.000581	0.000000
TS_DEC_HP_ELEC	234.151960	20.428310	0.000000
TS_DEC_THHP_GAS	0.006556	0.000572	0.000000
TS_DEC_COGEN_GAS	0.006537	0.000570	0.000000
TS_DEC_COGEN_OIL	0.006542	0.000571	0.000000
TS_DEC_ADVCOGEN_GAS	0.006544	0.000571	0.000000
TS_DEC_ADVCOGEN_H2	0.006550	0.000571	0.000000
TS_DEC_BOILER_GAS	0.006565	0.000573	0.000000
TS_DEC_BOILER_WOOD	0.006622	0.000578	0.000000
TS_DEC_BOILER_OIL	0.006565	0.000573	0.000000
TS_DHN_DAILY	0.006624	0.000326	0.000000
TS_DHN_SEASONAL	661.320604	50.903549	0.000000
TS_HIGH_TEMP	0.000000	0.000000	0.000000
GAS_STORAGE	0.000000	32.479002	0.000000
H2_STORAGE	0.000000	18.801093	0.000000
DIESEL_STORAGE	0.000000	17.103741	0.000000
GASOLINE_STORAGE	0.000000	17.116270	0.000000
LFO_STORAGE	0.000000	18.705472	0.000000
AMMONIA_STORAGE	0.000000	17.758755	0.000000
METHANOL_STORAGE	0.000000	18.261755	0.000000
CO2_STORAGE	0.000000	6.750846	0.000000
JETFUEL_STORAGE	0.000000	5.160058	0.000000
WOOD_STORAGE	0.000000	10.372843	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	1261.415929	0.000000	0.000000
GRID	10148.224449	0.000000	0.000000
ALKALINE_ELECTROLYSIS	4318.347055	2152.645973	0.000000
HT_ELECTROLYSIS	0.067506	0.033651	0.000000
SMR	0.001120	0.001457	0.000000
BIO_HYDROLYSIS	1715.252936	1213.868926	0.000000
H2_BIOMASS	0.001242	0.001233	0.000000
