Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1				0.000000	0.000000			0.000000														0.000000		8.203258					4.687938					-0.004675	-0.000008	-0.084787	-0.000018	-0.003488	-0.000012	-0.463767	-0.026518	-0.000030	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.327691	-1.858343	-2.114034	-1.790834	-0.796719	-0.233517	-0.000005	-0.049227	-0.144881	-0.049284	-0.000096	-6.196757	-0.000239																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.783417																																																							0.000000	
 1 	 2				0.000000	0.000000			0.000000														0.000000		8.187787					4.687788					-0.004672	-0.000008	-0.084758	-0.000018	-0.003486	-0.000012	-0.463284	-0.026499	-0.000030	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.326033	-1.856908	-2.112054	-1.789408	-0.796135	-0.233293	-0.000005	-0.049073	-0.144457	-0.049131	-0.000096	-6.197489	-0.000238																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.782884																																																							0.000000	
 1 	 3				0.000000	0.000000			0.000000														0.000000		8.182600					4.689588					-0.004664	-0.000008	-0.084685	-0.000018	-0.003481	-0.000012	-0.462076	-0.026451	-0.000029	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.321886	-1.853321	-2.107494	-1.786017	-0.794675	-0.232717	-0.000005	-0.049053	-0.144157	-0.049112	-0.000095	-6.197829	-0.000238																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.781829																																																							0.000000	
 1 	 4				0.000000	0.000000			0.000000														0.000000		8.239431					4.687853					-0.004673	-0.000008	-0.084774	-0.000018	-0.003487	-0.000012	-0.463552	-0.026510	-0.000030	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.326966	-1.857713	-2.113115	-1.790207	-0.796461	-0.233417	-0.000005	-0.049198	-0.144781	-0.049255	-0.000096	-6.196916	-0.000239																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.783202																																																							0.000000	
 1 	 5				0.000000	0.000000			0.000000														0.000000		8.342721					4.687866					-0.004673	-0.000008	-0.084767	-0.000018	-0.003487	-0.000012	-0.463433	-0.026505	-0.000030	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.326559	-1.857360	-2.112621	-1.789856	-0.796316	-0.233362	-0.000005	-0.049203	-0.144815	-0.049261	-0.000096	-6.196870	-0.000239																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.783100																																																							0.000000	
 1 	 6				0.000000	0.000000			0.000000														0.000000		8.590615					4.687875					-0.004672	-0.000008	-0.084757	-0.000018	-0.003486	-0.000012	-0.463274	-0.026499	-0.000030	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.326019	-1.856893	-2.112028	-1.789391	-0.796125	-0.233288	-0.000005	-0.049199	-0.144813	-0.049257	-0.000096	-6.196881	-0.000239																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.782964																																																							0.000000	
 1 	 7				0.000000	0.000000			0.000000														0.000000		8.977840					4.687836					-0.004671	-0.000008	-0.084751	-0.000018	-0.003486	-0.000012	-0.463172	-0.026495	-0.000030	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.325670	-1.856590	-2.111644	-1.789090	-0.796001	-0.233241	-0.000005	-0.049168	-0.144721	-0.049226	-0.000096	-6.197035	-0.000239																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.782855																																																							0.000000	
 1 	 8				0.000000	0.000000			0.000000														0.000000		8.874564					4.687909					-0.004669	-0.000008	-0.084737	-0.000018	-0.003485	-0.000012	-0.462932	-0.026485	-0.000030	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.324851	-1.855881	-2.110747	-1.788386	-0.795712	-0.233129	-0.000005	-0.049177	-0.144788	-0.049235	-0.000096	-6.196950	-0.000239																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.782661																																																							0.000000	
 1 	 9				0.000000	0.000000			0.000000														0.000000		8.822929					4.687964					-0.004658	-0.000008	-0.084627	-0.000018	-0.003478	-0.000012	-0.461110	-0.026416	-0.000029	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.318588	-1.850465	-2.103657	-1.783862	-0.793508	-0.232235	-0.000005	-0.049152	-0.144706	-0.049209	-0.000096	-6.197085	-0.000239																																																																																									0.504632										-6.270000			-0.000000	-0.000001				12.781094																																																							0.000000	
 1 	 10				0.000000	0.000000			0.000000														0.000000		8.900386					4.687910					-0.004659	-0.000008	-0.084635	-0.000018	-0.003478	-0.000012	-0.461248	-0.026420	-0.000029	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.319069	-1.850880	-2.104209	-1.784160	-0.793675	-0.232304	-0.000005	-0.049192	-0.144808	-0.049250	-0.000096	-6.196899	-0.000239																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.781238																																																							0.000000	
 1 	 11				0.000000	0.000000			0.000000														0.000000		9.003658					4.687909					-0.004676	-0.000008	-0.084799	-0.000018	-0.003489	-0.000012	-0.463968	-0.026526	-0.000030	-0.000002	-0.000002	-0.000001	-0.000002	-0.000047	-2.328429	-1.858972	-2.114922	-1.791455	-0.796967	-0.233610	-0.000005	-0.049245	-0.144933	-0.049303	-0.000096	-6.196668	-0.000239																																																																																									0.504636										-6.270000			-0.000000	-0.000001				12.783620																																																							0.000000	
