Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1										0.000000																																																																																																																																														1.167163	0.000005	10.897937	-12.065086	-0.000009	-0.000010																																																																	0.000000	
 1 	 2										0.000000																																																																																																																																														1.168864	0.000005	10.897934	-12.066785	-0.000009	-0.000009																																																																	0.000000	
 1 	 3										0.000000																																																																																																																																														1.169454	0.000006	10.897928	-12.067371	-0.000008	-0.000008																																																																	0.000000	
 1 	 4										0.000000																																																																																																																																														1.164825	0.000005	10.897926	-12.062737	-0.000009	-0.000010																																																																	0.000000	
 1 	 5										0.000000																																																																																																																																														1.164851	0.000005	10.897926	-12.062763	-0.000010	-0.000010																																																																	0.000000	
 1 	 6										0.000000																																																																																																																																														1.164796	0.000005	10.897926	-12.062708	-0.000010	-0.000010																																																																	0.000000	
 1 	 7										0.000000																																																																																																																																														1.164348	0.000005	10.897927	-12.062260	-0.000010	-0.000010																																																																	0.000000	
 1 	 8										0.000000																																																																																																																																														1.164953	0.000005	10.897923	-12.062861	-0.000010	-0.000010																																																																	0.000000	
 1 	 9										0.000000																																																																																																																																														1.164857	0.000005	10.897612	-12.062455	-0.000010	-0.000010																																																																	0.000000	
 1 	 10										0.000000																																																																																																																																														1.165057	0.000005	10.897922	-12.062964	-0.000010	-0.000010																																																																	0.000000	
 1 	 11										0.000000																																																																																																																																														1.164900	0.000005	10.897927	-12.062813	-0.000010	-0.000010																																																																	0.000000	
 1 	 12										0.000000																																																																																																																																														1.165116	0.000005	10.898043	-12.063145	-0.000010	-0.000010																																																																	0.000000	
 1 	 13										0.000000																																																																																																																																														1.247121	0.000006	11.012403	-12.259512	-0.000010	-0.000010																																																																	0.000000	
 1 	 14										0.000000																																																																																																																																														1.247122	0.000007	6.077194	-7.324303	-0.000010	-0.000010																																																																	0.000000	
 1 	 15										0.000000																																																																																																																																														1.247121	0.000006	9.606733	-10.853842	-0.000010	-0.000010																																																																	0.000000	
 1 	 16										0.000000																																																																																																																																														1.166079	0.000005	10.898065	-12.064130	-0.000010	-0.000010																																																																	0.000000	
 1 	 17										0.000000																																																																																																																																														1.165022	0.000005	10.897925	-12.062934	-0.000010	-0.000010																																																																	0.000000	
 1 	 18										0.000000																																																																																																																																														1.165276	0.000005	10.897921	-12.063183	-0.000010	-0.000010																																																																	0.000000	
 1 	 19										0.000000																																																																																																																																														1.165278	0.000005	10.897921	-12.063186	-0.000010	-0.000010																																																																	0.000000	
 1 	 20										0.000000																																																																																																																																														1.165234	0.000005	10.897921	-12.063141	-0.000010	-0.000010																																																																	0.000000	
 1 	 21										0.000000																																																																																																																																														1.165379	0.000005	10.897921	-12.063286	-0.000010	-0.000010																																																																	0.000000	
 1 	 22										0.000000																																																																																																																																														1.165478	0.000005	10.897920	-12.063384	-0.000010	-0.000010																																																																	0.000000	
 1 	 23										0.000000																																																																																																																																														1.165506	0.000005	10.897920	-12.063412	-0.000010	-0.000010																																																																	0.000000	
 1 	 24										0.000000																																																																																																																																														1.166232	0.000005	10.897922	-12.064141	-0.000009	-0.000010																																																																	0.000000	
 2 	 1										0.000000																																																																																																																																														1.177169	0.000005	14.568831	-15.745983	-0.000010	-0.000012																																																																	0.000000	
 2 	 2										0.000000																																																																																																																																														1.181430	0.000006	12.810963	-13.992377	-0.000011	-0.000011																																																																	0.000000	
 2 	 3										0.000000																																																																																																																																														1.189461	0.000006	10.902345	-12.091793	-0.000010	-0.000010																																																																	0.000000	
 2 	 4										0.000000																																																																																																																																														1.186915	0.000005	10.899502	-12.086400	-0.000011	-0.000012																																																																	0.000000	
 2 	 5										0.000000																																																																																																																																														1.186265	0.000005	10.898936	-12.085184	-0.000011	-0.000012																																																																	0.000000	
 2 	 6										0.000000																																																																																																																																														1.184232	0.000005	10.898835	-12.083049	-0.000011	-0.000012																																																																	0.000000	
 2 	 7										0.000000																																																																																																																																														1.182550	0.000005	10.898539	-12.081072	-0.000011	-0.000012																																																																	0.000000	
 2 	 8										0.000000																																																																																																																																														1.181720	0.000005	10.898531	-12.080234	-0.000011	-0.000012																																																																	0.000000	
 2 	 9										0.000000																																																																																																																																														1.180405	0.000005	10.899571	-12.079959	-0.000011	-0.000012																																																																	0.000000	
 2 	 10										0.000000																																																																																																																																														1.185026	0.000005	10.899721	-12.084729	-0.000011	-0.000012																																																																	0.000000	
 2 	 11										0.000000																																																																																																																																														1.247099	0.000006	6.075137	-7.322220	-0.000011	-0.000012																																																																	0.000000	
 2 	 12										0.000000																																																																																																																																														1.247090	0.000006	6.075364	-7.322438	-0.000011	-0.000012																																																																	0.000000	
 2 	 13										0.000000																																																																																																																																														1.247177	0.000007	14.573314	-15.820475	-0.000011	-0.000011																																																																	0.000000	
 2 	 14										0.000000																																																																																																																																														1.247162	0.000007	14.572938	-15.820084	-0.000011	-0.000011																																																																	0.000000	
 2 	 15										0.000000																																																																																																																																														1.247135	0.000007	13.409172	-14.656291	-0.000011	-0.000012																																																																	0.000000	
 2 	 16										0.000000																																																																																																																																														1.247099	0.000006	6.075367	-7.322450	-0.000011	-0.000012																																																																	0.000000	
 2 	 17										0.000000																																																																																																																																														1.247098	0.000006	10.672125	-11.919207	-0.000011	-0.000012																																																																	0.000000	
 2 	 18										0.000000																																																																																																																																														1.178202	0.000005	13.964069	-15.142253	-0.000011	-0.000012																																																																	0.000000	
 2 	 19										0.000000																																																																																																																																														1.185463	0.000005	10.899665	-12.085110	-0.000011	-0.000012																																																																	0.000000	
 2 	 20										0.000000																																																																																																																																														1.186121	0.000005	10.899649	-12.085752	-0.000011	-0.000012																																																																	0.000000	
 2 	 21										0.000000																																																																																																																																														1.187000	0.000005	10.899041	-12.086024	-0.000011	-0.000012																																																																	0.000000	
 2 	 22										0.000000																																																																																																																																														1.188196	0.000005	10.898748	-12.086927	-0.000011	-0.000012																																																																	0.000000	
 2 	 23										0.000000																																																																																																																																														1.189223	0.000005	10.898658	-12.087865	-0.000011	-0.000012																																																																	0.000000	
 2 	 24										0.000000																																																																																																																																														1.190782	0.000005	10.898514	-12.089279	-0.000011	-0.000012																																																																	0.000000	
 3 	 1										0.000000																																																																																																																																														1.247247	0.000008	14.573751	-15.820994	-0.000006	-0.000006																																																																	0.000000	
 3 	 2										0.000000																																																																																																																																														1.247247	0.000008	14.573751	-15.820994	-0.000006	-0.000006																																																																	0.000000	
 3 	 3										0.000000																																																																																																																																														1.247248	0.000008	14.573752	-15.820996	-0.000006	-0.000006																																																																	0.000000	
 3 	 4										0.000000																																																																																																																																														1.247247	0.000008	14.573751	-15.820993	-0.000006	-0.000006																																																																	0.000000	
 3 	 5										0.000000																																																																																																																																														1.247246	0.000008	14.573747	-15.820989	-0.000006	-0.000006																																																																	0.000000	
 3 	 6										0.000000																																																																																																																																														1.247245	0.000008	14.573745	-15.820986	-0.000006	-0.000006																																																																	0.000000	
 3 	 7										0.000000																																																																																																																																														1.247244	0.000007	14.573741	-15.820980	-0.000006	-0.000006																																																																	0.000000	
 3 	 8										0.000000																																																																																																																																														1.247247	0.000008	14.573753	-15.820995	-0.000006	-0.000006																																																																	0.000000	
 3 	 9										0.000000																																																																																																																																														1.247247	0.000008	14.573753	-15.820995	-0.000006	-0.000006																																																																	0.000000	
 3 	 10										0.000000																																																																																																																																														1.247247	0.000008	14.573753	-15.820995	-0.000006	-0.000006																																																																	0.000000	
 3 	 11										0.000000																																																																																																																																														1.247247	0.000008	14.573753	-15.820995	-0.000006	-0.000006																																																																	0.000000	
 3 	 12										0.000000																																																																																																																																														1.247247	0.000008	14.573752	-15.820995	-0.000006	-0.000006																																																																	0.000000	
 3 	 13										0.000000																																																																																																																																														1.247247	0.000008	14.573753	-15.820995	-0.000006	-0.000006																																																																	0.000000	
 3 	 14										0.000000																																																																																																																																														1.247247	0.000008	14.573753	-15.820995	-0.000006	-0.000006																																																																	0.000000	
 3 	 15										0.000000																																																																																																																																														1.247247	0.000008	14.573752	-15.820995	-0.000006	-0.000006																																																																	0.000000	
 3 	 16										0.000000																																																																																																																																														1.247247	0.000008	14.573752	-15.820994	-0.000006	-0.000006																																																																	0.000000	
 3 	 17										0.000000																																																																																																																																														1.247247	0.000008	14.573752	-15.820994	-0.000006	-0.000006																																																																	0.000000	
 3 	 18										0.000000																																																																																																																																														1.247247	0.000008	14.573752	-15.820995	-0.000006	-0.000006																																																																	0.000000	
