Name	C_inv	C_maint	C_op
NUCLEAR	15359.466125	6175.858761	0.000000
CCGT	1091.209202	389.511327	0.000000
CCGT_AMMONIA	0.003007	0.001073	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1490.000998	2927.866884	0.000000
WIND_ONSHORE	5571.459749	996.141085	0.000000
WIND_OFFSHORE	7135.660493	763.185588	0.000000
HYDRO_RIVER	5663.680944	1109.784159	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.005434	0.004923	0.000000
IND_COGEN_WOOD	0.002888	0.001490	0.000000
IND_COGEN_WASTE	0.004087	0.002124	0.000000
IND_BOILER_GAS	29.406331	6.642133	0.000000
IND_BOILER_WOOD	0.002851	0.000643	0.000000
IND_BOILER_OIL	0.002578	0.000625	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	138.874653	31.312551	0.000000
IND_DIRECT_ELEC	598.384903	28.175806	0.000000
DHN_HP_ELEC	538.094516	257.159526	0.000000
DHN_COGEN_GAS	0.005787	0.002384	0.000000
DHN_COGEN_WOOD	0.002421	0.001250	0.000000
DHN_COGEN_WASTE	0.003444	0.001789	0.000000
DHN_COGEN_WET_BIOMASS	13.130983	15.061635	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.012382	0.006280	0.000000
DHN_BOILER_GAS	0.000633	0.000143	0.000000
DHN_BOILER_WOOD	0.000956	0.000215	0.000000
DHN_BOILER_OIL	0.000569	0.000138	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.004856	0.000088	0.000000
DEC_HP_ELEC	7875.880548	3838.633241	0.000000
DEC_THHP_GAS	0.008169	0.002975	0.000000
DEC_COGEN_GAS	0.005737	0.004596	0.000000
DEC_COGEN_OIL	0.004024	0.003077	0.000000
DEC_ADVCOGEN_GAS	0.008258	0.001918	0.000000
DEC_ADVCOGEN_H2	0.007453	0.001731	0.000000
DEC_BOILER_GAS	0.005008	0.001694	0.000000
DEC_BOILER_WOOD	0.004985	0.001967	0.000000
DEC_BOILER_OIL	0.003773	0.002552	0.000000
DEC_SOLAR	0.076572	0.010588	0.000000
DEC_DIRECT_ELEC	0.006442	0.000292	0.000000
TRAMWAY_TROLLEY	662.296958	203.622551	0.000000
BUS_COACH_DIESEL	0.033493	0.018380	0.000000
BUS_COACH_HYDIESEL	0.023040	0.009691	0.000000
BUS_COACH_CNG_STOICH	1589.104928	861.470171	0.000000
BUS_COACH_FC_HYBRIDH2	0.000482	0.000140	0.000000
TRAIN_PUB	4449.963608	2755.760030	0.000000
CAR_GASOLINE	0.000468	0.000293	0.000000
CAR_DIESEL	0.000810	0.000491	0.000000
CAR_NG	0.001465	0.000888	0.000000
CAR_METHANOL	0.000385	0.000241	0.000000
CAR_HEV	0.000432	0.000360	0.000000
CAR_PHEV	0.205895	0.153470	0.000000
CAR_BEV	96307.470965	16289.779603	0.000000
CAR_FUEL_CELL	0.020014	0.001956	0.000000
PLANE	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.002795	0.002536	0.000000
BOAT_FREIGHT_NG	85.234567	76.386137	0.000000
BOAT_FREIGHT_METHANOL	0.001826	0.001657	0.000000
TRAIN_FREIGHT	111.058401	38.111602	0.000000
TRUCK_DIESEL	2360.893959	1295.577785	0.000000
TRUCK_METHANOL	0.000274	0.000150	0.000000
TRUCK_FUEL_CELL	2141.728590	623.583588	0.000000
TRUCK_ELEC	0.000127	0.000035	0.000000
TRUCK_NG	0.000274	0.000149	0.000000
HABER_BOSCH	447.772180	109.101477	0.000000
CO2_TO_METHANOL	0.002941	0.001466	0.000000
E_WOOD_TO_METHANOL	684.322151	341.126663	0.000000
METHANE_TO_METHANOL	0.006155	0.003470	0.000000
