Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1												0.000000																						0.012308	0.000128	7.268936	0.000176	1.721646	0.000089	1.220005	0.069788	0.000460	0.000060	0.000063	0.000034	0.000024	4.298255	6.094497	4.873111	5.533784	4.695189	2.092731	0.614105	0.000110																		-0.000088			-0.000315							-0.000055					-0.000025											-0.000103																														-5.426453				-0.000064									-0.000012	-0.000012		-0.000021		-0.000067	-0.000029			-0.000006		-9.355197	-0.000021								-22.621952																																																											-3393743.152609	3393742.061527	0.000000	
 1 	 2												0.000000																						0.012302	0.000128	7.261628	0.000176	1.720174	0.000089	1.218960	0.069744	0.000459	0.000060	0.000063	0.000034	0.000024	4.295678	6.088939	4.868970	5.527545	4.691048	2.090947	0.613552	0.000110																		-0.000088			-0.000314							-0.000055					-0.000023											-0.000105																														-5.425182				-0.000065									-0.000012	-0.000012		-0.000021		-0.000067	-0.000029			-0.000006		-9.358373	-0.000022								-22.660348																																																											-3393728.001052	3393726.985141	0.000000	
 1 	 3												0.000000																						0.012288	0.000128	7.243331	0.000176	1.716497	0.000089	1.216350	0.069632	0.000458	0.000060	0.000063	0.000034	0.000024	4.289227	6.075024	4.858402	5.509941	4.680652	2.086489	0.612171	0.000110																		-0.000088			-0.000319							-0.000054					-0.000023											-0.000107																														-5.437005				-0.000065									-0.000012	-0.000012		-0.000020		-0.000069	-0.000027			-0.000006		-9.357667	-0.000022								-22.763783																																																											-3393705.175056	3393704.363189	0.000000	
 1 	 4												0.000000																						0.012305	0.000128	7.265795	0.000176	1.720997	0.000089	1.219543	0.069768	0.000459	0.000060	0.000063	0.000034	0.000024	4.297154	6.092109	4.871321	5.531071	4.693396	2.091947	0.613859	0.000110																		-0.000088			-0.000313							-0.000055					-0.000025											-0.000108																														-5.424213				-0.000063									-0.000011	-0.000012		-0.000021		-0.000067	-0.000028			-0.000006		-9.350162	-0.000021								-22.639760																																																											-3393757.098546	3393756.033088	0.000000	
 1 	 5												0.000000																						0.012304	0.000128	7.264028	0.000176	1.720635	0.000089	1.219286	0.069757	0.000459	0.000060	0.000063	0.000034	0.000024	4.296535	6.090765	4.870316	5.529550	4.692390	2.091509	0.613723	0.000110																		-0.000088			-0.000316							-0.000055					-0.000025											-0.000110																														-5.424161				-0.000063									-0.000011	-0.000012		-0.000021		-0.000067	-0.000028			-0.000006		-9.350108	-0.000021								-22.642742																																																											-3393731.737683	3393730.683574	0.000000	
 1 	 6												0.000000																						0.012302	0.000128	7.261666	0.000176	1.720155	0.000089	1.218944	0.069743	0.000459	0.000060	0.000063	0.000034	0.000024	4.295705	6.088969	4.868975	5.527522	4.691048	2.090927	0.613542	0.000110																		-0.000088			-0.000316							-0.000055					-0.000025											-0.000112																														-5.424161				-0.000063									-0.000011	-0.000012		-0.000021		-0.000067	-0.000028			-0.000006		-9.349990	-0.000021								-22.648161																																																											-3393731.422068	3393730.384560	0.000000	
 1 	 7												0.000000																						0.012301	0.000128	7.260136	0.000176	1.719841	0.000089	1.218721	0.069733	0.000459	0.000060	0.000063	0.000034	0.000024	4.295169	6.087806	4.868105	5.526203	4.690177	2.090548	0.613424	0.000110																		-0.000088			-0.000316							-0.000055					-0.000025											-0.000114																														-5.423639				-0.000062									-0.000011	-0.000012		-0.000021		-0.000067	-0.000028			-0.000006		-9.349039	-0.000021								-22.653842																																																											-3393727.034018	3393726.008055	0.000000	
 1 	 8												0.000000																						0.012298	0.000128	7.256530	0.000176	1.719111	0.000089	1.218203	0.069711	0.000459	0.000060	0.000063	0.000034	0.000024	4.293900	6.085064	4.866060	5.522685	4.688131	2.089664	0.613149	0.000110																		-0.000088			-0.000316							-0.000055					-0.000025											-0.000115																														-5.424568				-0.000063									-0.000011	-0.000012		-0.000021		-0.000068	-0.000028			-0.000006		-9.350506	-0.000021								-22.668449																																																											-3393751.640066	3393750.648766	0.000000	
 1 	 9												0.000000																						0.012277	0.000128	7.228896	0.000176	1.713562	0.000089	1.214264	0.069542	0.000457	0.000060	0.000063	0.000034	0.000024	4.284156	6.064051	4.849775	5.495774	4.672318	2.082915	0.611065	0.000109																		-0.000087			-0.000316							-0.000055					-0.000025											-0.000122																														-5.424513				-0.000063									-0.000011	-0.000012		-0.000021		-0.000067	-0.000028			-0.000006		-9.350165	-0.000021								-22.787678																																																											-3393651.192125	3393650.455582	0.000000	
 1 	 10												0.000000																						0.012278	0.000128	7.231045	0.000176	1.713985	0.000089	1.214563	0.069555	0.000457	0.000060	0.000063	0.000034	0.000024	4.284919	6.065686	4.851049	5.497839	4.673547	2.083450	0.611224	0.000109																		-0.000088			-0.000316							-0.000055					-0.000025											-0.000120																														-5.424546				-0.000063									-0.000011	-0.000012		-0.000021		-0.000067	-0.000028			-0.000006		-9.350796	-0.000021								-22.758685																																																											-3393717.996537	3393717.221115	0.000000	
 1 	 11												0.000000																						0.012310	0.000128	7.272412	0.000176	1.722275	0.000089	1.220446	0.069807	0.000460	0.000060	0.000063	0.000034	0.000024	4.299516	6.097145	4.875039	5.536602	4.697103	2.093503	0.614335	0.000110																		-0.000088			-0.000316							-0.000056					-0.000025											-0.000121																														-5.424564				-0.000063									-0.000011	-0.000012		-0.000021		-0.000068	-0.000028			-0.000006		-9.353352	-0.000021								-22.500101																																																											-3393665.853165	3393664.620379	0.000000	
