Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1	0.000000																						-0.000002																																						50.634357	22.258849	0.000049			0.000000	11.430250	4.010531	7.734757		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528271		0.000041	0.000016	0.000024	0.000021					-0.000003	-0.020190					-0.046747						-0.000001	-0.744418						-0.480711				-0.000006		-0.000002	-0.000000			-0.041953	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000004								-0.000001	-0.000001			-0.273999		-0.000006	0.773981	-0.000016	0.000028	-6.275523	0.744434	-0.000021	0.000001																																															-36.104852	
 1 	 2	0.000000																						-0.000001																																						50.634357	22.258848	0.000049			0.000000	9.711066	3.904798	7.734756		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528271		0.000041	0.000016	0.000024	0.000021					-0.000003	-0.008083					-0.018715						-0.000000	-0.298021						-0.480711				-0.000006		-0.000002	-0.000000			-0.041953	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000003								-0.000001	-0.000001			-0.273999		-0.000006	0.160586	-0.000017	0.000029	-5.170106	0.298036	-0.000021	0.000001																																															-34.812097	
 1 	 3	0.000000																						-0.000001																																						50.634357	22.258848	0.000049			0.000000	8.510735	3.932403	7.734135		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528271		0.000041	0.000017	0.000024	0.000021					-0.000003	-0.004024					-0.009317						-0.000000	-0.148376						-0.480711				-0.000006		-0.000002	-0.000000			-0.041953	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000004								-0.000001	-0.000001			-0.273999		-0.000005	0.093266	-0.000017	0.000030	-4.307603	0.148391	-0.000021	0.000001																																															-34.447387	
 1 	 4	0.000000																						-0.000002																																						50.634357	22.258849	0.000049			0.000000	8.301645	3.969644	7.734135		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528271		0.000041	0.000016	0.000024	0.000021					-0.000003	-0.048498					-0.112288						-0.000002	-1.788126						-0.480711				-0.000006		-0.000002	-0.000000			-0.041954	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000003								-0.000002	-0.000001			-0.273999		-0.000006	0.089249	-0.000017	0.000028	-4.508310	1.788146	-0.000021	0.000003																																															-33.923372	
 1 	 5	0.000000																						-0.000002																																						50.634357	22.258849	0.000049			0.000000	8.549455	4.034750	7.734135		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528271		0.000041	0.000015	0.000024	0.000021					-0.000003	-0.129328					-0.299434						-0.000006	-4.768336						-0.480711				-0.000006		-0.000002	-0.000000			-0.041954	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000004								-0.000002	-0.000001			-0.273999		-0.000006	0.083392	-0.000017	0.000028	-4.945450	4.768371	-0.000021	0.000006																																															-33.525329	
 1 	 6	0.000000																						-0.000002																																						50.634357	22.258849	0.000049			0.000000	8.913427	4.007406	7.734135		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528272		0.000041	0.000015	0.000024	0.000021					-0.000003	-0.323321					-0.748585						-0.000015	-11.920841						-0.480711				-0.000006		-0.000002	-0.000000			-0.041954	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000004								-0.000002	-0.000001			-0.273999		-0.000006	0.084215	-0.000016	0.000029	-4.727147	11.920897	-0.000021	0.000015																																															-33.437963	
 1 	 7	0.000000																						-0.000002																																						50.634357	22.258849	0.000049			0.000000	8.712081	3.935529	7.733513		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528272		0.000041	0.000015	0.000024	0.000021					-0.000003	-0.626349					-1.450184						-0.000029	-23.093459						-0.480711				-0.000006		-0.000002	-0.000000			-0.041954	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000004								-0.000002	-0.000001			-0.273999		-0.000006	0.087983	-0.000016	0.000026	-2.846214	23.093542	-0.000020	0.000030																																															-34.044218	
 1 	 8	0.000000																						-0.000002																																						50.634357	22.258848	0.000049			0.000000	8.642384	3.702449	7.733513		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528272		0.000041	0.000015	0.000024	0.000021					-0.000003	-0.545529					-1.263061						-0.000025	-20.113629						-0.480711				-0.000006		-0.000002	-0.000000			-0.041954	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000003								-0.000002	-0.000001			-0.273999		-0.000006	0.105063	-0.000016	0.000032	-1.604379	20.113644	-0.000019	0.000026																																															-35.268237	
 1 	 9	0.000000																						-0.000002																																						50.634357	22.258848	0.000049			0.101587	8.580432	3.511298	7.733513		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528272		0.000041	0.000015	0.000024	0.000021					-0.000003	-0.505121					-1.169504						-0.000023	-18.623778						-0.480711				-0.000006		-0.000002	-0.000000			-0.041954	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000004								-0.000002	-0.000001			-0.273999		-0.000006	0.167672	-0.000015	0.000036	-0.624688	18.623793	-0.000019	0.000024																																															-36.292991	
 1 	 10	0.000000																						-0.000002																																						50.634357	22.258848	0.000049			7.689639	8.835986	3.444890	7.733513		0.000034	0.000013	0.000007						-0.000002	-0.000004	0.000073	0.000007	0.000005	0.000011	0.000006						-54.528272		0.000041	0.000015	0.000024	0.000021					-0.000003	-0.565736					-1.309848						-0.000026	-20.858682						-0.480711				-0.000006		-0.000002	-0.000000			-0.041954	-0.000001	-0.000000					-0.000002	-0.000002		0.929244		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000003								-0.000002	-0.000001			-0.273999		-0.000006	0.298499	-0.000013	0.000048	-7.639445	20.858698	-0.000018	0.000026																																															-36.985314	
