Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1								0.000000	3.116437																																																																																																											-10.389269																																							6.541013	0.000003	0.000004																																																													-1498887.400873	1498888.132685			0.000000	
 1 	 2								0.000000	3.116437																																																																																																											-10.389269																																							6.545062	0.000003	0.000004																																																													-1498836.173994	1498836.901757			0.000000	
 1 	 3								0.000000	3.116437																																																																																																											-10.389269																																							6.544217	0.000003	0.000004																																																													-1499226.252654	1499226.981262			0.000000	
 1 	 4								0.000000	3.116437																																																																																																											-10.389269																																							6.533886	0.000003	0.000004																																																													-1677079.395691	1677080.134630			0.000000	
 1 	 5								0.000000	3.116437																																																																																																											-10.389269																																							6.533003	0.000003	0.000004																																																													-1677081.241969	1677081.981791			0.000000	
 1 	 6								0.000000	3.116437																																																																																																											-10.389269																																							6.532728	0.000003	0.000004																																																													-1677077.683850	1677078.423947			0.000000	
 1 	 7								0.000000	3.116437																																																																																																											-10.389269																																							6.531417	0.000003	0.000004																																																													-1677070.299422	1677071.040830			0.000000	
 1 	 8								0.000000	3.116437																																																																																																											-10.389269																																							6.533122	0.000003	0.000004																																																													-1677073.441627	1677074.181329			0.000000	
 1 	 9								0.000000	3.116437																																																																																																											-10.389269																																							6.532635	0.000003	0.000004																																																													-1677075.711112	1677076.451302			0.000000	
 1 	 10								0.000000	3.116437																																																																																																											-10.389269																																							6.533218	0.000003	0.000004																																																													-1677076.206372	1677076.945979			0.000000	
 1 	 11								0.000000	3.116437																																																																																																											-10.389269																																							6.534462	0.000003	0.000004																																																													-1677077.356606	1677078.094968			0.000000	
 1 	 12								0.000000	3.116437																																																																																																											-10.389269																																							6.537378	0.000003	0.000004																																																													-1677077.030274	1677077.765720			0.000000	
 1 	 13								0.000000	3.116437																																																																																																											-10.389269																																							7.303109	0.000003	0.000004																																																													-1677076.714186	1677076.683902			0.000000	
 1 	 14								0.000000	3.116437																																																																																																											-10.389269																																							7.304582	0.000003	0.000004																																																													-1677076.624928	1677076.593171			0.000000	
 1 	 15								0.000000	3.116437																																																																																																											-10.389269																																							7.303512	0.000003	0.000004																																																													-1677077.197673	1677077.166986			0.000000	
 1 	 16								0.000000	3.116437																																																																																																											-10.389269																																							6.537884	0.000003	0.000004																																																													-1677074.754211	1677075.489152			0.000000	
 1 	 17								0.000000	3.116437																																																																																																											-10.389269																																							6.537472	0.000003	0.000004																																																													-1677075.180499	1677075.915852			0.000000	
 1 	 18								0.000000	3.116437																																																																																																											-10.389269																																							6.534534	0.000003	0.000004																																																													-1677074.545243	1677075.283533			0.000000	
 1 	 19								0.000000	3.116437																																																																																																											-10.389269																																							6.534237	0.000003	0.000004																																																													-1677074.889555	1677075.628143			0.000000	
 1 	 20								0.000000	3.116437																																																																																																											-10.389269																																							6.533951	0.000003	0.000004																																																													-1677076.156470	1677076.895344			0.000000	
 1 	 21								0.000000	3.116437																																																																																																											-10.389269																																							6.534190	0.000003	0.000004																																																													-1677076.687200	1677077.425834			0.000000	
 1 	 22								0.000000	3.116437																																																																																																											-10.389269																																							6.534295	0.000003	0.000004																																																													-1677077.019950	1677077.758479			0.000000	
 1 	 23								0.000000	3.116437																																																																																																											-10.389269																																							6.533650	0.000003	0.000004																																																													-1677062.093687	1677062.832861			0.000000	
 1 	 24								0.000000	3.116437																																																																																																											-10.389269																																							6.538033	0.000003	0.000004																																																													-1677062.442221	1677063.177013			0.000000	
 2 	 1								0.000000	3.116437																																																																																																											-10.389269																																							6.521566	0.000004	0.000005																																																													-1498935.029194	1498935.780451			0.000000	
 2 	 2								0.000000	3.116437																																																																																																											-10.389269																																							6.524265	0.000004	0.000005																																																													-1498833.941869	1498834.690428			0.000000	
 2 	 3								0.000000	3.116437																																																																																																											-10.389269																																							6.525351	0.000004	0.000005																																																													-1499166.622663	1499167.370136			0.000000	
 2 	 4								0.000000	3.116437																																																																																																											-10.389269																																							6.517415	0.000004	0.000005																																																													-1677070.443433	1677071.198841			0.000000	
 2 	 5								0.000000	3.116437																																																																																																											-10.389269																																							6.515325	0.000004	0.000005																																																													-1677078.271223	1677079.028721			0.000000	
 2 	 6								0.000000	3.116437																																																																																																											-10.389269																																							6.514351	0.000004	0.000005																																																													-1677077.255888	1677078.014360			0.000000	
 2 	 7								0.000000	3.116437																																																																																																											-10.389269																																							6.513622	0.000004	0.000005																																																													-1677060.467842	1677061.227043			0.000000	
 2 	 8								0.000000	3.116437																																																																																																											-10.389269																																							6.515185	0.000004	0.000005																																																													-1677070.840924	1677071.598562			0.000000	
 2 	 9								0.000000	3.116437																																																																																																											-10.389269																																							6.515091	0.000004	0.000005																																																													-1677073.827776	1677074.585508			0.000000	
 2 	 10								0.000000	3.116437																																																																																																											-10.389269																																							6.515026	0.000004	0.000005																																																													-1677076.023008	1677076.780805			0.000000	
 2 	 11								0.000000	3.116437																																																																																																											-10.389269																																							7.280069	0.000004	0.000005																																																													-1677077.714176	1677077.706930			0.000000	
 2 	 12								0.000000	3.116437																																																																																																											-10.389269																																							7.451296	0.000004	0.000005																																																													-1677077.022105	1677076.843632			0.000000	
 2 	 13								0.000000	3.116437																																																																																																											-10.389269																																							7.451305	0.000004	0.000005																																																													-1677076.418962	1677076.240480			0.000000	
 2 	 14								0.000000	3.116437																																																																																																											-10.389269																																							7.451312	0.000004	0.000005																																																													-1677076.843329	1677076.664840			0.000000	
 2 	 15								0.000000	3.116437																																																																																																											-10.389269																																							7.451306	0.000004	0.000005																																																													-1677076.348547	1677076.170064			0.000000	
