Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000015			-0.000001					0.000005	7.174577	0.000006				-6.319687																	0.000001																																																																-35959.269455	35959.407262							-0.992694	
 1 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000015			-0.000001					0.000004	7.173939	0.000006				-6.319688																	0.000001																																																																-36010.054061	36010.192508							-0.992694	
 1 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000014			-0.000001					0.000004	7.177848	0.000006				-6.319688																	0.000001																																																																-35851.394757	35851.529295							-0.992694	
 1 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172834	0.000006				-6.319677																	0.000001																																																																-33728.696465	33728.836008							-0.992694	
 1 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172594	0.000006				-6.319676																	0.000001																																																																-32983.488146	32983.627927							-0.992694	
 1 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172535	0.000006				-6.319676																	0.000001																																																																-33104.191613	33104.331454							-0.992694	
 1 	 7																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172051	0.000006				-6.319676																	0.000001																																																																-33323.909563	33324.049887							-0.992694	
 1 	 8																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172738	0.000006				-6.319676																	0.000001																																																																-33480.888399	33481.028036							-0.992694	
 1 	 9																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172510	0.000006				-6.319676																	0.000001																																																																-33584.418912	33584.558777							-0.992694	
 1 	 10																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172475	0.000006				-6.319676																	0.000001																																																																-33670.928321	33671.068221							-0.992694	
 1 	 11																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000004	7.172409	0.000006				-6.319676																	0.000001																																																																-33719.345937	33719.485903							-0.992694	
 1 	 12																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172505	0.000006				-6.319213																	0.000001																																																																-33743.055239	33743.194645							-0.992694	
 1 	 13																				0.000000		0.000000																																																																																									-0.000000								-0.000015			-0.000001					0.000005	7.172690	0.000006				-6.283542																	0.000001																																																																-33759.094881	33759.198430							-0.992694	
 1 	 14																				0.000000		0.000000																																																																																									-0.000000								-0.000015			-0.000001					0.000005	7.172943	0.000006				-6.283495																	0.000001																																																																-33770.935295	33771.038545							-0.992694	
 1 	 15																				0.000000		0.000000																																																																																									-0.000000								-0.000015			-0.000001					0.000005	7.172708	0.000006				-6.283535																	0.000001																																																																-33766.008187	33766.111712							-0.992694	
 1 	 16																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172611	0.000006				-6.319212																	0.000001																																																																-33761.125594	33761.264894							-0.992694	
 1 	 17																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000004	7.172697	0.000006				-6.319677																	0.000001																																																																-33728.584564	33728.724243							-0.992694	
 1 	 18																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172722	0.000006				-6.319677																	0.000001																																																																-33695.395918	33695.535572							-0.992694	
 1 	 19																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172769	0.000006				-6.319677																	0.000001																																																																-33621.533273	33621.672881							-0.992694	
 1 	 20																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172709	0.000006				-6.319676																	0.000001																																																																-33508.476011	33508.615677							-0.992694	
 1 	 21																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.172892	0.000006				-6.319677																	0.000001																																																																-33387.673468	33387.812952							-0.992694	
 1 	 22																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.173011	0.000006				-6.319677																	0.000001																																																																-33233.067052	33233.206417							-0.992694	
 1 	 23																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.173382	0.000006				-6.319677																	0.000001																																																																-33162.494287	33162.633280							-0.992694	
 1 	 24																				0.000000		0.000000																																																																																									-0.000000								-0.000015			-0.000001					0.000005	7.174421	0.000006				-6.319677																	0.000001																																																																-33620.933247	33621.071201							-0.992694	
 2 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000017			-0.000001					0.000006	7.144108	0.000007				-6.319191																	0.000001																																																																-35968.648327	35968.816109							-0.992694	
 2 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000016			-0.000001					0.000005	7.143291	0.000007				-6.319205																	0.000001																																																																-35942.238782	35942.407394							-0.992694	
 2 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000017			-0.000001					0.000005	7.148316	0.000006				-6.319220																	0.000001																																																																-35795.136933	35795.300536							-0.992694	
 2 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000018			-0.000001					0.000006	7.141984	0.000006				-6.319206																	0.000001																																																																-33759.594471	33759.764392							-0.992694	
 2 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000018			-0.000001					0.000006	7.141402	0.000006				-6.319211																	0.000001																																																																-33136.056898	33136.227407							-0.992694	
 2 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000018			-0.000001					0.000006	7.140997	0.000006				-6.319211																	0.000001																																																																-33202.511121	33202.682035							-0.992694	
