Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501110		0.000001			0.000013									-0.000006																																	-0.000412	0.000757	-36.035383	65.574763																							-26.038854	
 1 	 2																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501110		0.000001			0.000013									-0.000006																																	-0.000482	0.000661	-35.813033	66.053859																							-26.740132	
 1 	 3																																																																																0.000020	0.000086	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000002	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000013									-0.000006																																	-0.000524	0.000610	-35.835342	66.122287																							-26.786158	
 1 	 4																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501110		0.000001			0.000014									-0.000006																																	-0.000550	0.000584	-35.884718	66.214181																							-26.828627	
 1 	 5																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000014									-0.000006																																	-0.000564	0.000570	-35.839192	66.400991																							-27.060935	
 1 	 6																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000014									-0.000006																																	-0.000570	0.000564	-35.553170	66.907150																							-27.853104	
 1 	 7																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000014									-0.000007																																	-0.000574	0.000561	-35.308506	67.351649																							-28.542259	
 1 	 8																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000014									-0.000007																																	-0.000570	0.000564	-35.037141	67.647107																							-29.109090	
 1 	 9																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000014									-0.000006																																	-0.000573	0.000560	-34.798499	68.072292																							-29.772909	
 1 	 10																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000004																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000013									-0.000006																																	-0.000572	0.000561	-34.541404	68.379989																							-30.337708	
 1 	 11																																																																																0.000020	0.000085	0.000031	0.000016	0.000019	0.000011	0.000013	0.000021	0.000008		0.000018																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501110		0.000001			0.000014									-0.000006																																	-0.000572	0.000561	-34.884206	67.729882																							-29.344811	
 1 	 12																																																																																17.511936	0.000063	0.000016	0.000011	0.000007	0.000009	0.000013	0.000021	0.000008		0.000038																																				0.000011	0.000001															0.000002	0.000003	-0.000003					-3.501131		0.000001			0.000031									-0.000008																																	-0.000570	0.000562	-42.450244	57.012858																							-28.573635	
 1 	 13																																																																																17.512105	0.000006	0.000010	0.000008	0.000004	0.000007	0.000013	0.000021	0.000008		0.000052																																				0.721200	0.000001															0.000002	0.000003	-0.000003					-3.512579		0.000001			0.009585									-0.000009																																	-0.000571	0.000561	-43.514120	55.644160																							-26.860465	
 1 	 14																																																																																17.512104	0.000007	0.000010	0.000008	0.000004	0.000007	0.000013	0.000021	0.000008		0.000059																																				0.721200	0.000001															0.000002	0.000003	-0.000003					-3.512703		0.000001			0.009688									-0.000009																																	-0.000568	0.000563	-43.962124	55.073801																							-25.842092	
 1 	 15																																																																																17.512105	0.000006	0.000010	0.000008	0.000004	0.000007	0.000013	0.000021	0.000008		0.000052																																				0.721200	0.000001															0.000002	0.000003	-0.000003					-3.512618		0.000001			0.009618									-0.000009																																	-0.000567	0.000563	-44.496581	54.442205																							-24.676048	
 1 	 16																																																																																17.511847	0.000064	0.000016	0.000011	0.000008	0.000009	0.000013	0.000021	0.000008		0.000035																																				0.000011	0.000001															0.000002	0.000002	-0.000003					-3.501133		0.000001			0.000032									-0.000008																																	-0.000567	0.000563	-44.520621	54.226273																							-23.716585	
 1 	 17																																																																																0.000020	0.000085	0.000031	0.000016	0.000019	0.000011	0.000013	0.000021	0.000008		0.000015																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501110		0.000001			0.000014									-0.000006																																	-0.000568	0.000563	-37.138952	64.055407																							-23.415592	
 1 	 18																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000002																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000013									-0.000006																																	-0.000573	0.000559	-36.768160	64.776843																							-24.507801	
 1 	 19																																																																																0.000020	0.000087	0.000031	0.000016	0.000018	0.000011	0.000013	0.000021	0.000008		0.000000																																				0.000003	0.000001															0.000002	0.000003	-0.000003					-3.501109		0.000001			0.000013									-0.000006																																	-0.000579	0.000555	-36.095614	65.965384																							-26.368876	
