Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																																																		1.982993	0.000003	0.000025	5.089924																																																																																									-7.072945	
 1 	 2																																																																																																																																		1.982992	0.000003	0.000025	5.089925																																																																																									-7.072945	
 1 	 3																																																																																																																																		1.982999	0.000003	0.000026	5.089918																																																																																									-7.072945	
 1 	 4																																																																																																																																		1.983045	0.000003	0.000025	5.089872																																																																																									-7.072945	
 1 	 5																																																																																																																																		1.983050	0.000003	0.000025	5.089867																																																																																									-7.072945	
 1 	 6																																																																																																																																		1.983050	0.000003	0.000025	5.089867																																																																																									-7.072945	
 1 	 7																																																																																																																																		1.983050	0.000003	0.000025	5.089867																																																																																									-7.072945	
 1 	 8																																																																																																																																		1.983052	0.000003	0.000025	5.089866																																																																																									-7.072945	
 1 	 9																																																																																																																																		1.983051	0.000003	0.000025	5.089867																																																																																									-7.072945	
 1 	 10																																																																																																																																		1.983052	0.000003	0.000025	5.089865																																																																																									-7.072945	
 1 	 11																																																																																																																																		1.983053	0.000003	0.000025	5.089864																																																																																									-7.072945	
 1 	 12																																																																																																																																		1.984002	0.000004	0.000025	5.088914																																																																																									-7.072945	
 1 	 13																																																																																																																																		2.010899	0.000005	0.000026	5.062015																																																																																									-7.072945	
 1 	 14																																																																																																																																		2.010912	0.000005	0.000026	5.062003																																																																																									-7.072945	
 1 	 15																																																																																																																																		2.010904	0.000005	0.000026	5.062011																																																																																									-7.072945	
 1 	 16																																																																																																																																		1.983998	0.000004	0.000025	5.088918																																																																																									-7.072945	
 1 	 17																																																																																																																																		1.983049	0.000003	0.000025	5.089868																																																																																									-7.072945	
 1 	 18																																																																																																																																		1.983048	0.000003	0.000025	5.089869																																																																																									-7.072945	
 1 	 19																																																																																																																																		1.983051	0.000003	0.000025	5.089866																																																																																									-7.072945	
 1 	 20																																																																																																																																		1.983051	0.000003	0.000025	5.089866																																																																																									-7.072945	
 1 	 21																																																																																																																																		1.983051	0.000003	0.000025	5.089867																																																																																									-7.072945	
 1 	 22																																																																																																																																		1.983051	0.000003	0.000025	5.089867																																																																																									-7.072945	
 1 	 23																																																																																																																																		1.983050	0.000003	0.000025	5.089867																																																																																									-7.072945	
 1 	 24																																																																																																																																		1.983044	0.000003	0.000025	5.089874																																																																																									-7.072945	
 2 	 1																																																																																																																																		1.984050	0.000005	0.000025	5.088866																																																																																									-7.072945	
 2 	 2																																																																																																																																		1.984030	0.000005	0.000025	5.088885																																																																																									-7.072945	
 2 	 3																																																																																																																																		1.984002	0.000005	0.000025	5.088914																																																																																									-7.072945	
 2 	 4																																																																																																																																		1.984018	0.000005	0.000025	5.088898																																																																																									-7.072945	
 2 	 5																																																																																																																																		1.984010	0.000005	0.000025	5.088906																																																																																									-7.072945	
 2 	 6																																																																																																																																		1.984010	0.000005	0.000025	5.088906																																																																																									-7.072945	
 2 	 7																																																																																																																																		1.984010	0.000005	0.000025	5.088906																																																																																									-7.072945	
 2 	 8																																																																																																																																		1.984011	0.000005	0.000025	5.088905																																																																																									-7.072945	
 2 	 9																																																																																																																																		1.984012	0.000005	0.000025	5.088905																																																																																									-7.072945	
 2 	 10																																																																																																																																		1.984025	0.000005	0.000025	5.088891																																																																																									-7.072945	
 2 	 11																																																																																																																																		2.010754	0.000006	0.000025	5.062160																																																																																									-7.072945	
 2 	 12																																																																																																																																		2.010879	0.000006	0.000025	5.062035																																																																																									-7.072945	
 2 	 13																																																																																																																																		2.010989	0.000006	0.000025	5.061925																																																																																									-7.072945	
 2 	 14																																																																																																																																		2.010988	0.000006	0.000025	5.061926																																																																																									-7.072945	
 2 	 15																																																																																																																																		2.010988	0.000006	0.000025	5.061926																																																																																									-7.072945	
 2 	 16																																																																																																																																		2.010767	0.000006	0.000025	5.062147																																																																																									-7.072945	
 2 	 17																																																																																																																																		2.010743	0.000006	0.000025	5.062171																																																																																									-7.072945	
 2 	 18																																																																																																																																		1.984048	0.000005	0.000025	5.088868																																																																																									-7.072945	
 2 	 19																																																																																																																																		1.984016	0.000005	0.000025	5.088900																																																																																									-7.072945	
 2 	 20																																																																																																																																		1.984016	0.000005	0.000025	5.088900																																																																																									-7.072945	
 2 	 21																																																																																																																																		1.984015	0.000005	0.000025	5.088901																																																																																									-7.072945	
 2 	 22																																																																																																																																		1.984007	0.000005	0.000025	5.088909																																																																																									-7.072945	
 2 	 23																																																																																																																																		1.984017	0.000005	0.000025	5.088899																																																																																									-7.072945	
 2 	 24																																																																																																																																		1.984040	0.000005	0.000025	5.088876																																																																																									-7.072945	
 3 	 1																																																																																																																																		2.011645	0.000003	0.000028	5.061268																																																																																									-7.072945	
 3 	 2																																																																																																																																		2.011655	0.000003	0.000028	5.061259																																																																																									-7.072945	
 3 	 3																																																																																																																																		2.011575	0.000003	0.000028	5.061339																																																																																									-7.072945	
 3 	 4																																																																																																																																		2.011544	0.000004	0.000028	5.061370																																																																																									-7.072945	
 3 	 5																																																																																																																																		2.011505	0.000004	0.000028	5.061409																																																																																									-7.072945	
 3 	 6																																																																																																																																		2.011525	0.000004	0.000028	5.061389																																																																																									-7.072945	
 3 	 7																																																																																																																																		2.011521	0.000004	0.000028	5.061393																																																																																									-7.072945	
 3 	 8																																																																																																																																		2.011507	0.000004	0.000028	5.061407																																																																																									-7.072945	
 3 	 9																																																																																																																																		2.011507	0.000004	0.000028	5.061407																																																																																									-7.072945	
 3 	 10																																																																																																																																		2.011507	0.000004	0.000028	5.061407																																																																																									-7.072945	
 3 	 11																																																																																																																																		2.011508	0.000004	0.000028	5.061406																																																																																									-7.072945	
 3 	 12																																																																																																																																		2.010890	0.000004	0.000028	5.062024																																																																																									-7.072945	
 3 	 13																																																																																																																																		2.010889	0.000004	0.000028	5.062025																																																																																									-7.072945	
 3 	 14																																																																																																																																		2.010884	0.000004	0.000028	5.062030																																																																																									-7.072945	
 3 	 15																																																																																																																																		2.011158	0.000004	0.000028	5.061756																																																																																									-7.072945	
 3 	 16																																																																																																																																		2.011505	0.000004	0.000028	5.061409																																																																																									-7.072945	
 3 	 17																																																																																																																																		2.011505	0.000004	0.000028	5.061409																																																																																									-7.072945	
 3 	 18																																																																																																																																		2.011505	0.000004	0.000028	5.061409																																																																																									-7.072945	
 3 	 19																																																																																																																																		2.011504	0.000004	0.000028	5.061410																																																																																									-7.072945	
 3 	 20																																																																																																																																		2.011504	0.000004	0.000028	5.061410																																																																																									-7.072945	
 3 	 21																																																																																																																																		2.011503	0.000004	0.000028	5.061411																																																																																									-7.072945	
 3 	 22																																																																																																																																		2.011503	0.000004	0.000028	5.061411																																																																																									-7.072945	
 3 	 23																																																																																																																																		2.011542	0.000004	0.000028	5.061372																																																																																									-7.072945	
 3 	 24																																																																																																																																		2.011627	0.000004	0.000028	5.061287																																																																																									-7.072945	
 4 	 1																																																																																																																																		2.011216	0.000005	0.000026	5.061698																																																																																									-7.072945	
 4 	 2																																																																																																																																		2.011266	0.000005	0.000026	5.061648																																																																																									-7.072945	
 4 	 3																																																																																																																																		2.011064	0.000005	0.000026	5.061850																																																																																									-7.072945	
 4 	 4																																																																																																																																		2.011010	0.000005	0.000026	5.061904																																																																																									-7.072945	
 4 	 5																																																																																																																																		2.010937	0.000005	0.000026	5.061977																																																																																									-7.072945	
 4 	 6																																																																																																																																		2.010937	0.000005	0.000026	5.061977																																																																																									-7.072945	
 4 	 7																																																																																																																																		2.010891	0.000005	0.000026	5.062024																																																																																									-7.072945	
 4 	 8																																																																																																																																		2.010833	0.000005	0.000026	5.062082																																																																																									-7.072945	
 4 	 9																																																																																																																																		2.010942	0.000005	0.000026	5.061973																																																																																									-7.072945	
 4 	 10																																																																																																																																		2.011181	0.000005	0.000026	5.061734																																																																																									-7.072945	
 4 	 11																																																																																																																																		2.010356	0.000005	0.000026	5.062559																																																																																									-7.072945	
 4 	 12																																																																																																																																		1.970545	0.000005	0.000026	5.102370																																																																																									-7.072945	
 4 	 13																																																																																																																																		1.969804	0.000005	0.000026	5.103110																																																																																									-7.072945	
 4 	 14																																																																																																																																		1.969415	0.000007	0.000027	5.103497																																																																																									-7.072945	
 4 	 15																																																																																																																																		1.969579	0.000006	0.000026	5.103335																																																																																									-7.072945	
 4 	 16																																																																																																																																		1.977342	0.000005	0.000026	5.095572																																																																																									-7.072945	
 4 	 17																																																																																																																																		2.010352	0.000005	0.000026	5.062562																																																																																									-7.072945	
 4 	 18																																																																																																																																		2.011101	0.000005	0.000026	5.061813																																																																																									-7.072945	
 4 	 19																																																																																																																																		2.011086	0.000005	0.000026	5.061828																																																																																									-7.072945	
 4 	 20																																																																																																																																		2.011061	0.000005	0.000026	5.061854																																																																																									-7.072945	
 4 	 21																																																																																																																																		2.011032	0.000005	0.000026	5.061882																																																																																									-7.072945	
 4 	 22																																																																																																																																		2.011000	0.000005	0.000026	5.061915																																																																																									-7.072945	
 4 	 23																																																																																																																																		2.011022	0.000005	0.000026	5.061892																																																																																									-7.072945	
 4 	 24																																																																																																																																		2.011203	0.000005	0.000026	5.061711																																																																																									-7.072945	
 5 	 1																																																																																																																																		2.011294	0.000006	0.000026	5.061620																																																																																									-7.072945	
 5 	 2																																																																																																																																		2.011322	0.000006	0.000026	5.061592																																																																																									-7.072945	
 5 	 3																																																																																																																																		2.011111	0.000006	0.000026	5.061803																																																																																									-7.072945	
 5 	 4																																																																																																																																		2.011033	0.000006	0.000026	5.061882																																																																																									-7.072945	
 5 	 5																																																																																																																																		2.010932	0.000006	0.000026	5.061982																																																																																									-7.072945	
 5 	 6																																																																																																																																		2.010898	0.000006	0.000026	5.062017																																																																																									-7.072945	
 5 	 7																																																																																																																																		2.010877	0.000006	0.000025	5.062038																																																																																									-7.072945	
 5 	 8																																																																																																																																		2.010874	0.000006	0.000025	5.062040																																																																																									-7.072945	
 5 	 9																																																																																																																																		2.011040	0.000006	0.000025	5.061875																																																																																									-7.072945	
 5 	 10																																																																																																																																		2.011136	0.000006	0.000025	5.061778																																																																																									-7.072945	
 5 	 11																																																																																																																																		2.011111	0.000006	0.000025	5.061803																																																																																									-7.072945	
 5 	 12																																																																																																																																		2.010248	0.000006	0.000025	5.062666																																																																																									-7.072945	
 5 	 13																																																																																																																																		2.010245	0.000006	0.000025	5.062669																																																																																									-7.072945	
 5 	 14																																																																																																																																		1.977390	0.000006	0.000025	5.095524																																																																																									-7.072945	
 5 	 15																																																																																																																																		2.010243	0.000006	0.000025	5.062671																																																																																									-7.072945	
 5 	 16																																																																																																																																		2.010242	0.000006	0.000025	5.062672																																																																																									-7.072945	
 5 	 17																																																																																																																																		2.010580	0.000006	0.000025	5.062335																																																																																									-7.072945	
 5 	 18																																																																																																																																		2.011099	0.000006	0.000025	5.061815																																																																																									-7.072945	
 5 	 19																																																																																																																																		2.011150	0.000006	0.000026	5.061764																																																																																									-7.072945	
 5 	 20																																																																																																																																		2.011131	0.000006	0.000026	5.061783																																																																																									-7.072945	
 5 	 21																																																																																																																																		2.011100	0.000006	0.000026	5.061814																																																																																									-7.072945	
 5 	 22																																																																																																																																		2.011082	0.000006	0.000026	5.061832																																																																																									-7.072945	
 5 	 23																																																																																																																																		2.011116	0.000006	0.000026	5.061799																																																																																									-7.072945	
 5 	 24																																																																																																																																		2.011275	0.000006	0.000026	5.061639																																																																																									-7.072945	
 6 	 1																																																																																																																																		2.011174	0.000004	0.000028	5.061740																																																																																									-7.072945	
 6 	 2																																																																																																																																		2.011190	0.000003	0.000028	5.061724																																																																																									-7.072945	
 6 	 3																																																																																																																																		2.011018	0.000003	0.000028	5.061896																																																																																									-7.072945	
 6 	 4																																																																																																																																		2.010963	0.000004	0.000028	5.061951																																																																																									-7.072945	
 6 	 5																																																																																																																																		2.010887	0.000004	0.000028	5.062027																																																																																									-7.072945	
 6 	 6																																																																																																																																		2.011502	0.000004	0.000028	5.061412																																																																																									-7.072945	
 6 	 7																																																																																																																																		2.011506	0.000004	0.000028	5.061408																																																																																									-7.072945	
 6 	 8																																																																																																																																		2.011503	0.000004	0.000028	5.061411																																																																																									-7.072945	
 6 	 9																																																																																																																																		2.010890	0.000004	0.000028	5.062024																																																																																									-7.072945	
 6 	 10																																																																																																																																		2.010891	0.000004	0.000028	5.062023																																																																																									-7.072945	
 6 	 11																																																																																																																																		1.969399	0.000005	0.000029	5.103513																																																																																									-7.072945	
 6 	 12																																																																																																																																		1.969399	0.000005	0.000029	5.103512																																																																																									-7.072945	
 6 	 13																																																																																																																																		1.969399	0.000005	0.000029	5.103512																																																																																									-7.072945	
 6 	 14																																																																																																																																		1.969399	0.000005	0.000029	5.103513																																																																																									-7.072945	
 6 	 15																																																																																																																																		1.969400	0.000005	0.000029	5.103512																																																																																									-7.072945	
 6 	 16																																																																																																																																		1.969400	0.000005	0.000029	5.103512																																																																																									-7.072945	
 6 	 17																																																																																																																																		1.969399	0.000005	0.000029	5.103512																																																																																									-7.072945	
 6 	 18																																																																																																																																		1.969398	0.000005	0.000029	5.103514																																																																																									-7.072945	
 6 	 19																																																																																																																																		2.010882	0.000004	0.000028	5.062032																																																																																									-7.072945	
 6 	 20																																																																																																																																		2.010885	0.000004	0.000028	5.062029																																																																																									-7.072945	
 6 	 21																																																																																																																																		2.010880	0.000004	0.000028	5.062034																																																																																									-7.072945	
 6 	 22																																																																																																																																		2.010882	0.000004	0.000028	5.062032																																																																																									-7.072945	
 6 	 23																																																																																																																																		2.010948	0.000004	0.000028	5.061966																																																																																									-7.072945	
 6 	 24																																																																																																																																		2.011171	0.000004	0.000028	5.061743																																																																																									-7.072945	
 7 	 1																																																																																																																																		2.011336	0.000004	0.000028	5.061578																																																																																									-7.072945	
 7 	 2																																																																																																																																		2.011349	0.000004	0.000028	5.061565																																																																																									-7.072945	
 7 	 3																																																																																																																																		2.011201	0.000004	0.000028	5.061712																																																																																									-7.072945	
 7 	 4																																																																																																																																		2.011513	0.000004	0.000028	5.061401																																																																																									-7.072945	
 7 	 5																																																																																																																																		2.011472	0.000004	0.000028	5.061442																																																																																									-7.072945	
 7 	 6																																																																																																																																		2.011472	0.000004	0.000028	5.061442																																																																																									-7.072945	
 7 	 7																																																																																																																																		2.011476	0.000004	0.000028	5.061438																																																																																									-7.072945	
 7 	 8																																																																																																																																		2.011473	0.000004	0.000028	5.061441																																																																																									-7.072945	
 7 	 9																																																																																																																																		2.011102	0.000004	0.000028	5.061812																																																																																									-7.072945	
 7 	 10																																																																																																																																		2.011103	0.000004	0.000028	5.061812																																																																																									-7.072945	
 7 	 11																																																																																																																																		2.010832	0.000004	0.000028	5.062082																																																																																									-7.072945	
 7 	 12																																																																																																																																		1.969525	0.000004	0.000028	5.103389																																																																																									-7.072945	
