Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																						0.286867	0.119624	0.000001	0.434095	0.000001	0.593747																																																																																																																			-1.434334	
 1 	 2																																																																																																						0.114844	0.047890	0.000000	0.173786	0.000000	0.237701																																																																																																																			-0.574222	
 1 	 3																																																																																																						0.057178	0.023843	0.000000	0.086523	0.000000	0.118345																																																																																																																			-0.285889	
 1 	 4																																																																																																						0.689067	0.287341	0.000001	1.042715	0.000002	1.426207																																																																																																																			-3.445333	
 1 	 5																																																																																																						1.837512	0.766243	0.000004	2.780574	0.000004	3.803219																																																																																																																			-9.187554	
 1 	 6																																																																																																						4.593779	1.915607	0.000009	6.951435	0.000010	9.508048																																																																																																																			-22.968884	
 1 	 7																																																																																																						8.899225	3.710980	0.000017	13.466556	0.000020	18.419314																																																																																																																			-44.496105	
 1 	 8																																																																																																						7.750927	3.232139	0.000015	11.728919	0.000017	16.042606																																																																																																																			-38.754617	
 1 	 9																																																																																																						7.176803	2.992729	0.000014	10.860138	0.000016	14.854302																																																																																																																			-35.883995	
 1 	 10																																																																																																						8.038038	3.351864	0.000016	12.163384	0.000018	16.636859																																																																																																																			-40.190172	
 1 	 11																																																																																																						9.186288	3.830685	0.000018	13.900947	0.000020	19.013466																																																																																																																			-45.931416	
 1 	 12																																																																																																						10.104946	4.213765	0.000020	15.291086	0.000022	20.914873																																																																																																																			-50.524704	
 1 	 13																																																																																																						9.186288	3.830685	0.000018	13.900947	0.000020	19.013466																																																																																																																			-45.931416	
 1 	 14																																																																																																						9.301132	3.878575	0.000018	14.074732	0.000021	19.251167																																																																																																																			-46.505638	
 1 	 15																																																																																																						10.449430	4.357415	0.000020	15.812369	0.000023	21.627876																																																																																																																			-52.247126	
 1 	 16																																																																																																						10.908760	4.548956	0.000021	16.507439	0.000024	22.578579																																																																																																																			-54.543770	
 1 	 17																																																																																																						10.908760	4.548956	0.000021	16.507439	0.000024	22.578579																																																																																																																			-54.543770	
 1 	 18																																																																																																						8.038038	3.351864	0.000016	12.163384	0.000018	16.636859																																																																																																																			-40.190172	
 1 	 19																																																																																																						5.741442	2.394183	0.000011	8.688110	0.000013	11.883441																																																																																																																			-28.707196	
 1 	 20																																																																																																						4.305446	1.795372	0.000008	6.515121	0.000010	8.911266																																																																																																																			-21.527220	
 1 	 21																																																																																																						2.868669	1.196236	0.000006	4.340949	0.000006	5.937472																																																																																																																			-14.343335	
 1 	 22																																																																																																						1.837512	0.766243	0.000004	2.780574	0.000004	3.803219																																																																																																																			-9.187554	
 1 	 23																																																																																																						1.148445	0.478902	0.000002	1.737859	0.000003	2.377012																																																																																																																			-5.742221	
 1 	 24																																																																																																						0.459378	0.191561	0.000001	0.695143	0.000001	0.950805																																																																																																																			-2.296888	
 2 	 1																																																																																																						0.286867	0.119624	0.000001	0.434095	0.000001	0.593747																																																																																																																			-1.434334	
 2 	 2																																																																																																						0.114844	0.047890	0.000000	0.173786	0.000000	0.237701																																																																																																																			-0.574222	
 2 	 3																																																																																																						0.057178	0.023843	0.000000	0.086523	0.000000	0.118345																																																																																																																			-0.285889	
 2 	 4																																																																																																						0.689067	0.287341	0.000001	1.042715	0.000002	1.426207																																																																																																																			-3.445333	
 2 	 5																																																																																																						1.837512	0.766243	0.000004	2.780574	0.000004	3.803219																																																																																																																			-9.187554	
 2 	 6																																																																																																						4.593779	1.915607	0.000009	6.951435	0.000010	9.508048																																																																																																																			-22.968884	
 2 	 7																																																																																																						8.899225	3.710980	0.000017	13.466556	0.000020	18.419314																																																																																																																			-44.496105	
 2 	 8																																																																																																						7.750927	3.232139	0.000015	11.728919	0.000017	16.042606																																																																																																																			-38.754617	
 2 	 9																																																																																																						7.176803	2.992729	0.000014	10.860138	0.000016	14.854302																																																																																																																			-35.883995	
 2 	 10																																																																																																						8.038038	3.351864	0.000016	12.163384	0.000018	16.636859																																																																																																																			-40.190172	
 2 	 11																																																																																																						9.186288	3.830685	0.000018	13.900947	0.000020	19.013466																																																																																																																			-45.931416	
 2 	 12																																																																																																						10.104946	4.213765	0.000020	15.291086	0.000022	20.914873																																																																																																																			-50.524704	
 2 	 13																																																																																																						9.186288	3.830685	0.000018	13.900947	0.000020	19.013466																																																																																																																			-45.931416	
 2 	 14																																																																																																						9.301132	3.878575	0.000018	14.074732	0.000021	19.251167																																																																																																																			-46.505638	
 2 	 15																																																																																																						10.449430	4.357415	0.000020	15.812369	0.000023	21.627876																																																																																																																			-52.247126	
 2 	 16																																																																																																						10.908760	4.548956	0.000021	16.507439	0.000024	22.578579																																																																																																																			-54.543770	
 2 	 17																																																																																																						10.908760	4.548956	0.000021	16.507439	0.000024	22.578579																																																																																																																			-54.543770	
 2 	 18																																																																																																						8.038038	3.351864	0.000016	12.163384	0.000018	16.636859																																																																																																																			-40.190172	
 2 	 19																																																																																																						5.741442	2.394183	0.000011	8.688110	0.000013	11.883441																																																																																																																			-28.707196	
 2 	 20																																																																																																						4.305446	1.795372	0.000008	6.515121	0.000010	8.911266																																																																																																																			-21.527220	
 2 	 21																																																																																																						2.868669	1.196236	0.000006	4.340949	0.000006	5.937472																																																																																																																			-14.343335	
 2 	 22																																																																																																						1.837512	0.766243	0.000004	2.780574	0.000004	3.803219																																																																																																																			-9.187554	
 2 	 23																																																																																																						1.148445	0.478902	0.000002	1.737859	0.000003	2.377012																																																																																																																			-5.742221	
