Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																			0.000000		0.000000																																										-0.000060																																																															0.000014																									-0.000006																																																													-33076.757263	33081.100352									-4.343037	
 1 	 2																			0.000000		0.000000																																										-0.000060																																																															0.000013																									-0.000006																																																													-32896.422918	32900.766007									-4.343037	
 1 	 3																			0.000000		0.000000																																										-0.000059																																																															0.000012																									-0.000006																																																													-32545.482181	32549.825270									-4.343037	
 1 	 4																			0.000000		0.000000																																										-0.000061																																																															0.000015																									-0.000006																																																													-33004.695499	33009.038586									-4.343037	
 1 	 5																			0.000000		0.000000																																										-0.000060																																																															0.000015																									-0.000006																																																													-32994.534495	32998.877583									-4.343037	
 1 	 6																			0.000000		0.000000																																										-0.000061																																																															0.000015																									-0.000006																																																													-32992.892762	32997.235850									-4.343037	
 1 	 7																			0.000000		0.000000																																										-0.000061																																																															0.000015																									-0.000006																																																													-32989.697848	32994.040935									-4.343037	
 1 	 8																			0.000000		0.000000																																										-0.000059																																																															0.000015																									-0.000006																																																													-32974.162579	32978.505665									-4.343037	
 1 	 9																			0.000000		0.000000																																										-0.000059																																																															0.000015																									-0.000006																																																													-32974.436299	32978.779385									-4.343037	
 1 	 10																			0.000000		0.000000																																										-0.000062																																																															0.000015																									-0.000006																																																													-32972.142002	32976.485091									-4.343037	
 1 	 11																			0.000000		0.000000																																										-0.000064																																																															0.000015																									-0.000006																																																													-32970.849240	32975.192331									-4.343037	
 1 	 12																			0.000000		0.000000																																										-0.000007																																																															0.000055																									-0.000006																																																													-32968.138451	32972.481444									-4.343037	
 1 	 13																			0.000000		0.000000																																										-0.000004																																																															5.381786																									-0.000006																																																													-32968.728099	32967.689359									-4.343037	
 1 	 14																			0.000000		0.000000																																										-0.000004																																																															5.381790																									-0.000006																																																													-32970.275709	32969.236966									-4.343037	
 1 	 15																			0.000000		0.000000																																										-0.000004																																																															5.381785																									-0.000006																																																													-32964.904110	32963.865371									-4.343037	
 1 	 16																			0.000000		0.000000																																										-0.000007																																																															0.000056																									-0.000006																																																													-32945.095241	32949.438235									-4.343037	
 1 	 17																			0.000000		0.000000																																										-0.000064																																																															0.000015																									-0.000006																																																													-32959.812145	32964.155236									-4.343037	
 1 	 18																			0.000000		0.000000																																										-0.000062																																																															0.000015																									-0.000006																																																													-32971.662145	32976.005234									-4.343037	
 1 	 19																			0.000000		0.000000																																										-0.000061																																																															0.000015																									-0.000006																																																													-32980.616801	32984.959889									-4.343037	
 1 	 20																			0.000000		0.000000																																										-0.000061																																																															0.000015																									-0.000006																																																													-32990.564603	32994.907691									-4.343037	
 1 	 21																			0.000000		0.000000																																										-0.000060																																																															0.000015																									-0.000006																																																													-32999.527265	33003.870353									-4.343037	
 1 	 22																			0.000000		0.000000																																										-0.000060																																																															0.000015																									-0.000006																																																													-33010.733815	33015.076903									-4.343037	
 1 	 23																			0.000000		0.000000																																										-0.000060																																																															0.000014																									-0.000006																																																													-33039.486796	33043.829884									-4.343037	
 1 	 24																			0.000000		0.000000																																										-0.000060																																																															0.000014																									-0.000006																																																													-33160.912710	33165.255798									-4.343037	
 2 	 1																			0.000000		0.000000																																										-0.000009																																																															0.000048																									-0.000007																																																													-33120.359914	33124.702919									-4.343037	
 2 	 2																			0.000000		0.000000																																										-0.000009																																																															0.000043																									-0.000007																																																													-32871.319784	32875.662794									-4.343037	
 2 	 3																			0.000000		0.000000																																										-0.000009																																																															0.000038																									-0.000007																																																													-32544.813621	32549.156635									-4.343037	
 2 	 4																			0.000000		0.000000																																										-0.000009																																																															0.000050																									-0.000007																																																													-32972.063616	32976.406618									-4.343037	
 2 	 5																			0.000000		0.000000																																										-0.000009																																																															0.000051																									-0.000007																																																													-32982.574035	32986.917036									-4.343037	
 2 	 6																			0.000000		0.000000																																										-0.000009																																																															0.000051																									-0.000007																																																													-32987.551867	32991.894869									-4.343037	
 2 	 7																			0.000000		0.000000																																										-0.000010																																																															0.000052																									-0.000007																																																													-32983.679608	32988.022608									-4.343037	
 2 	 8																			0.000000		0.000000																																										-0.000010																																																															0.000051																									-0.000007																																																													-32977.666176	32982.009177									-4.343037	
 2 	 9																			0.000000		0.000000																																										-0.000010																																																															0.000050																									-0.000007																																																													-32985.960959	32990.303961									-4.343037	
 2 	 10																			0.000000		0.000000																																										-0.000009																																																															0.000054																									-0.000007																																																													-32982.066487	32986.409485									-4.343037	
 2 	 11																			0.000000		0.000000																																										-0.000005																																																															5.381711																									-0.000007																																																													-32980.969303	32979.930640									-4.343037	
 2 	 12																			0.000000		0.000000																																										-0.000005																																																															5.381862																									-0.000006																																																													-32973.743976	32972.705162									-4.343037	
 2 	 13																			0.000000		0.000000																																										-0.000005																																																															5.381887																									-0.000006																																																													-32975.666000	32974.627159									-4.343037	
 2 	 14																			0.000000		0.000000																																										-0.000005																																																															5.381888																									-0.000006																																																													-32970.679843	32969.641003									-4.343037	
 2 	 15																			0.000000		0.000000																																										-0.000005																																																															5.381888																									-0.000006																																																													-32961.313037	32960.274197									-4.343037	
 2 	 16																			0.000000		0.000000																																										-0.000005																																																															5.381800																									-0.000006																																																													-32954.309976	32953.271225									-4.343037	
 2 	 17																			0.000000		0.000000																																										-0.000005																																																															5.381711																									-0.000007																																																													-32951.514661	32950.475998									-4.343037	
 2 	 18																			0.000000		0.000000																																										-0.000009																																																															0.000057																									-0.000007																																																													-32959.689040	32964.032034									-4.343037	
