Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000058			-0.000001					0.000008	7.177195	0.000008				-6.318720																	0.000002																																																																-32172.622839	32172.757099							-0.992694	
 1 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000058			-0.000001					0.000007	7.176079	0.000008				-6.318725																	0.000002																																																																-32195.780800	32195.916182							-0.992694	
 1 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000058			-0.000001					0.000006	7.185490	0.000008				-6.318714																	0.000002																																																																-31984.564005	31984.689966							-0.992694	
 1 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000056			-0.000001					0.000008	7.173911	0.000008				-6.318704																	0.000002																																																																-29765.118025	29765.255551							-0.992694	
 1 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000056			-0.000001					0.000008	7.173662	0.000008				-6.318697																	0.000002																																																																-28904.600307	28904.738076							-0.992694	
 1 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000056			-0.000001					0.000008	7.173548	0.000008				-6.318697																	0.000002																																																																-29026.185235	29026.323119							-0.992694	
 1 	 7																				0.000000		0.000000																																																																																									-0.000001								-0.000057			-0.000001					0.000008	7.172827	0.000007				-6.318698																	0.000002																																																																-29266.536917	29266.675523							-0.992694	
 1 	 8																				0.000000		0.000000																																																																																									-0.000001								-0.000057			-0.000001					0.000008	7.174114	0.000007				-6.318697																	0.000002																																																																-29440.146909	29440.284227							-0.992694	
 1 	 9																				0.000000		0.000000																																																																																									-0.000000								-0.000057			-0.000001					0.000008	7.173878	0.000008				-6.318697																	0.000002																																																																-29554.855855	29554.993409							-0.992694	
 1 	 10																				0.000000		0.000000																																																																																									-0.000001								-0.000056			-0.000001					0.000008	7.174028	0.000008				-6.318698																	0.000002																																																																-29650.669018	29650.806422							-0.992694	
 1 	 11																				0.000000		0.000000																																																																																									-0.000001								-0.000056			-0.000001					0.000008	7.173981	0.000008				-6.318699																	0.000002																																																																-29704.350113	29704.487566							-0.992694	
 1 	 12																				0.000000		0.000000																																																																																									-0.000001								-0.000056			-0.000001					0.000008	7.174341	0.000008				-6.317983																	0.000002																																																																-29730.554728	29730.691104							-0.992694	
 1 	 13																				0.000000		0.000000																																																																																									-0.000001								-0.000051			-0.000001					0.000009	7.174690	0.000008				-6.283049																	0.000002																																																																-29748.224251	29748.325338							-0.992694	
 1 	 14																				0.000000		0.000000																																																																																									-0.000001								-0.000051			-0.000001					0.000009	7.175065	0.000008				-6.282984																	0.000002																																																																-29761.280694	29761.381342							-0.992694	
 1 	 15																				0.000000		0.000000																																																																																									-0.000001								-0.000051			-0.000001					0.000009	7.174773	0.000008				-6.283066																	0.000002																																																																-29756.010218	29756.111239							-0.992694	
 1 	 16																				0.000000		0.000000																																																																																									-0.000001								-0.000057			-0.000001					0.000008	7.174518	0.000008				-6.317986																	0.000002																																																																-29750.683597	29750.819800							-0.992694	
 1 	 17																				0.000000		0.000000																																																																																									-0.000001								-0.000056			-0.000001					0.000008	7.174519	0.000008				-6.318700																	0.000002																																																																-29715.089362	29715.226278							-0.992694	
 1 	 18																				0.000000		0.000000																																																																																									-0.000001								-0.000056			-0.000001					0.000008	7.174791	0.000008				-6.318700																	0.000002																																																																-29678.547921	29678.684565							-0.992694	
 1 	 19																				0.000000		0.000000																																																																																									-0.000000								-0.000056			-0.000001					0.000008	7.174958	0.000008				-6.318696																	0.000002																																																																-29598.069194	29598.205666							-0.992694	
 1 	 20																				0.000000		0.000000																																																																																									-0.000000								-0.000056			-0.000001					0.000008	7.174920	0.000008				-6.318698																	0.000002																																																																-29457.245953	29457.382465							-0.992694	
 1 	 21																				0.000000		0.000000																																																																																									-0.000000								-0.000056			-0.000001					0.000008	7.175260	0.000008				-6.318696																	0.000002																																																																-29321.122373	29321.258543							-0.992694	
 1 	 22																				0.000000		0.000000																																																																																									-0.000000								-0.000056			-0.000001					0.000008	7.175429	0.000008				-6.318695																	0.000002																																																																-29138.840461	29138.976462							-0.992694	
 1 	 23																				0.000000		0.000000																																																																																									-0.000000								-0.000056			-0.000001					0.000008	7.175967	0.000008				-6.318697																	0.000002																																																																-29073.808621	29073.944085							-0.992694	
 1 	 24																				0.000000		0.000000																																																																																									-0.000000								-0.000057			-0.000001					0.000008	7.177240	0.000008				-6.318705																	0.000002																																																																-29664.964891	29665.099091							-0.992694	
 2 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000067			-0.000001					0.000010	7.149796	0.000009				-6.317753																	0.000002																																																																-32188.760837	32188.921536							-0.992694	
 2 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000068			-0.000001					0.000009	7.148630	0.000009				-6.317846																	0.000002																																																																-32105.721440	32105.883399							-0.992694	
 2 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000067			-0.000001					0.000008	7.159650	0.000009				-6.317921																	0.000002																																																																-31911.953223	31912.104237							-0.992694	
 2 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000064			-0.000001					0.000010	7.146536	0.000009				-6.317839																	0.000002																																																																-29795.175719	29795.339761							-0.992694	
 2 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000064			-0.000001					0.000010	7.145297	0.000009				-6.317900																	0.000002																																																																-29070.263645	29070.428987							-0.992694	
 2 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000064			-0.000001					0.000010	7.144851	0.000009				-6.317900																	0.000002																																																																-29133.244470	29133.410259							-0.992694	
