Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1													0.000000																																										0.135304	0.399064	0.135454	1.681115	15.515405	0.000638																								-0.000090	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 2													0.000000																																										0.137263	0.400951	0.137417	1.679573	15.511142	0.000638																								-0.000090	-0.000027																																																							-17.866824					-0.000041																																																																													0.000000	
 1 	 3													0.000000																																										0.138385	0.402066	0.138541	1.675416	15.511933	0.000641																								-0.000089	-0.000027																																																							-17.866824					-0.000040																																																																													0.000000	
 1 	 4													0.000000																																										0.135452	0.398725	0.135605	1.678260	15.518299	0.000637																								-0.000089	-0.000027																																																							-17.866820					-0.000040																																																																													0.000000	
 1 	 5													0.000000																																										0.135284	0.398866	0.135436	1.679873	15.516883	0.000637																								-0.000089	-0.000027																																																							-17.866820					-0.000040																																																																													0.000000	
 1 	 6													0.000000																																										0.135321	0.398864	0.135473	1.679227	15.517457	0.000637																								-0.000089	-0.000027																																																							-17.866820					-0.000040																																																																													0.000000	
 1 	 7													0.000000																																										0.135246	0.398703	0.135398	1.678902	15.518093	0.000637																								-0.000089	-0.000027																																																							-17.866820					-0.000040																																																																													0.000000	
 1 	 8													0.000000																																										0.135216	0.398956	0.135367	1.680435	15.516367	0.000637																								-0.000089	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 9													0.000000																																										0.135274	0.398908	0.135427	1.679905	15.516826	0.000637																								-0.000088	-0.000027																																																							-17.866820					-0.000040																																																																													0.000000	
 1 	 10													0.000000																																										0.135220	0.398885	0.135372	1.679707	15.517158	0.000637																								-0.000090	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 11													0.000000																																										0.134999	0.398379	0.135150	1.676082	15.521736	0.000637																								-0.000093	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 12													0.000000																																										0.134962	0.398076	0.135113	1.673151	15.524951	0.000637																								-0.000038	-0.000022																																																							-17.866788					-0.000040																																																																													0.000000	
 1 	 13													0.000000																																										0.135010	0.398073	0.135162	1.672610	15.524520	0.000637																								-0.000021	-0.000017																																																							-17.865933					-0.000040																																																																													0.000000	
 1 	 14													0.000000																																										0.134969	0.398120	0.135120	1.672429	15.524742	0.000637																								-0.000021	-0.000017																																																							-17.865937					-0.000040																																																																													0.000000	
 1 	 15													0.000000																																										0.134997	0.398193	0.135148	1.672988	15.524080	0.000637																								-0.000021	-0.000017																																																							-17.865963					-0.000040																																																																													0.000000	
 1 	 16													0.000000																																										0.135030	0.398375	0.135182	1.675451	15.522212	0.000637																								-0.000037	-0.000022																																																							-17.866786					-0.000040																																																																													0.000000	
 1 	 17													0.000000																																										0.135034	0.398579	0.135185	1.677274	15.520275	0.000637																								-0.000094	-0.000027																																																							-17.866822					-0.000040																																																																													0.000000	
 1 	 18													0.000000																																										0.135048	0.398807	0.135200	1.679954	15.517333	0.000637																								-0.000090	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 19													0.000000																																										0.135110	0.398744	0.135261	1.680398	15.516829	0.000637																								-0.000090	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 20													0.000000																																										0.135121	0.398662	0.135271	1.680072	15.517217	0.000637																								-0.000090	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 21													0.000000																																										0.135107	0.398731	0.135257	1.680507	15.516739	0.000637																								-0.000090	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 22													0.000000																																										0.135083	0.398761	0.135233	1.680730	15.516535	0.000637																								-0.000090	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 23													0.000000																																										0.135088	0.398810	0.135238	1.680982	15.516223	0.000637																								-0.000089	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 1 	 24													0.000000																																										0.135218	0.399116	0.135368	1.681781	15.514859	0.000638																								-0.000089	-0.000027																																																							-17.866821					-0.000040																																																																													0.000000	
 2 	 1													0.000000																																										0.157900	0.463652	0.158078	1.912787	15.173706	0.000748																								-0.000036	-0.000020																																																							-17.866769					-0.000043																																																																													0.000000	
 2 	 2													0.000000																																										0.158596	0.463179	0.158775	1.905186	15.180402	0.000744																								-0.000036	-0.000020																																																							-17.866779					-0.000044																																																																													0.000000	
 2 	 3													0.000000																																										0.159259	0.462805	0.159440	1.899130	15.185500	0.000746																								-0.000035	-0.000020																																																							-17.866779					-0.000043																																																																													0.000000	
 2 	 4													0.000000																																										0.157827	0.463296	0.158002	1.910268	15.176728	0.000746																								-0.000036	-0.000020																																																							-17.866766					-0.000043																																																																													0.000000	
 2 	 5													0.000000																																										0.157841	0.463266	0.158018	1.911967	15.175030	0.000747																								-0.000036	-0.000020																																																							-17.866767					-0.000043																																																																													0.000000	
 2 	 6													0.000000																																										0.157862	0.463116	0.158040	1.910988	15.176113	0.000746																								-0.000036	-0.000020																																																							-17.866764					-0.000043																																																																													0.000000	
 2 	 7													0.000000																																										0.157863	0.462842	0.158041	1.909686	15.177690	0.000745																								-0.000037	-0.000020																																																							-17.866766					-0.000043																																																																													0.000000	
 2 	 8													0.000000																																										0.157821	0.463048	0.157998	1.911221	15.176034	0.000746																								-0.000037	-0.000020																																																							-17.866767					-0.000043																																																																													0.000000	
 2 	 9													0.000000																																										0.157804	0.462829	0.157979	1.909623	15.177888	0.000746																								-0.000037	-0.000020																																																							-17.866767					-0.000043																																																																													0.000000	
 2 	 10													0.000000																																										0.157794	0.462730	0.157969	1.908457	15.179163	0.000745																								-0.000037	-0.000020																																																							-17.866758					-0.000042																																																																													0.000000	
 2 	 11													0.000000																																										0.157781	0.462713	0.157958	1.908557	15.178050	0.000745																								-0.000024	-0.000016																																																							-17.865721					-0.000042																																																																													0.000000	
 2 	 12													0.000000																																										0.157777	0.462757	0.157955	1.908683	15.177087	0.000746																								-0.000023	-0.000016																																																							-17.864921					-0.000042																																																																													0.000000	
 2 	 13													0.000000																																										0.157701	0.462114	0.157880	1.896222	14.417416	0.000746																								-0.000022	-0.000015																																																							-17.091997					-0.000042																																																																													0.000000	
 2 	 14													0.000000																																										0.157709	0.462201	0.157888	1.896609	14.402970	0.000746																								-0.000022	-0.000015																																																							-17.078042					-0.000042																																																																													0.000000	
 2 	 15													0.000000																																										0.157725	0.462279	0.157903	1.897910	14.459147	0.000746																								-0.000022	-0.000015																																																							-17.135629					-0.000042																																																																													0.000000	
 2 	 16													0.000000																																										0.157807	0.463011	0.157986	1.910434	15.175756	0.000746																								-0.000023	-0.000016																																																							-17.865658					-0.000042																																																																													0.000000	
 2 	 17													0.000000																																										0.157806	0.463084	0.157985	1.911032	15.175203	0.000747																								-0.000024	-0.000016																																																							-17.865773					-0.000042																																																																													0.000000	
 2 	 18													0.000000																																										0.157778	0.463174	0.157952	1.911623	15.175582	0.000747																								-0.000036	-0.000020																																																							-17.866755					-0.000042																																																																													0.000000	
