Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																									14.073888																																										-11.430252	-2.643636																																																																																																																																																										0.000000	
 1 	 2																									12.285008																																										-9.711067	-2.573941																																																																																																																																																										0.000000	
 1 	 3																									11.102873																																										-8.510736	-2.592137																																																																																																																																																										0.000000	
 1 	 4																									10.918331																																										-8.301646	-2.616685																																																																																																																																																										0.000000	
 1 	 5																									11.209058																																										-8.549457	-2.659601																																																																																																																																																										0.000000	
 1 	 6																									11.555004																																										-8.913428	-2.641576																																																																																																																																																										0.000000	
 1 	 7																									11.306279																																										-8.712082	-2.594197																																																																																																																																																										0.000000	
 1 	 8																									11.082942																																										-8.642385	-2.440557																																																																																																																																																										0.000000	
 1 	 9																									10.894988																																										-8.580433	-2.314555																																																																																																																																																										0.000000	
 1 	 10																									11.106768																																										-8.835987	-2.270781																																																																																																																																																										0.000000	
 1 	 11																									11.782411																																										-9.656859	-2.125552																																																																																																																																																										0.000000	
 1 	 12																									12.188328																																										-10.253152	-1.935176																																																																																																																																																										0.000000	
 1 	 13																									12.737603																																										-10.857189	-1.880414																																																																																																																																																										0.000000	
 1 	 14																									13.301393																																										-11.360554	-1.940840																																																																																																																																																										0.000000	
 1 	 15																									13.058694																																										-11.027559	-2.031135																																																																																																																																																										0.000000	
 1 	 16																									14.210788																																										-12.088498	-2.122290																																																																																																																																																										0.000000	
 1 	 17																									17.216918																																										-14.907341	-2.309577																																																																																																																																																										0.000000	
 1 	 18																									18.598010																																										-15.968279	-2.629732																																																																																																																																																										0.000000	
 1 	 19																									19.328316																																										-16.471643	-2.856672																																																																																																																																																										0.000000	
 1 	 20																									19.415083																																										-16.502620	-2.912463																																																																																																																																																										0.000000	
 1 	 21																									19.080029																																										-16.239321	-2.840708																																																																																																																																																										0.000000	
 1 	 22																									18.576837																																										-15.875350	-2.701487																																																																																																																																																										0.000000	
 1 	 23																									17.566962																																										-14.984781	-2.582180																																																																																																																																																										0.000000	
 1 	 24																									15.746915																																										-13.296573	-2.450342																																																																																																																																																										0.000000	
 2 	 1																									12.317657																																										-9.308375	-3.009282																																																																																																																																																										0.000000	
 2 	 2																									13.674318																																										-10.555171	-3.119147																																																																																																																																																										0.000000	
 2 	 3																									13.823325																																										-10.764261	-3.059064																																																																																																																																																										0.000000	
 2 	 4																									13.005564																																										-10.090527	-2.915038																																																																																																																																																										0.000000	
 2 	 5																									12.084670																																										-9.292887	-2.791783																																																																																																																																																										0.000000	
 2 	 6																									10.892503																																										-8.200973	-2.691530																																																																																																																																																										0.000000	
 2 	 7																									9.433986																																										-6.791551	-2.642434																																																																																																																																																										0.000000	
 2 	 8																									8.088253																																										-5.451827	-2.636426																																																																																																																																																										0.000000	
 2 	 9																									7.129991																																										-4.538026	-2.591965																																																																																																																																																										0.000000	
 2 	 10																									6.914798																																										-4.359912	-2.554885																																																																																																																																																										0.000000	
 2 	 11																									7.367614																																										-4.832300	-2.535314																																																																																																																																																										0.000000	
 2 	 12																									7.887897																																										-5.304688	-2.583209																																																																																																																																																										0.000000	
 2 	 13																									8.634151																																										-6.079095	-2.555055																																																																																																																																																										0.000000	
 2 	 14																									8.699728																																										-6.218489	-2.481240																																																																																																																																																										0.000000	
 2 	 15																									8.396814																																										-6.040375	-2.356439																																																																																																																																																										0.000000	
 2 	 16																									7.304979																																										-5.188527	-2.116452																																																																																																																																																										0.000000	
 2 	 17																									6.673534																																										-4.677418	-1.996115																																																																																																																																																										0.000000	
 2 	 18																									7.121623																																										-5.041391	-2.080232																																																																																																																																																										0.000000	
 2 	 19																									7.839741																																										-5.614452	-2.225289																																																																																																																																																										0.000000	
 2 	 20																									8.691397																																										-6.319163	-2.372234																																																																																																																																																										0.000000	
 2 	 21																									9.877420																																										-7.287172	-2.590248																																																																																																																																																										0.000000	
 2 	 22																									11.472889																																										-8.750802	-2.722087																																																																																																																																																										0.000000	
 2 	 23																									13.043753																																										-10.330593	-2.713160																																																																																																																																																										0.000000	
 2 	 24																									14.422428																																										-11.801967	-2.620461																																																																																																																																																										0.000000	
 3 	 1																									46.051236																																										-39.316659	-6.734578																																																																																																																																																										0.000000	
 3 	 2																									47.585784																																										-40.857729	-6.728054																																																																																																																																																										0.000000	
 3 	 3																									49.725590																																										-43.080278	-6.645312																																																																																																																																																										0.000000	
 3 	 4																									52.246439																																										-45.628078	-6.618361																																																																																																																																																										0.000000	
 3 	 5																									54.751266																																										-48.152646	-6.598619																																																																																																																																																										0.000000	
 3 	 6																									55.266133																																										-48.725708	-6.540425																																																																																																																																																										0.000000	
 3 	 7																									54.307966																																										-47.780931	-6.527035																																																																																																																																																										0.000000	
 3 	 8																									54.347220																																										-47.827395	-6.519825																																																																																																																																																										0.000000	
 3 	 9																									54.995416																																										-48.586314	-6.409101																																																																																																																																																										0.000000	
 3 	 10																									55.631040																																										-49.190352	-6.440688																																																																																																																																																										0.000000	
 3 	 11																									56.485120																																										-50.042200	-6.442919																																																																																																																																																										0.000000	
 3 	 12																									58.956681																																										-52.512559	-6.444121																																																																																																																																																										0.000000	
 3 	 13																									62.635669																																										-56.206482	-6.429186																																																																																																																																																										0.000000	
 3 	 14																									62.782197																																										-56.454293	-6.327904																																																																																																																																																										0.000000	
 3 	 15																									60.381040																																										-54.200767	-6.180272																																																																																																																																																										0.000000	
 3 	 16																									58.882278																																										-52.899763	-5.982515																																																																																																																																																										0.000000	
 3 	 17																									57.551539																																										-51.722664	-5.828875																																																																																																																																																										0.000000	
