Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1			0.000000		0.000000																																																																																																		-0.186987	-0.000000					-0.000000								-0.000106				-0.000013																										0.000002								3.583457	0.000003	0.000005																																																	-32414.727983	32411.331622															0.000000	
 1 	 2			0.000000		0.000000																																																																																																		-0.074859	-0.000000					-0.000000								-0.000101				-0.000013																										0.000003								3.585510	0.000003	0.000005																																																	-32345.305574	32341.795027															0.000000	
 1 	 3			0.000000		0.000000																																																																																																		-0.037270	-0.000000					-0.000000								-0.000103				-0.000013																										0.000002								3.585404	0.000003	0.000004																																																	-30269.844228	30266.296200															0.000000	
 1 	 4			0.000000		0.000000																																																																																																		-0.449151	-0.000000					-0.000000								-0.000111				-0.000013																										0.000002								3.580787	0.000003	0.000005																																																	-32437.890112	32434.758591															0.000000	
 1 	 5			0.000000		0.000000																																																																																																		-1.197737	-0.000001					-0.000000								-0.000114				-0.000013																										0.000002								3.580827	0.000003	0.000005																																																	-32436.057072	32433.674099															0.000000	
 1 	 6			0.000000		0.000000																																																																																																		-2.994342	-0.000002					-0.000000								-0.000114				-0.000013																										0.000002								3.580709	0.000003	0.000005																																																	-32447.590039	32447.003791															0.000000	
 1 	 7			0.000000		0.000000																																																																																																		-5.800741	-0.000005					-0.000000								-0.000115				-0.000013																										0.000002								3.580206	0.000003	0.000005																																																	-32461.027234	32463.247892															0.000000	
 1 	 8			0.000000		0.000000																																																																																																		-5.052251	-0.000004					-0.000000								-0.000114				-0.000013																										0.000002								3.580947	0.000003	0.000005																																																	-32472.681510	32474.152936															0.000000	
 1 	 9			0.000000		0.000000																																																																																																		-4.678022	-0.000004					-0.000000								-0.000114				-0.000013																										0.000002								3.580748	0.000003	0.000005																																																	-32484.276598	32485.373992															0.000000	
 1 	 10			0.000000		0.000000																																																																																																		-5.239398	-0.000004					-0.000000								-0.000114				-0.000013																										0.000002								3.580859	0.000003	0.000005																																																	-32489.586182	32491.244841															0.000000	
 1 	 11			0.000000		0.000000																																																																																																		-5.987856	-0.000005					-0.000000								-0.000114				-0.000013																										0.000002								3.580876	0.000003	0.000005																																																	-32490.143462	32492.550564															0.000000	
 1 	 12			0.000000		0.000000																																																																																																		-6.586660	-0.000005					-0.000000								-0.000114				-0.000013																										0.000002								3.581264	0.000003	0.000005																																																	-32489.668070	32492.673590															0.000000	
 1 	 13			0.000000		0.000000																																																																																																		-5.987856	-0.000005					-0.000000								-0.000073				-0.000013																										0.000002								3.581107	0.000003	0.000005																																																	-32490.998359	32493.405189															0.000000	
 1 	 14			0.000000		0.000000																																																																																																		-6.062714	-0.000005					-0.000000								-0.000073				-0.000013																										0.000002								3.581596	0.000003	0.000005																																																	-32491.849890	32494.331089															0.000000	
 1 	 15			0.000000		0.000000																																																																																																		-6.811204	-0.000006					-0.000000								-0.000073				-0.000013																										0.000002								3.581370	0.000003	0.000005																																																	-32489.088855	32492.318771															0.000000	
 1 	 16			0.000000		0.000000																																																																																																		-7.110606	-0.000006					-0.000000								-0.000115				-0.000013																										0.000002								3.581293	0.000003	0.000005																																																	-32490.901092	32494.430530															0.000000	
 1 	 17			0.000000		0.000000																																																																																																		-7.110606	-0.000006					-0.000000								-0.000115				-0.000013																										0.000002								3.580868	0.000003	0.000005																																																	-32486.860729	32490.390591															0.000000	
 1 	 18			0.000000		0.000000																																																																																																		-5.239398	-0.000004					-0.000000								-0.000115				-0.000013																										0.000002								3.581140	0.000003	0.000005																																																	-32489.657207	32491.315587															0.000000	
 1 	 19			0.000000		0.000000																																																																																																		-3.742418	-0.000003					-0.000000								-0.000114				-0.000013																										0.000002								3.581170	0.000003	0.000005																																																	-32488.250659	32488.412027															0.000000	
 1 	 20			0.000000		0.000000																																																																																																		-2.806399	-0.000002					-0.000000								-0.000114				-0.000013																										0.000002								3.581067	0.000003	0.000005																																																	-32482.209874	32481.435325															0.000000	
 1 	 21			0.000000		0.000000																																																																																																		-1.869871	-0.000002					-0.000000								-0.000114				-0.000013																										0.000002								3.581135	0.000003	0.000005																																																	-32486.209072	32484.497926															0.000000	
 1 	 22			0.000000		0.000000																																																																																																		-1.197737	-0.000001					-0.000000								-0.000114				-0.000013																										0.000002								3.581212	0.000003	0.000005																																																	-32483.841533	32481.458174															0.000000	
 1 	 23			0.000000		0.000000																																																																																																		-0.748585	-0.000001					-0.000000								-0.000111				-0.000013																										0.000002								3.580959	0.000003	0.000005																																																	-32462.374869	32459.542610															0.000000	
 1 	 24			0.000000		0.000000																																																																																																		-0.299434	-0.000000					-0.000000								-0.000110				-0.000013																										0.000002								3.582340	0.000003	0.000005																																																	-32386.083204	32382.800412															0.000000	
 2 	 1			0.000000		0.000000																																																																																																		-0.186987	-0.000000					-0.000000								-0.000138				-0.000013																										0.000002								3.569831	0.000003	0.000006																																																	-32295.189895	32291.807191															0.000000	
 2 	 2			0.000000		0.000000																																																																																																		-0.074859	-0.000000					-0.000000								-0.000131				-0.000013																										0.000002								3.571412	0.000003	0.000006																																																	-32326.786204	32323.289783															0.000000	
 2 	 3			0.000000		0.000000																																																																																																		-0.037270	-0.000000					-0.000000								-0.000116				-0.000013																										0.000002								3.572068	0.000003	0.000005																																																	-30528.470493	30524.935813															0.000000	
 2 	 4			0.000000		0.000000																																																																																																		-0.449151	-0.000000					-0.000000								-0.000127				-0.000013																										0.000002								3.567899	0.000003	0.000006																																																	-32457.674231	32454.555612															0.000000	
