Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																									11.994963																																										-11.430251	-0.564712																																																																																																																																																										0.000000	
 1 	 2																									10.260891																																										-9.711067	-0.549824																																																																																																																																																										0.000000	
 1 	 3																									9.064446																																										-8.510735	-0.553711																																																																																																																																																										0.000000	
 1 	 4																									8.860601																																										-8.301646	-0.558955																																																																																																																																																										0.000000	
 1 	 5																									9.117578																																										-8.549456	-0.568122																																																																																																																																																										0.000000	
 1 	 6																									9.477699																																										-8.913427	-0.564272																																																																																																																																																										0.000000	
 1 	 7																									9.266233																																										-8.712082	-0.554151																																																																																																																																																										0.000000	
 1 	 8																									9.163717																																										-8.642385	-0.521332																																																																																																																																																										0.000000	
 1 	 9																									9.074849																																										-8.580432	-0.494416																																																																																																																																																										0.000000	
 1 	 10																									9.321052																																										-8.835987	-0.485065																																																																																																																																																										0.000000	
 1 	 11																									10.110901																																										-9.656859	-0.454043																																																																																																																																																										0.000000	
 1 	 12																									10.666526																																										-10.253151	-0.413375																																																																																																																																																										0.000000	
 1 	 13																									11.258862																																										-10.857187	-0.401675																																																																																																																																																										0.000000	
 1 	 14																									11.775135																																										-11.360552	-0.414583																																																																																																																																																										0.000000	
 1 	 15																									11.461428																																										-11.027557	-0.433871																																																																																																																																																										0.000000	
 1 	 16																									12.541842																																										-12.088497	-0.453345																																																																																																																																																										0.000000	
 1 	 17																									15.400693																																										-14.907340	-0.493353																																																																																																																																																										0.000000	
 1 	 18																									16.530020																																										-15.968278	-0.561742																																																																																																																																																										0.000000	
 1 	 19																									17.081862																																										-16.471643	-0.610219																																																																																																																																																										0.000000	
 1 	 20																									17.124756																																										-16.502619	-0.622137																																																																																																																																																										0.000000	
 1 	 21																									16.846129																																										-16.239321	-0.606809																																																																																																																																																										0.000000	
 1 	 22																									16.452419																																										-15.875349	-0.577070																																																																																																																																																										0.000000	
 1 	 23																									15.536365																																										-14.984781	-0.551584																																																																																																																																																										0.000000	
 1 	 24																									13.819995																																										-13.296573	-0.523422																																																																																																																																																										0.000000	
 2 	 1																									9.951191																																										-9.308374	-0.642817																																																																																																																																																										0.000000	
 2 	 2																									11.221455																																										-10.555170	-0.666285																																																																																																																																																										0.000000	
 2 	 3																									11.417710																																										-10.764259	-0.653451																																																																																																																																																										0.000000	
 2 	 4																									10.713211																																										-10.090525	-0.622685																																																																																																																																																										0.000000	
 2 	 5																									9.889242																																										-9.292886	-0.596356																																																																																																																																																										0.000000	
 2 	 6																									8.775913																																										-8.200971	-0.574941																																																																																																																																																										0.000000	
 2 	 7																									7.356004																																										-6.791550	-0.564454																																																																																																																																																										0.000000	
 2 	 8																									6.014996																																										-5.451825	-0.563170																																																																																																																																																										0.000000	
 2 	 9																									5.091698																																										-4.538025	-0.553673																																																																																																																																																										0.000000	
 2 	 10																									4.905663																																										-4.359911	-0.545752																																																																																																																																																										0.000000	
 2 	 11																									5.373866																																										-4.832297	-0.541569																																																																																																																																																										0.000000	
 2 	 12																									5.856485																																										-5.304686	-0.551799																																																																																																																																																										0.000000	
 2 	 13																									6.624878																																										-6.079093	-0.545785																																																																																																																																																										0.000000	
 2 	 14																									6.748503																																										-6.218486	-0.530017																																																																																																																																																										0.000000	
 2 	 15																									6.543730																																										-6.040372	-0.503358																																																																																																																																																										0.000000	
 2 	 16																									5.640619																																										-5.188525	-0.452095																																																																																																																																																										0.000000	
 2 	 17																									5.103805																																										-4.677416	-0.426389																																																																																																																																																										0.000000	
 2 	 18																									5.485750																																										-5.041390	-0.444360																																																																																																																																																										0.000000	
 2 	 19																									6.089797																																										-5.614451	-0.475346																																																																																																																																																										0.000000	
 2 	 20																									6.825897																																										-6.319162	-0.506736																																																																																																																																																										0.000000	
 2 	 21																									7.840477																																										-7.287171	-0.553306																																																																																																																																																										0.000000	
 2 	 22																									9.332269																																										-8.750801	-0.581468																																																																																																																																																										0.000000	
 2 	 23																									10.910153																																										-10.330592	-0.579562																																																																																																																																																										0.000000	
 2 	 24																									12.361726																																										-11.801966	-0.559760																																																																																																																																																										0.000000	
 3 	 1																									40.755242																																										-39.316656	-1.438585																																																																																																																																																										0.000000	
 3 	 2																									42.294919																																										-40.857727	-1.437192																																																																																																																																																										0.000000	
 3 	 3																									44.499793																																										-43.080276	-1.419517																																																																																																																																																										0.000000	
 3 	 4																									47.041835																																										-45.628075	-1.413760																																																																																																																																																										0.000000	
 3 	 5																									49.562186																																										-48.152643	-1.409543																																																																																																																																																										0.000000	
 3 	 6																									50.122817																																										-48.725705	-1.397112																																																																																																																																																										0.000000	
 3 	 7																									49.175179																																										-47.780928	-1.394252																																																																																																																																																										0.000000	
 3 	 8																									49.220104																																										-47.827392	-1.392711																																																																																																																																																										0.000000	
 3 	 9																									49.955371																																										-48.586311	-1.369059																																																																																																																																																										0.000000	
 3 	 10																									50.566156																																										-49.190349	-1.375807																																																																																																																																																										0.000000	
 3 	 11																									51.418480																																										-50.042197	-1.376283																																																																																																																																																										0.000000	
 3 	 12																									53.889096																																										-52.512556	-1.376540																																																																																																																																																										0.000000	
 3 	 13																									57.579828																																										-56.206479	-1.373350																																																																																																																																																										0.000000	
 3 	 14																									57.806004																																										-56.454289	-1.351715																																																																																																																																																										0.000000	
 3 	 15																									55.520943																																										-54.200764	-1.320179																																																																																																																																																										0.000000	
 3 	 16																									54.177695																																										-52.899760	-1.277935																																																																																																																																																										0.000000	
 3 	 17																									52.967777																																										-51.722661	-1.245116																																																																																																																																																										0.000000	
 3 	 18																									54.139369																																										-52.892016	-1.247353																																																																																																																																																										0.000000	
 3 	 19																									54.006892																																										-52.737134	-1.269758																																																																																																																																																										0.000000	
 3 	 20																									54.832015																																										-53.596727	-1.235289																																																																																																																																																										0.000000	
 3 	 21																									54.545044																																										-53.310196	-1.234849																																																																																																																																																										0.000000	
 3 	 22																									52.122529																																										-50.870813	-1.251717																																																																																																																																																										0.000000	
 3 	 23																									49.261749																																										-47.982274	-1.279476																																																																																																																																																										0.000000	
 3 	 24																									47.701357																																										-46.402483	-1.298874																																																																																																																																																										0.000000	
 4 	 1																									19.239241																																										-18.818094	-0.421147																																																																																																																																																										0.000000	
 4 	 2																									17.422522																																										-17.021470	-0.401052																																																																																																																																																										0.000000	
 4 	 3																									15.722219																																										-15.341005	-0.381213																																																																																																																																																										0.000000	
 4 	 4																									14.686374																																										-14.334276	-0.352098																																																																																																																																																										0.000000	
 4 	 5																									14.329140																																										-14.001281	-0.327859																																																																																																																																																										0.000000	
 4 	 6																									14.367427																																										-14.047745	-0.319682																																																																																																																																																										0.000000	
 4 	 7																									11.731839																																										-11.414761	-0.317078																																																																																																																																																										0.000000	
 4 	 8																									7.167177																																										-6.861246	-0.305931																																																																																																																																																										0.000000	
 4 	 9																									9.410787																																										-9.099283	-0.311504																																																																																																																																																										0.000000	
 4 	 10																									10.249824																																										-9.935643	-0.314181																																																																																																																																																										0.000000	
 4 	 11																									9.604337																																										-9.277396	-0.326941																																																																																																																																																										0.000000	
 4 	 12																									9.483462																																										-9.138003	-0.345459																																																																																																																																																										0.000000	
 4 	 13																									9.959327																																										-9.602647	-0.356680																																																																																																																																																										0.000000	
 4 	 14																									10.086469																																										-9.933441	-0.153028																																																																																																																																																										0.000000	
 4 	 15																									11.699719																																										-11.337319	-0.362400																																																																																																																																																										0.000000	
 4 	 16																									12.822384																																										-12.452466	-0.369918																																																																																																																																																										0.000000	
 4 	 17																									12.754735																																										-12.375026	-0.379709																																																																																																																																																										0.000000	
 4 	 18																									15.559279																																										-15.155147	-0.404132																																																																																																																																																										0.000000	
 4 	 19																									21.972491																																										-21.505287	-0.467204																																																																																																																																																										0.000000	
 4 	 20																									26.521931																																										-26.012338	-0.509594																																																																																																																																																										0.000000	
 4 	 21																									28.798045																																										-28.265863	-0.532182																																																																																																																																																										0.000000	
 4 	 22																									29.119786																																										-28.560138	-0.559648																																																																																																																																																										0.000000	
 4 	 23																									28.179396																																										-27.599873	-0.579523																																																																																																																																																										0.000000	
 4 	 24																									27.053645																																										-26.476982	-0.576663																																																																																																																																																										0.000000	
 5 	 1																									16.457843																																										-16.006995	-0.450848																																																																																																																																																										0.000000	
 5 	 2																									13.770116																																										-13.420476	-0.349640																																																																																																																																																										0.000000	
 5 	 3																									11.780292																																										-11.515432	-0.264860																																																																																																																																																										0.000000	
 5 	 4																									9.777816																																										-9.563927	-0.213889																																																																																																																																																										0.000000	
 5 	 5																									8.003293																																										-7.798278	-0.205015																																																																																																																																																										0.000000	
 5 	 6																									5.823755																																										-5.614450	-0.209305																																																																																																																																																										0.000000	
 5 	 7																									3.969870																																										-3.755871	-0.213999																																																																																																																																																										0.000000	
 5 	 8																									4.096425																																										-3.848799	-0.247625																																																																																																																																																										0.000000	
 5 	 9																									4.983294																																										-4.700649	-0.282645																																																																																																																																																										0.000000	
 5 	 10																									5.996280																																										-5.691890	-0.304389																																																																																																																																																										0.000000	
 5 	 11																									6.898165																																										-6.566970	-0.331195																																																																																																																																																										0.000000	
 5 	 12																									7.692213																																										-7.325889	-0.366324																																																																																																																																																										0.000000	
 5 	 13																									8.727435																																										-8.332619	-0.394816																																																																																																																																																										0.000000	
 5 	 14																									10.258418																																										-9.827225	-0.431193																																																																																																																																																										0.000000	
 5 	 15																									11.140465																																										-10.702305	-0.438160																																																																																																																																																										0.000000	
 5 	 16																									11.072272																																										-10.632609	-0.439664																																																																																																																																																										0.000000	
 5 	 17																									9.698324																																										-9.238676	-0.459649																																																																																																																																																										0.000000	
 5 	 18																									8.869214																																										-8.348107	-0.521107																																																																																																																																																										0.000000	
 5 	 19																									10.284128																																										-9.664600	-0.619529																																																																																																																																																										0.000000	
 5 	 20																									14.023727																																										-13.343034	-0.680694																																																																																																																																																										0.000000	
 5 	 21																									18.429151																																										-17.749411	-0.679740																																																																																																																																																										0.000000	
 5 	 22																									20.330480																																										-19.685429	-0.645051																																																																																																																																																										0.000000	
 5 	 23																									20.931671																																										-20.304955	-0.626716																																																																																																																																																										0.000000	
 5 	 24																									21.194117																																										-20.599230	-0.594887																																																																																																																																																										0.000000	
 6 	 1																									25.288200																																										-24.649381	-0.638819																																																																																																																																																										0.000000	
 6 	 2																									24.297350																																										-23.727837	-0.569513																																																																																																																																																										0.000000	
 6 	 3																									23.181673																																										-22.674644	-0.507028																																																																																																																																																										0.000000	
 6 	 4																									22.449134																																										-21.977675	-0.471459																																																																																																																																																										0.000000	
 6 	 5																									19.417987																																										-18.965230	-0.452757																																																																																																																																																										0.000000	
 6 	 6																									11.247439																																										-10.833955	-0.413484																																																																																																																																																										0.000000	
 6 	 7																									5.566118																																										-5.196271	-0.369847																																																																																																																																																										0.000000	
 6 	 8																									4.689328																																										-4.336679	-0.352649																																																																																																																																																										0.000000	
 6 	 9																									7.449137																																										-7.078080	-0.371057																																																																																																																																																										0.000000	
 6 	 10																									8.201271																																										-7.751814	-0.449457																																																																																																																																																										0.000000	
 6 	 11																									7.416396																																										-7.208174	-0.208222																																																																																																																																																										0.000000	
 6 	 12																									5.280025																																										-5.152773	-0.127252																																																																																																																																																										0.000000	
 6 	 13																									4.905858																																										-4.801998	-0.103860																																																																																																																																																										0.000000	
 6 	 14																									4.833983																																										-4.743968	-0.090014																																																																																																																																																										0.000000	
 6 	 15																									4.926333																																										-4.836936	-0.089398																																																																																																																																																										0.000000	
 6 	 16																									5.181543																																										-5.091147	-0.090396																																																																																																																																																										0.000000	
 6 	 17																									5.679081																																										-5.586967	-0.092114																																																																																																																																																										0.000000	
 6 	 18																									7.988797																																										-7.816908	-0.171889																																																																																																																																																										0.000000	
 6 	 19																									13.611056																																										-12.847414	-0.763642																																																																																																																																																										0.000000	
 6 	 20																									17.943714																																										-17.114396	-0.829318																																																																																																																																																										0.000000	
 6 	 21																									20.085649																																										-19.236273	-0.849377																																																																																																																																																										0.000000	
 6 	 22																									21.299235																																										-20.413372	-0.885863																																																																																																																																																										0.000000	
 6 	 23																									22.075126																																										-21.164548	-0.910578																																																																																																																																																										0.000000	
 6 	 24																									22.034176																																										-21.133572	-0.900604																																																																																																																																																										0.000000	
 7 	 1																									17.051873																																										-16.107669	-0.944204																																																																																																																																																										0.000000	
 7 	 2																									17.400977																																										-16.494873	-0.906104																																																																																																																																																										0.000000	
 7 	 3																									14.481160																																										-13.606335	-0.874825																																																																																																																																																										0.000000	
 7 	 4																									11.775491																																										-10.926884	-0.848606																																																																																																																																																										0.000000	
 7 	 5																									10.825820																																										-10.005340	-0.820481																																																																																																																																																										0.000000	
 7 	 6																									9.400461																																										-8.611406	-0.789055																																																																																																																																																										0.000000	
 7 	 7																									6.761563																																										-6.009398	-0.752165																																																																																																																																																										0.000000	
 7 	 8																									10.678407																																										-9.920155	-0.758252																																																																																																																																																										0.000000	
 7 	 9																									13.341744																																										-12.584116	-0.757629																																																																																																																																																										0.000000	
 7 	 10																									15.348999																																										-14.589831	-0.759169																																																																																																																																																										0.000000	
 7 	 11																									16.647136																																										-15.883090	-0.764046																																																																																																																																																										0.000000	
 7 	 12																									17.376895																																										-16.595542	-0.781352																																																																																																																																																										0.000000	
 7 	 13																									16.974268																																										-16.185105	-0.789163																																																																																																																																																										0.000000	
 7 	 14																									15.764458																																										-14.961544	-0.802914																																																																																																																																																										0.000000	
 7 	 15																									15.013063																																										-14.210369	-0.802694																																																																																																																																																										0.000000	
 7 	 16																									14.426794																																										-13.629564	-0.797230																																																																																																																																																										0.000000	
 7 	 17																									13.157550																																										-12.375024	-0.782526																																																																																																																																																										0.000000	
 7 	 18																									11.445832																																										-10.679073	-0.766759																																																																																																																																																										0.000000	
 7 	 19																									11.694551																																										-10.957861	-0.736690																																																																																																																																																										0.000000	
 7 	 20																									12.875814																																										-12.158192	-0.717622																																																																																																																																																										0.000000	
 7 	 21																									12.730040																																										-12.018798	-0.711242																																																																																																																																																										0.000000	
 7 	 22																									12.362445																																										-11.662571	-0.699874																																																																																																																																																										0.000000	
 7 	 23																									11.895541																																										-11.213415	-0.682126																																																																																																																																																										0.000000	
 7 	 24																									11.338201																																										-10.671330	-0.666871																																																																																																																																																										0.000000	
 8 	 1																									12.769533																																										-12.313073	-0.456460																																																																																																																																																										0.000000	
 8 	 2																									11.783313																																										-11.360552	-0.422761																																																																																																																																																										0.000000	
 8 	 3																									11.039127																																										-10.632610	-0.406516																																																																																																																																																										0.000000	
 8 	 4																									10.430071																																										-10.036316	-0.393755																																																																																																																																																										0.000000	
 8 	 5																									9.818449																																										-9.440022	-0.378427																																																																																																																																																										0.000000	
 8 	 6																									8.599337																																										-8.231947	-0.367390																																																																																																																																																										0.000000	
 8 	 7																									4.861360																																										-4.522536	-0.338824																																																																																																																																																										0.000000	
 8 	 8																									4.449594																																										-4.143076	-0.306518																																																																																																																																																										0.000000	
 8 	 9																									5.480846																																										-5.180782	-0.300064																																																																																																																																																										0.000000	
