Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1							0.000000				0.000000																																																			-46.266524									-0.000031			-0.000008							-0.000075					-0.000008						-0.000208	-0.000056		-0.000022		-0.000022								-0.151593					-0.000000								-2.282867							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000005	0.004543	0.000009																																																									-0.000321	38.870423																			0.000000	
 1 	 2							0.000000				0.000000																																																			-46.266524									-0.000031			-0.000008							-0.000075					-0.000007						-0.000209	-0.000056		-0.000022		-0.000023								-0.060689					-0.000000								-2.282865							-0.000000				-0.000008		-0.000004								-0.000010	9.826772		0.000005	0.000005	0.004497	0.000009																																																									-0.000326	38.779569																			0.000000	
 1 	 3							0.000000				0.000000																																																			-46.266524									-0.000031			-0.000008							-0.000075					-0.000008						-0.000208	-0.000056		-0.000022		-0.000023								-0.030215					-0.000000								-2.282862							-0.000000				-0.000008		-0.000004								-0.000010	9.826772		0.000005	0.000004	0.004446	0.000009																																																									-0.000326	38.749143																			0.000000	
 1 	 4							0.000000				0.000000																																																			-46.266524									-0.000030			-0.000008							-0.000075					-0.000007						-0.000208	-0.000056		-0.000021		-0.000024								-0.364134					-0.000000								-2.282869							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000006	0.004541	0.000009																																																									-0.000316	39.082963																			0.000000	
 1 	 5							0.000000				0.000000																																																			-46.266524									-0.000030			-0.000008							-0.000075					-0.000007						-0.000208	-0.000056		-0.000021		-0.000025								-0.971023					-0.000000								-2.282867							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000006	0.004545	0.000009																																																									-0.000327	39.689857																			0.000000	
 1 	 6							0.000000				0.000000																																																			-46.266524									-0.000030			-0.000008							-0.000075					-0.000007						-0.000208	-0.000056		-0.000021		-0.000025								-2.427559					-0.000000								-2.282867							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000006	0.004546	0.000009																																																									-0.000330	41.146395																			0.000000	
 1 	 7							0.000000				0.000000																																																			-46.266524									-0.000030			-0.000008							-0.000075					-0.000007						-0.000208	-0.000056		-0.000021		-0.000026								-4.702749					-0.000001								-2.282866							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000006	0.004548	0.000009																																																									-0.000340	43.421595																			0.000000	
 1 	 8							0.000000				0.000000																																																			-46.266524									-0.000030			-0.000008							-0.000075					-0.000007						-0.000208	-0.000056		-0.000021		-0.000027								-4.095937					-0.000001								-2.282866							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000006	0.004554	0.000009																																																									-0.000341	42.814778																			0.000000	
 1 	 9							0.000000				0.000000																																																			-46.266524									-0.000030			-0.000008							-0.000075					-0.000007						-0.000209	-0.000056		-0.000021		-0.000027								-3.792544					-0.000001								-2.282866							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000004	0.004543	0.000009																																																									-0.000331	42.511389																			0.000000	
 1 	 10							0.000000				0.000000																																																			-46.266525									-0.000030			-0.000008							-0.000075					-0.000007						-0.000208	-0.000056		-0.000021		-0.000028								-4.247660					-0.000001								-2.282866							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000005	0.004543	0.000009																																																									-0.000333	42.966506																			0.000000	
 1 	 11							0.000000				0.000000																																																			-46.266523									-0.000030			-0.000008							-0.000075					-0.000007						-0.000208	-0.000057		-0.000021		-0.000028								-4.854446					-0.000001								-2.282866							-0.000000				-0.000008		-0.000004								-0.000010	9.826771		0.000005	0.000005	0.004540	0.000009																																																									-0.000331	43.573294																			0.000000	
 1 	 12							0.000000				0.000000																																																			-23.670668									-0.000019			-0.000008							-0.000063					-0.000007						-0.000208	-0.000034		-0.000013		-0.000029								-5.339906					-0.000001								-2.282866							-0.000000				-0.000008		-0.000005								-0.000010	9.826761		0.000005	0.000005	0.004536	0.000009																																																									-0.000332	21.462863																			0.000000	
 1 	 13							0.000000				0.000000																																																			-0.000007									-0.000008			-0.000008							-0.000009					-0.000008						-0.000208	-0.000010		-0.000006		-0.000032								-4.854446					-0.000001								-2.282939							-0.000000				-0.000008		-0.000006								-0.000010	9.826672		0.000005	0.000004	0.000304	0.000009																																																									-2.689492	0.000203																			0.000000	
 1 	 14							0.000000				0.000000																																																			-0.000006									-0.000007			-0.000008							-0.000008					-0.000008						-0.000208	-0.000009		-0.000005		-0.000033								-4.915135					-0.000001								-2.282939							-0.000000				-0.000008		-0.000007								-0.000010	9.826608		0.000005	0.000004	0.000304	0.000009																																																									-2.628735	0.000198																			0.000000	
 1 	 15							0.000000				0.000000																																																			-0.000007									-0.000008			-0.000008							-0.000009					-0.000008						-0.000208	-0.000010		-0.000006		-0.000034								-5.521947					-0.000001								-2.282940							-0.000000				-0.000008		-0.000006								-0.000010	9.826664		0.000005	0.000004	0.000303	0.000009																																																									-2.021981	0.000205																			0.000000	
 1 	 16							0.000000				0.000000																																																			-25.762298									-0.000019			-0.000008							-0.000063					-0.000007						-0.000208	-0.000035		-0.000013		-0.000033								-5.764677					-0.000001								-2.282866							-0.000000				-0.000008		-0.000005								-0.000010	9.826761		0.000005	0.000003	0.004540	0.000009																																																									-0.000331	23.979263																			0.000000	
