Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27300.000065	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.892144	Infinity
WASTE	85000.001252	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	10572.098561	Infinity
CO2_EMISSIONS	77134.410446	Infinity
RES_WIND	170011.788975	Infinity
RES_SOLAR	269638.202759	Infinity
RES_HYDRO	46522.239702	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	76657.690257	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	88.834899	88.833333
APPLES	0.519138	109.966667
CEREALSTRAW	53000.001445	53000.000000
CHERRIES	388.887830	388.888889
MAIZESTRAW	12472.223608	12472.222222
OLIVES	0.273497	166.666667
OSR	8833.334832	8833.333333
RICESTRAW	504.148756	504.147222
VINEYARDS	2944.445092	2944.444444
MISCANTHUS	2.053171	43694.444444
SWITCHGRASS	5.764250	44055.555556
WILLOW	0.182992	10611.111111
POPLAR	0.122627	1750.000000
CP_RES	120840.117221	120840.166667
FUELWOOD_RES	44388.890124	44388.888889
LANDSCAPECARE	35431.345845	35431.344444
MSW	40333.001969	40333.000000
FUELWOODRW	34138.890126	34138.888889
OTHERSECRESID	15166.668198	15166.666667
SAWDUST	4444.446138	4444.444444
CP_RW	72015.891872	93000.000000
GRASS_FOR_BIOGAS	860.137308	860.138889
MAIZE_SILAGE	2485.826573	2485.833333
SUGARBEETTOPS	861.108487	861.111111
MANURE_LIQ	10583.298500	10583.333333
MANURE_SOL	117444.445194	117444.444444
SLUDGE	4.157201	4.166667
