Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1												0.000000																						0.012301	0.000132	7.073603	0.053825	1.711184	0.000029	1.215146	0.069767	0.406837	0.000320	0.001882	0.000022	0.000015	15.375812	5.955751	4.784181	5.427068	4.613830	2.076119	0.613469	11.156725																		-0.000078			-8.113582							-0.000052					-0.000055											-0.008735																														-0.742571				-12.119530									-0.000007	-0.000008		-0.001899		-0.000055	-0.000037			-0.000003		-11.230532	-0.000018								-25.883680																																																											-3142264.381815	3142261.934639	0.000000	
 1 	 2												0.000000																						0.012290	0.000132	7.066939	0.053766	1.709417	0.000029	1.213905	0.069694	0.406458	0.000320	0.001881	0.000022	0.000014	15.363982	5.950554	4.779979	5.422399	4.609773	2.074218	0.612879	11.136901																		-0.000078			-8.114986							-0.000052					-0.000054											-0.008735																														-0.742540				-12.119515									-0.000008	-0.000008		-0.001812		-0.000055	-0.000037			-0.000003		-11.232102	-0.000018								-25.919585																																																											-3142249.723701	3142247.377735	0.000000	
 1 	 3												0.000000																						0.012261	0.000131	7.048583	0.053619	1.705009	0.000029	1.210807	0.069514	0.405487	0.000319	0.001879	0.000022	0.000014	15.330010	5.936749	4.769444	5.410549	4.599605	2.069471	0.611414	11.087049																		-0.000077			-8.096086							-0.000052					-0.000054											-0.008735																														-0.742647				-12.119546									-0.000008	-0.000008		-0.001712		-0.000055	-0.000037			-0.000003		-11.232305	-0.000018								-26.002408																																																											-3142228.434978	3142226.316765	0.000000	
 1 	 4												0.000000																						0.012296	0.000132	7.070857	0.053799	1.710401	0.000029	1.214593	0.069734	0.406670	0.000320	0.001881	0.000022	0.000015	15.371714	5.953591	4.782404	5.425110	4.612110	2.075283	0.613204	11.148643																		-0.000078			-8.068377							-0.000052					-0.000054											-0.008735																														-0.742316				-12.119552									-0.000007	-0.000008		-0.001900		-0.000055	-0.000037			-0.000003		-11.228299	-0.000018								-25.898189																																																											-3142277.792291	3142275.337163	0.000000	
 1 	 5												0.000000																						0.012293	0.000132	7.069289	0.053784	1.709968	0.000029	1.214288	0.069716	0.406576	0.000320	0.001881	0.000022	0.000015	15.369175	5.952362	4.781400	5.424000	4.611140	2.074819	0.613059	11.144009																		-0.000078			-8.065076							-0.000052					-0.000054											-0.008735																														-0.742282				-12.119563									-0.000007	-0.000008		-0.001905		-0.000055	-0.000037			-0.000003		-11.229084	-0.000018								-25.900205																																																											-3142253.295211	3142250.854095	0.000000	
 1 	 6												0.000000																						0.012289	0.000132	7.067167	0.053765	1.709390	0.000029	1.213880	0.069692	0.406448	0.000320	0.001881	0.000022	0.000014	15.365629	5.950702	4.780050	5.422503	4.609834	2.074198	0.612865	11.137725																		-0.000078			-8.067229							-0.000052					-0.000054											-0.008735																														-0.742271				-12.119562									-0.000007	-0.000008		-0.001908		-0.000055	-0.000037			-0.000003		-11.228790	-0.000018								-25.904620																																																											-3142252.963362	3142250.548254	0.000000	
 1 	 7												0.000000																						0.012287	0.000132	7.065794	0.053752	1.709008	0.000029	1.213611	0.069676	0.406363	0.000320	0.001881	0.000022	0.000014	15.363445	5.949625	4.779169	5.421529	4.608983	2.073789	0.612737	11.133668																		-0.000078			-8.066735							-0.000052					-0.000054											-0.008735																														-0.742236				-12.119562									-0.000007	-0.000008		-0.001910		-0.000055	-0.000037			-0.000003		-11.227788	-0.000018								-25.909375																																																											-3142248.723591	3142246.324411	0.000000	
 1 	 8												0.000000																						0.012281	0.000132	7.062519	0.053722	1.708128	0.000029	1.212992	0.069640	0.406169	0.000319	0.001880	0.000022	0.000014	15.357539	5.947067	4.777093	5.419227	4.606978	2.072843	0.612443	11.123937																		-0.000078			-8.065461							-0.000052					-0.000055											-0.008735																														-0.742308				-12.119562									-0.000007	-0.000008		-0.001917		-0.000055	-0.000037			-0.000003		-11.228899	-0.000018								-25.922709																																																											-3142272.349692	3142269.994623	0.000000	
 1 	 9												0.000000																						0.012237	0.000131	7.033408	0.053500	1.701477	0.000029	1.208319	0.069368	0.404705	0.000319	0.001877	0.000022	0.000014	15.303256	5.924438	4.760008	5.401042	4.590638	2.065695	0.610249	11.048591																		-0.000078			-8.067118							-0.000052					-0.000055											-0.008735																														-0.742280				-12.119562									-0.000007	-0.000008		-0.001906		-0.000055	-0.000037			-0.000003		-11.228187	-0.000018								-26.014050																																																											-3142176.454074	3142174.446901	0.000000	
 1 	 10												0.000000																						0.012241	0.000131	7.035740	0.053517	1.701982	0.000029	1.208673	0.069389	0.404815	0.000319	0.001877	0.000022	0.000014	15.307995	5.926396	4.761451	5.402488	4.592029	2.066242	0.610413	11.054658																		-0.000078			-8.070065							-0.000052					-0.000055											-0.008735																														-0.742299				-12.119562									-0.000007	-0.000008		-0.001906		-0.000055	-0.000037			-0.000003		-11.228806	-0.000018								-25.992108																																																											-3142240.622128	3142238.575499	0.000000	
 1 	 11												0.000000																						0.012305	0.000132	7.076626	0.053846	1.711913	0.000029	1.215646	0.069794	0.406981	0.000320	0.001882	0.000022	0.000015	15.385629	5.958515	4.786285	5.429472	4.615842	2.076933	0.613700	11.167947																		-0.000078			-8.089824							-0.000053					-0.000055											-0.008735																														-0.742290				-12.119562									-0.000007	-0.000008		-0.001903		-0.000055	-0.000037			-0.000003		-11.228996	-0.000018								-25.770507																																																											-3142190.190298	3142187.568595	0.000000	
