Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1													0.000000																																										0.131891	0.397368	0.132040	1.640676	15.564342	0.000641																								-0.000070	-0.000019																																																							-17.866820					-0.000048																																																																													0.000000	
 1 	 2													0.000000																																										0.133101	0.400090	0.133251	1.646236	15.553637	0.000646																								-0.000070	-0.000019																																																							-17.866822					-0.000049																																																																													0.000000	
 1 	 3													0.000000																																										0.133960	0.401830	0.134112	1.649909	15.546499	0.000650																								-0.000070	-0.000018																																																							-17.866822					-0.000048																																																																													0.000000	
 1 	 4													0.000000																																										0.131806	0.397112	0.131956	1.639757	15.565686	0.000640																								-0.000070	-0.000019																																																							-17.866820					-0.000048																																																																													0.000000	
 1 	 5													0.000000																																										0.131474	0.396534	0.131623	1.637875	15.568811	0.000639																								-0.000070	-0.000019																																																							-17.866820					-0.000048																																																																													0.000000	
 1 	 6													0.000000																																										0.131440	0.396548	0.131588	1.637114	15.569627	0.000639																								-0.000070	-0.000019																																																							-17.866820					-0.000048																																																																													0.000000	
 1 	 7													0.000000																																										0.131167	0.395789	0.131315	1.635350	15.572699	0.000638																								-0.000070	-0.000019																																																							-17.866820					-0.000048																																																																													0.000000	
 1 	 8													0.000000																																										0.131399	0.396519	0.131550	1.637177	15.569671	0.000639																								-0.000069	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 9													0.000000																																										0.131269	0.396109	0.131420	1.636075	15.571443	0.000638																								-0.000069	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 10													0.000000																																										0.131355	0.396389	0.131506	1.636627	15.570439	0.000639																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 11													0.000000																																										0.131347	0.396290	0.131498	1.636110	15.571072	0.000639																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 12													0.000000																																										0.131500	0.396484	0.131652	1.637328	15.569300	0.000639																								-0.000043	-0.000016																																																							-17.866796					-0.000048																																																																													0.000000	
 1 	 13													0.000000																																										0.131572	0.396548	0.131723	1.637781	15.568510	0.000639																								-0.000024	-0.000014																																																							-17.866687					-0.000048																																																																													0.000000	
 1 	 14													0.000000																																										0.131532	0.396646	0.131684	1.637364	15.568922	0.000640																								-0.000026	-0.000014																																																							-17.866699					-0.000048																																																																													0.000000	
 1 	 15													0.000000																																										0.131545	0.396686	0.131697	1.637790	15.568423	0.000640																								-0.000024	-0.000014																																																							-17.866694					-0.000048																																																																													0.000000	
 1 	 16													0.000000																																										0.131587	0.396842	0.131739	1.638022	15.568074	0.000640																								-0.000042	-0.000016																																																							-17.866796					-0.000048																																																																													0.000000	
 1 	 17													0.000000																																										0.131455	0.396587	0.131607	1.636628	15.570039	0.000639																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 18													0.000000																																										0.131384	0.396471	0.131535	1.636581	15.570346	0.000639																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 19													0.000000																																										0.131485	0.396220	0.131637	1.637260	15.569715	0.000639																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 20													0.000000																																										0.131434	0.395949	0.131583	1.636907	15.570446	0.000638																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 21													0.000000																																										0.131495	0.396212	0.131644	1.637582	15.569385	0.000639																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 22													0.000000																																										0.131494	0.396302	0.131643	1.637811	15.569068	0.000639																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 23													0.000000																																										0.131509	0.396397	0.131657	1.638037	15.568717	0.000639																								-0.000070	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 1 	 24													0.000000																																										0.131882	0.397293	0.132031	1.640244	15.564866	0.000641																								-0.000069	-0.000018																																																							-17.866819					-0.000048																																																																													0.000000	
 2 	 1													0.000000																																										0.154714	0.462214	0.154893	1.889873	15.204448	0.000752																								-0.000041	-0.000016																																																							-17.866788					-0.000049																																																																													0.000000	
 2 	 2													0.000000																																										0.156582	0.467090	0.156763	1.899079	15.186627	0.000760																								-0.000041	-0.000016																																																							-17.866794					-0.000050																																																																													0.000000	
 2 	 3													0.000000																																										0.157564	0.468884	0.157746	1.902701	15.179241	0.000764																								-0.000040	-0.000015																																																							-17.866795					-0.000049																																																																													0.000000	
 2 	 4													0.000000																																										0.154397	0.462144	0.154574	1.888909	15.206117	0.000751																								-0.000041	-0.000016																																																							-17.866787					-0.000049																																																																													0.000000	
 2 	 5													0.000000																																										0.154238	0.461351	0.154416	1.888114	15.208025	0.000750																								-0.000041	-0.000016																																																							-17.866787					-0.000049																																																																													0.000000	
 2 	 6													0.000000																																										0.154267	0.461327	0.154444	1.887748	15.208358	0.000750																								-0.000041	-0.000016																																																							-17.866787					-0.000048																																																																													0.000000	
 2 	 7													0.000000																																										0.154249	0.460889	0.154427	1.886938	15.209641	0.000749																								-0.000041	-0.000016																																																							-17.866787					-0.000048																																																																													0.000000	
 2 	 8													0.000000																																										0.154317	0.461216	0.154498	1.887717	15.208397	0.000750																								-0.000041	-0.000016																																																							-17.866788					-0.000048																																																																													0.000000	
 2 	 9													0.000000																																										0.154277	0.461038	0.154458	1.887246	15.209125	0.000749																								-0.000041	-0.000016																																																							-17.866788					-0.000048																																																																													0.000000	
