Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1									0.086325	0.000000																								0.000174	0.000161	0.177912	0.000571	0.042325	0.000244	0.030004	0.001714	0.004317	0.400149	0.403250	0.007542	0.000003	0.225046	0.084377	0.051571	0.233160	0.065094	0.021996	0.005902	0.174489	0.013662	0.012912	0.013678	0.124223	0.115379	0.000030																																																								5.159311																																												6.774977							-14.230497																																																							0.000000	
 1 	 2									0.086325	0.000000																								0.000174	0.000161	0.177717	0.000570	0.042280	0.000244	0.029967	0.001711	0.004312	0.399747	0.402822	0.007533	0.000003	0.224824	0.084285	0.051520	0.232907	0.065030	0.021974	0.005893	0.174305	0.013683	0.012928	0.013699	0.124067	0.115387	0.000030																																																								5.159311																																												6.774977							-14.228386																																																							0.000000	
 1 	 3									0.086325	0.000000																								0.000173	0.000160	0.177227	0.000568	0.042157	0.000243	0.029871	0.001705	0.004298	0.398733	0.401739	0.007511	0.000003	0.224226	0.084054	0.051392	0.232273	0.064869	0.021914	0.005871	0.173838	0.013710	0.012944	0.013726	0.124030	0.115383	0.000030																																																								5.159311																																												6.774977							-14.223262																																																							0.000000	
 1 	 4									0.086325	0.000000																								0.000174	0.000161	0.177832	0.000571	0.042305	0.000244	0.029988	0.001713	0.004315	0.399980	0.403069	0.007538	0.000003	0.224971	0.084338	0.051549	0.233054	0.065067	0.021987	0.005898	0.174420	0.013631	0.012891	0.013646	0.123994	0.115411	0.000030																																																								5.159311																																												6.774977							-14.229392																																																							0.000000	
 1 	 5									0.086325	0.000000																								0.000174	0.000161	0.177786	0.000570	0.042294	0.000244	0.029979	0.001712	0.004313	0.399883	0.402966	0.007536	0.000003	0.224923	0.084317	0.051537	0.232994	0.065052	0.021981	0.005896	0.174379	0.013607	0.012880	0.013623	0.123910	0.115425	0.000030																																																								5.159311																																												6.774977							-14.228788																																																							0.000000	
 1 	 6									0.086325	0.000000																								0.000174	0.000161	0.177725	0.000570	0.042280	0.000244	0.029967	0.001711	0.004311	0.399751	0.402825	0.007533	0.000003	0.224856	0.084287	0.051521	0.232913	0.065031	0.021973	0.005893	0.174322	0.013601	0.012878	0.013617	0.123835	0.115434	0.000030																																																								5.159311																																												6.774977							-14.228059																																																							0.000000	
 1 	 7									0.086325	0.000000																								0.000174	0.000161	0.177684	0.000570	0.042270	0.000244	0.029959	0.001711	0.004310	0.399665	0.402732	0.007531	0.000003	0.224814	0.084268	0.051510	0.232860	0.065018	0.021968	0.005891	0.174286	0.013580	0.012862	0.013595	0.123696	0.115455	0.000030																																																								5.159311																																												6.774977							-14.227458																																																							0.000000	
 1 	 8									0.086325	0.000000																								0.000174	0.000161	0.177588	0.000570	0.042248	0.000244	0.029940	0.001709	0.004307	0.399466	0.402520	0.007526	0.000003	0.224706	0.084223	0.051485	0.232735	0.064986	0.021956	0.005887	0.174197	0.013605	0.012882	0.013621	0.123896	0.115426	0.000030																																																								5.159311																																												6.774977							-14.226705																																																							0.000000	
 1 	 9									0.086325	0.000000																								0.000173	0.000160	0.176849	0.000566	0.042049	0.000242	0.029790	0.001700	0.004287	0.397935	0.400887	0.007493	0.000003	0.223764	0.083874	0.051293	0.231776	0.064744	0.021867	0.005854	0.173490	0.013583	0.012866	0.013599	0.123736	0.115449	0.000030																																																								5.159311																																												6.774977							-14.218669																																																							0.000000	
 1 	 10									0.086325	0.000000																								0.000173	0.000160	0.176908	0.000566	0.042065	0.000242	0.029802	0.001700	0.004288	0.398052	0.401012	0.007495	0.000003	0.223847	0.083902	0.051308	0.231852	0.064763	0.021874	0.005856	0.173549	0.013598	0.012877	0.013614	0.123815	0.115437	0.000030																																																								5.159311																																												6.774977							-14.219400																																																							0.000000	
 1 	 11									0.086325	0.000000																								0.000174	0.000161	0.178020	0.000571	0.042344	0.000245	0.030019	0.001715	0.004319	0.400347	0.403458	0.007545	0.000003	0.225226	0.084425	0.051597	0.233290	0.065126	0.022005	0.005905	0.174619	0.013601	0.012876	0.013617	0.123765	0.115441	0.000030																																																								5.159311																																												6.774977							-14.231059																																																							0.000000	
 1 	 12									0.086325	0.000000																								0.000174	0.000161	0.178005	0.000571	0.042340	0.000244	0.030016	0.001714	0.004319	0.400312	0.403421	0.007545	0.000003	0.225216	0.084418	0.051593	0.233269	0.065121	0.022003	0.005904	0.174607	0.013613	0.012880	0.013629	0.123879	0.115427	0.000030																																																								5.159311																																												6.774977							-14.231027																																																							0.000000	
 1 	 13									0.086325	0.000000																								0.000173	0.000160	0.176851	0.000566	0.042047	0.000242	0.029788	0.001699	0.004286	0.397922	0.400872	0.007492	0.000003	0.223789	0.083874	0.051292	0.231775	0.064743	0.021866	0.005853	0.173503	0.013621	0.012884	0.013637	0.123900	0.115422	0.000030																																																								5.159311																																												6.774977							-14.218902																																																							0.000000	
 1 	 14									0.086325	0.000000																								0.000173	0.000160	0.176753	0.000566	0.042019	0.000242	0.029768	0.001698	0.004284	0.397718	0.400654	0.007488	0.000003	0.223667	0.083828	0.051266	0.231647	0.064711	0.021852	0.005849	0.173411	0.013623	0.012890	0.013639	0.123877	0.115422	0.000030																																																								5.159311																																												6.774977							-14.217848																																																							0.000000	
