TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.789711	6175.858941	60.000000	0.000000	59.999998	60.000000	0.000000	0.426401	1.000000	0.843906	0.843906	0.052828	42472.798497
CCGT	18442.093809	467.078353	25.000000	4.000000	22.328071	Infinity	0.000000	0.014677	1.000000	0.078058	0.955769	0.070952	4103.676233
CCGT_AMMONIA	0.038010	0.000963	25.000000	0.000000	0.000046	Infinity	0.000000	0.000000	1.000000	0.035793	0.590000	0.070952	0.008458
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.995713	2927.867475	25.000000	0.000000	209.999957	210.000000	0.000000	0.258767	1.000000	0.146324	1.000000	0.070952	267749.945335
WIND_ONSHORE	85646.992885	996.141093	30.000000	0.000000	74.999994	75.000000	0.000000	0.162799	1.000000	0.257761	1.000000	0.065051	46713.746119
WIND_OFFSHORE	65735.990767	457.357786	30.000000	0.000000	12.270358	60.000000	0.000000	0.050751	1.000000	0.491147	1.000000	0.065051	7642.592696
HYDRO_RIVER	110988.195830	1109.785119	80.000000	0.000000	21.999991	22.000000	0.000000	0.086606	1.000000	0.467469	1.000000	0.051030	27782.028944
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.044040	0.002831	25.000000	0.000000	0.000029	Infinity	0.000000	0.000000	1.000000	0.062129	0.844900	0.070952	0.029521
IND_COGEN_WOOD	0.063892	0.002339	25.000000	0.000000	0.000054	Infinity	0.000000	0.000001	1.000000	0.169367	0.844900	0.070952	0.009006
IND_COGEN_WASTE	0.046929	0.001730	25.000000	0.000000	0.000015	Infinity	0.000000	0.000000	1.000000	0.059836	0.844900	0.070952	0.009552
IND_BOILER_GAS	0.023662	0.000474	17.000000	0.000000	0.000335	Infinity	0.000000	0.000001	1.000000	0.024261	0.944300	0.088699	0.004125
IND_BOILER_WOOD	506.518701	10.130021	17.000000	0.000000	3.664583	Infinity	0.000000	0.136413	1.000000	0.595948	0.894600	0.088699	105.796519
IND_BOILER_OIL	0.023061	0.000496	17.000000	0.000000	0.000350	Infinity	0.000000	0.000000	1.000000	0.016975	0.944300	0.088699	0.004316
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.894600	0.088699	0.000000
IND_BOILER_WASTE	1707.128777	34.141387	17.000000	0.000000	12.350809	Infinity	0.000000	0.492310	1.000000	0.638146	0.894600	0.088699	356.567847
IND_DIRECT_ELEC	6211.072856	28.175997	15.000000	0.000000	16.019067	Infinity	0.000000	0.371274	1.000000	0.371052	0.944300	0.096342	23.548029
DHN_HP_ELEC	6955.880979	235.865073	25.000000	0.000000	17.577341	Infinity	0.000000	0.999996	1.000000	0.754214	0.944300	0.070952	3072.343356
DHN_COGEN_GAS	0.068246	0.001995	25.000000	0.000000	0.000050	Infinity	0.000000	0.000001	1.000000	0.076485	0.844900	0.070952	0.024607
DHN_COGEN_WOOD	0.033586	0.001230	25.000000	0.000000	0.000029	Infinity	0.000000	0.000000	1.000000	0.065358	0.844900	0.070952	0.004734
DHN_COGEN_WASTE	0.048580	0.001791	25.000000	0.000000	0.000015	Infinity	0.000000	0.000000	1.000000	0.043800	0.844900	0.070952	0.009888
DHN_COGEN_WET_BIOMASS	0.020322	0.001654	25.000000	0.000000	0.000014	Infinity	0.000000	0.000000	1.000000	0.022706	0.745500	0.070952	0.013951
DHN_COGEN_BIO_HYDROLYSIS	0.037979	0.001856	15.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.034041	0.844900	0.096342	0.004997
DHN_BOILER_GAS	0.003998	0.000080	17.000000	0.000000	0.000057	Infinity	0.000000	0.000000	1.000000	0.040801	0.944300	0.088699	0.000697
DHN_BOILER_WOOD	0.007841	0.000157	17.000000	0.000000	0.000057	Infinity	0.000000	0.000001	1.000000	0.085287	0.894600	0.088699	0.001638
DHN_BOILER_OIL	0.003857	0.000083	17.000000	0.000000	0.000059	Infinity	0.000000	0.000000	1.000000	0.034071	0.944300	0.088699	0.000722
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.065051	0.000000
DHN_SOLAR	0.040075	0.000047	30.000000	0.000000	0.000105	Infinity	0.000000	0.000001	1.000000	0.121361	1.000000	0.065051	0.023246
DEC_HP_ELEC	92036.556294	3837.414354	18.000000	0.000000	162.960013	Infinity	0.000000	0.999995	1.000000	0.338666	1.000000	0.085546	26870.476588
DEC_THHP_GAS	0.085641	0.002503	20.000000	0.000000	0.000236	Infinity	0.000000	0.000001	1.000000	0.254045	1.000000	0.080243	0.090269
DEC_COGEN_GAS	0.060993	0.003921	20.000000	0.000000	0.000040	Infinity	0.000000	0.000000	1.000000	0.077882	1.000000	0.080243	0.040885
DEC_COGEN_OIL	0.046254	0.002838	20.000000	0.000000	0.000033	Infinity	0.000000	0.000000	1.000000	0.051023	1.000000	0.080243	0.033439
DEC_ADVCOGEN_GAS	0.081994	0.001528	20.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.018241	1.000000	0.080243	0.019580
DEC_ADVCOGEN_H2	0.074317	0.001385	20.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.015160	1.000000	0.080243	0.017747
DEC_BOILER_GAS	0.045078	0.001353	17.000000	0.000000	0.000237	Infinity	0.000000	0.000000	1.000000	0.035278	1.000000	0.088699	0.004997
DEC_BOILER_WOOD	0.083975	0.002938	17.000000	0.000000	0.000151	Infinity	0.000000	0.000001	1.000000	0.255843	1.000000	0.088699	0.003191
DEC_BOILER_OIL	0.035560	0.002133	17.000000	0.000000	0.000208	Infinity	0.000000	0.000000	1.000000	0.029228	1.000000	0.088699	0.004389
DEC_SOLAR	0.854956	0.009486	20.000000	0.000000	0.001129	20.000000	0.000000	0.000002	1.000000	0.078560	1.000000	0.080243	0.249661
DEC_DIRECT_ELEC	0.059218	0.000259	15.000000	0.000000	0.001358	Infinity	0.000000	0.000001	1.000000	0.037398	1.000000	0.096342	0.001996
TRAMWAY_TROLLEY	10181.127160	203.622543	30.000000	0.000000	16.289803	Infinity	0.000000	0.200000	0.200000	0.342466	0.342466	0.065051	0.000000
BUS_COACH_DIESEL	18141.346127	959.128819	15.000000	0.000000	31.389670	Infinity	0.000000	0.334005	1.000000	0.296804	0.296804	0.096342	0.000000
BUS_COACH_HYDIESEL	0.004205	0.000170	15.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.014161	0.296804	0.096342	0.000000
BUS_COACH_CNG_STOICH	0.143237	0.007481	15.000000	0.000000	0.000245	Infinity	0.000000	0.000003	1.000000	0.291692	0.296804	0.096342	0.000000
BUS_COACH_FC_HYBRIDH2	0.040494	0.001136	15.000000	0.000000	0.000036	Infinity	0.000000	0.000000	1.000000	0.120179	0.296804	0.096342	0.000000
TRAIN_PUB	71164.659646	2568.355605	40.000000	0.000000	47.253463	Infinity	0.000000	0.465992	0.500000	0.275073	0.275073	0.058278	0.000000
