Name	C_inv	C_maint	C_op
NUCLEAR	15359.466573	6175.858941	0.000000
CCGT	1308.511873	467.078353	0.000000
CCGT_AMMONIA	0.002697	0.000963	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1490.001299	2927.867475	0.000000
WIND_ONSHORE	5571.459797	996.141093	0.000000
WIND_OFFSHORE	4276.220536	457.357786	0.000000
HYDRO_RIVER	5663.685844	1109.785119	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.003125	0.002831	0.000000
IND_COGEN_WOOD	0.004533	0.002339	0.000000
IND_COGEN_WASTE	0.003330	0.001730	0.000000
IND_BOILER_GAS	0.002099	0.000474	0.000000
IND_BOILER_WOOD	44.927774	10.130021	0.000000
IND_BOILER_OIL	0.002045	0.000496	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	151.420857	34.141387	0.000000
IND_DIRECT_ELEC	598.388967	28.175997	0.000000
DHN_HP_ELEC	493.536848	235.865073	0.000000
DHN_COGEN_GAS	0.004842	0.001995	0.000000
DHN_COGEN_WOOD	0.002383	0.001230	0.000000
DHN_COGEN_WASTE	0.003447	0.001791	0.000000
DHN_COGEN_WET_BIOMASS	0.001442	0.001654	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.003659	0.001856	0.000000
DHN_BOILER_GAS	0.000355	0.000080	0.000000
DHN_BOILER_WOOD	0.000696	0.000157	0.000000
DHN_BOILER_OIL	0.000342	0.000083	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.002607	0.000047	0.000000
DEC_HP_ELEC	7873.379706	3837.414354	0.000000
DEC_THHP_GAS	0.006872	0.002503	0.000000
DEC_COGEN_GAS	0.004894	0.003921	0.000000
DEC_COGEN_OIL	0.003712	0.002838	0.000000
DEC_ADVCOGEN_GAS	0.006579	0.001528	0.000000
DEC_ADVCOGEN_H2	0.005963	0.001385	0.000000
DEC_BOILER_GAS	0.003998	0.001353	0.000000
DEC_BOILER_WOOD	0.007449	0.002938	0.000000
DEC_BOILER_OIL	0.003154	0.002133	0.000000
DEC_SOLAR	0.068604	0.009486	0.000000
DEC_DIRECT_ELEC	0.005705	0.000259	0.000000
TRAMWAY_TROLLEY	662.296932	203.622543	0.000000
BUS_COACH_DIESEL	1747.778786	959.128819	0.000000
BUS_COACH_HYDIESEL	0.000405	0.000170	0.000000
BUS_COACH_CNG_STOICH	0.013800	0.007481	0.000000
BUS_COACH_FC_HYBRIDH2	0.003901	0.001136	0.000000
TRAIN_PUB	4147.345504	2568.355605	0.000000
CAR_GASOLINE	0.000599	0.000375	0.000000
CAR_DIESEL	0.000767	0.000465	0.000000
CAR_NG	0.001841	0.001116	0.000000
CAR_METHANOL	0.000477	0.000299	0.000000
CAR_HEV	0.000498	0.000415	0.000000
CAR_PHEV	0.150761	0.112374	0.000000
CAR_BEV	96307.510127	16289.786227	0.000000
CAR_FUEL_CELL	0.000801	0.000078	0.000000
PLANE	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	17.515548	15.890602	0.000000
BOAT_FREIGHT_NG	67.505771	60.497814	0.000000
BOAT_FREIGHT_METHANOL	0.001452	0.001318	0.000000
TRAIN_FREIGHT	111.058411	38.111606	0.000000
TRUCK_DIESEL	290.442084	159.384673	0.000000
TRUCK_METHANOL	0.000992	0.000545	0.000000
TRUCK_FUEL_CELL	4679.388961	1362.446283	0.000000
TRUCK_ELEC	0.016226	0.004436	0.000000
TRUCK_NG	0.000135	0.000073	0.000000
HABER_BOSCH	415.695873	101.285957	0.000000
CO2_TO_METHANOL	0.002126	0.001060	0.000000
E_WOOD_TO_METHANOL	684.323963	341.127567	0.000000
METHANE_TO_METHANOL	0.002259	0.001273	0.000000
