Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																			0.000000		0.000000																																										-0.000081																																																															0.000012																									-0.000005																																																													-32003.548531	32007.891641									-4.343037	
 1 	 2																			0.000000		0.000000																																										-0.000083																																																															0.000011																									-0.000005																																																													-31896.881343	31901.224456									-4.343037	
 1 	 3																			0.000000		0.000000																																										-0.000082																																																															0.000009																									-0.000005																																																													-31889.106538	31893.449652									-4.343037	
 1 	 4																			0.000000		0.000000																																										-0.000081																																																															0.000013																									-0.000005																																																													-31782.355718	31786.698828									-4.343037	
 1 	 5																			0.000000		0.000000																																										-0.000081																																																															0.000013																									-0.000005																																																													-31736.015197	31740.358306									-4.343037	
 1 	 6																			0.000000		0.000000																																										-0.000082																																																															0.000013																									-0.000005																																																													-31686.465998	31690.809108									-4.343037	
 1 	 7																			0.000000		0.000000																																										-0.000084																																																															0.000012																									-0.000005																																																													-31622.528761	31626.871874									-4.343037	
 1 	 8																			0.000000		0.000000																																										-0.000088																																																															0.000013																									-0.000005																																																													-31601.053906	31605.397022									-4.343037	
 1 	 9																			0.000000		0.000000																																										-0.000088																																																															0.000012																									-0.000005																																																													-31604.254188	31608.597305									-4.343037	
 1 	 10																			0.000000		0.000000																																										-0.000079																																																															0.000012																									-0.000005																																																													-31600.119383	31604.462491									-4.343037	
 1 	 11																			0.000000		0.000000																																										-0.000093																																																															0.000011																									-0.000005																																																													-31601.982656	31606.325779									-4.343037	
 1 	 12																			0.000000		0.000000																																										-0.000004																																																															0.000034																									-0.000005																																																													-31609.380614	31613.723625									-4.343037	
 1 	 13																			0.000000		0.000000																																										-0.000002																																																															5.374012																									-0.000005																																																													-31602.957463	31601.926494									-4.343037	
 1 	 14																			0.000000		0.000000																																										-0.000002																																																															5.374014																									-0.000005																																																													-31602.223339	31601.192368									-4.343037	
 1 	 15																			0.000000		0.000000																																										-0.000002																																																															5.374009																									-0.000005																																																													-31611.089135	31610.058169									-4.343037	
 1 	 16																			0.000000		0.000000																																										-0.000004																																																															0.000032																									-0.000005																																																													-31618.060217	31622.403229									-4.343037	
 1 	 17																			0.000000		0.000000																																										-0.000080																																																															0.000012																									-0.000004																																																													-31611.276702	31615.619812									-4.343037	
 1 	 18																			0.000000		0.000000																																										-0.000079																																																															0.000011																									-0.000005																																																													-31586.723451	31591.066559									-4.343037	
 1 	 19																			0.000000		0.000000																																										-0.000080																																																															0.000012																									-0.000005																																																													-31594.062612	31598.405721									-4.343037	
 1 	 20																			0.000000		0.000000																																										-0.000082																																																															0.000012																									-0.000005																																																													-31597.418015	31601.761127									-4.343037	
 1 	 21																			0.000000		0.000000																																										-0.000085																																																															0.000012																									-0.000005																																																													-31602.975917	31607.319031									-4.343037	
 1 	 22																			0.000000		0.000000																																										-0.000085																																																															0.000012																									-0.000005																																																													-31613.713300	31618.056414									-4.343037	
 1 	 23																			0.000000		0.000000																																										-0.000085																																																															0.000012																									-0.000005																																																													-31641.961206	31646.304320									-4.343037	
 1 	 24																			0.000000		0.000000																																										-0.000085																																																															0.000012																									-0.000005																																																													-31746.931496	31751.274610									-4.343037	
 2 	 1																			0.000000		0.000000																																										-0.000008																																																															0.000041																									-0.000006																																																													-31641.452386	31645.795395									-4.343037	
 2 	 2																			0.000000		0.000000																																										-0.000008																																																															0.000037																									-0.000006																																																													-31780.129549	31784.472562									-4.343037	
 2 	 3																			0.000000		0.000000																																										-0.000007																																																															0.000028																									-0.000006																																																													-31817.365666	31821.708688									-4.343037	
 2 	 4																			0.000000		0.000000																																										-0.000008																																																															0.000043																									-0.000006																																																													-31647.339881	31651.682889									-4.343037	
 2 	 5																			0.000000		0.000000																																										-0.000008																																																															0.000043																									-0.000006																																																													-31623.104449	31627.447456									-4.343037	
 2 	 6																			0.000000		0.000000																																										-0.000008																																																															0.000042																									-0.000006																																																													-31601.346168	31605.689176									-4.343037	
 2 	 7																			0.000000		0.000000																																										-0.000007																																																															0.000040																									-0.000005																																																													-31576.187810	31580.530819									-4.343037	
 2 	 8																			0.000000		0.000000																																										-0.000007																																																															0.000041																									-0.000005																																																													-31586.619673	31590.962681									-4.343037	
 2 	 9																			0.000000		0.000000																																										-0.000007																																																															0.000040																									-0.000005																																																													-31588.902575	31593.245584									-4.343037	
 2 	 10																			0.000000		0.000000																																										-0.000007																																																															0.000040																									-0.000005																																																													-31593.519410	31597.862420									-4.343037	
 2 	 11																			0.000000		0.000000																																										-0.000004																																																															5.373930																									-0.000005																																																													-31598.694045	31597.663161									-4.343037	
 2 	 12																			0.000000		0.000000																																										-0.000004																																																															5.374067																									-0.000005																																																													-31602.610013	31601.578992									-4.343037	
 2 	 13																			0.000000		0.000000																																										-0.000004																																																															5.374095																									-0.000005																																																													-31588.977263	31587.946213									-4.343037	
 2 	 14																			0.000000		0.000000																																										-0.000003																																																															5.374096																									-0.000005																																																													-31587.919049	31586.887999									-4.343037	
 2 	 15																			0.000000		0.000000																																										-0.000003																																																															5.374095																									-0.000005																																																													-31600.216979	31599.185929									-4.343037	
 2 	 16																			0.000000		0.000000																																										-0.000003																																																															5.373999																									-0.000005																																																													-31607.834076	31606.803122									-4.343037	
 2 	 17																			0.000000		0.000000																																										-0.000003																																																															5.373926																									-0.000005																																																													-31606.565859	31605.534979									-4.343037	
 2 	 18																			0.000000		0.000000																																										-0.000006																																																															0.000042																									-0.000005																																																													-31564.410998	31568.754005									-4.343037	
