Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1				0.000000	0.000000			0.000000														0.000000		6.209128					12.007714					-0.002369	-0.002933	-1.956706	-0.010368	-0.340070	-0.002963	-0.224668	-0.014341	-0.079908	-1.639031	-1.717840	-0.440728	-0.047376	-1.826845	-0.669909	-0.756701	-1.685954	-1.517299	-0.322326	-0.091738	-4.136782	-0.046106	-0.135787	-0.034382	-0.386552	-3.262803	-0.000178																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.635999																																																							0.000000	
 1 	 2				0.000000	0.000000			0.000000														0.000000		6.186814					12.008915					-0.002365	-0.002928	-1.953248	-0.010351	-0.339642	-0.002958	-0.224396	-0.014318	-0.079794	-1.636052	-1.714808	-0.440138	-0.047300	-1.823708	-0.668970	-0.755480	-1.682973	-1.514732	-0.321920	-0.091611	-4.130092	-0.046575	-0.137026	-0.034731	-0.388019	-3.259278	-0.000178																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.634243																																																							0.000000	
 1 	 3				0.000000	0.000000			0.000000														0.000000		6.180060					12.006149					-0.002357	-0.002919	-1.945849	-0.010318	-0.338770	-0.002949	-0.223843	-0.014270	-0.079563	-1.629772	-1.708200	-0.438939	-0.047148	-1.816984	-0.666800	-0.752998	-1.676498	-1.508995	-0.321093	-0.091344	-4.116460	-0.046768	-0.137469	-0.034878	-0.387751	-3.258764	-0.000178																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.629405																																																							0.000000	
 1 	 4				0.000000	0.000000			0.000000														0.000000		6.262146					12.003458					-0.002364	-0.002926	-1.951715	-0.010344	-0.339451	-0.002956	-0.224275	-0.014307	-0.079743	-1.634708	-1.713394	-0.439880	-0.047267	-1.822316	-0.668509	-0.754938	-1.681585	-1.513481	-0.321739	-0.091552	-4.127146	-0.046092	-0.135729	-0.034371	-0.386312	-3.263126	-0.000177																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.632601																																																							0.000000	
 1 	 5				0.000000	0.000000			0.000000														0.000000		6.413389					12.003962					-0.002364	-0.002926	-1.951815	-0.010344	-0.339463	-0.002956	-0.224282	-0.014308	-0.079747	-1.634798	-1.713489	-0.439897	-0.047270	-1.822407	-0.668539	-0.754972	-1.681678	-1.513562	-0.321750	-0.091556	-4.127353	-0.046080	-0.135811	-0.034363	-0.386859	-3.262516	-0.000178																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.632768																																																							0.000000	
 1 	 6				0.000000	0.000000			0.000000														0.000000		6.775662					12.003895					-0.002364	-0.002927	-1.952562	-0.010348	-0.339555	-0.002957	-0.224341	-0.014313	-0.079771	-1.635466	-1.714192	-0.440024	-0.047286	-1.823084	-0.668770	-0.755234	-1.682366	-1.514169	-0.321837	-0.091584	-4.128816	-0.046049	-0.135768	-0.034340	-0.387087	-3.262385	-0.000178																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.633310																																																							0.000000	
 1 	 7				0.000000	0.000000			0.000000														0.000000		7.341454					12.004555					-0.002366	-0.002929	-1.953835	-0.010354	-0.339712	-0.002959	-0.224440	-0.014321	-0.079812	-1.636606	-1.715392	-0.440241	-0.047313	-1.824239	-0.669124	-0.755681	-1.683541	-1.515163	-0.321986	-0.091631	-4.131297	-0.045983	-0.135633	-0.034290	-0.387322	-3.262400	-0.000178																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.634194																																																							0.000000	
 1 	 8				0.000000	0.000000			0.000000														0.000000		7.190434					12.006982					-0.002365	-0.002928	-1.953082	-0.010350	-0.339618	-0.002958	-0.224381	-0.014316	-0.079787	-1.635929	-1.714679	-0.440111	-0.047297	-1.823556	-0.668919	-0.755415	-1.682843	-1.514591	-0.321897	-0.091603	-4.129854	-0.046035	-0.135767	-0.034329	-0.387251	-3.262245	-0.000178																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.633692																																																							0.000000	
 1 	 9				0.000000	0.000000			0.000000														0.000000		7.114972					12.006200					-0.002351	-0.002911	-1.939812	-0.010292	-0.338086	-0.002941	-0.223409	-0.014232	-0.079377	-1.624553	-1.702824	-0.438005	-0.047028	-1.811365	-0.665085	-0.751053	-1.671215	-1.504347	-0.320444	-0.091135	-4.104575	-0.046028	-0.135770	-0.034324	-0.387231	-3.262274	-0.000178																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.624852																																																							0.000000	
 1 	 10				0.000000	0.000000			0.000000														0.000000		7.228032					12.004431					-0.002353	-0.002914	-1.941961	-0.010301	-0.338328	-0.002944	-0.223562	-0.014246	-0.079445	-1.626466	-1.704837	-0.438339	-0.047071	-1.813364	-0.665692	-0.751741	-1.673187	-1.506085	-0.320674	-0.091209	-4.108917	-0.045985	-0.135657	-0.034292	-0.387198	-3.262496	-0.000179																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.626299																																																							0.000000	
 1 	 11				0.000000	0.000000			0.000000														0.000000		7.378895					12.006395					-0.002376	-0.002942	-1.963540	-0.010400	-0.340914	-0.002972	-0.225203	-0.014387	-0.080125	-1.644654	-1.723759	-0.441855	-0.047524	-1.833040	-0.671763	-0.759035	-1.691748	-1.522384	-0.323127	-0.091989	-4.150233	-0.045921	-0.135463	-0.034245	-0.386895	-3.263105	-0.000179																																																																																									0.304443										-6.270000			-0.000001	-0.000002				13.640432																																																							0.000000	
