Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1			0.000000		0.000000																																																																																																		-0.139567	-0.000000					-0.000000								-2.085278				-0.447343																										0.000004								3.579267	0.000005	0.000009																																																	-32017.122321	32016.215223															0.000000	
 1 	 2			0.000000		0.000000																																																																																																		-0.055874	-0.000000					-0.000000								-2.089298				-0.447343																										0.000004								3.580481	0.000005	0.000009																																																	-31956.797082	31955.809098															0.000000	
 1 	 3			0.000000		0.000000																																																																																																		-0.027818	-0.000000					-0.000000								-2.101047				-0.447343																										0.000004								3.580917	0.000005	0.000008																																																	-30148.165841	30147.161115															0.000000	
 1 	 4			0.000000		0.000000																																																																																																		-0.335245	-0.000000					-0.000000								-2.087890				-0.447343																										0.000004								3.577123	0.000005	0.000009																																																	-32154.120129	32153.413467															0.000000	
 1 	 5			0.000000		0.000000																																																																																																		-0.893987	-0.000000					-0.000000								-2.093337				-0.447343																										0.000004								3.577099	0.000005	0.000009																																																	-32137.252212	32137.109763															0.000000	
 1 	 6			0.000000		0.000000																																																																																																		-2.234967	-0.000000					-0.000000								-2.096252				-0.447343																										0.000004								3.577134	0.000005	0.000009																																																	-32128.433574	32129.634985															0.000000	
 1 	 7			0.000000		0.000000																																																																																																		-4.329654	-0.000001					-0.000001								-2.099397				-0.447343																										0.000004								3.576871	0.000005	0.000008																																																	-32129.703055	32133.002562															0.000000	
 1 	 8			0.000000		0.000000																																																																																																		-3.770983	-0.000000					-0.000001								-2.096857				-0.447343																										0.000004								3.577308	0.000005	0.000008																																																	-32146.590023	32149.327882															0.000000	
 1 	 9			0.000000		0.000000																																																																																																		-3.491660	-0.000000					-0.000001								-2.096223				-0.447343																										0.000004								3.577123	0.000005	0.000008																																																	-32152.630075	32155.088161															0.000000	
 1 	 10			0.000000		0.000000																																																																																																		-3.910669	-0.000000					-0.000001								-2.095177				-0.447343																										0.000004								3.577148	0.000005	0.000008																																																	-32157.365502	32160.241525															0.000000	
 1 	 11			0.000000		0.000000																																																																																																		-4.469315	-0.000001					-0.000001								-2.095556				-0.447343																										0.000004								3.577481	0.000005	0.000008																																																	-32157.289577	32160.724293															0.000000	
 1 	 12			0.000000		0.000000																																																																																																		-4.916261	-0.000001					-0.000001								-2.094639				-0.447343																										0.000004								3.578697	0.000005	0.000008																																																	-32160.433549	32164.313078															0.000000	
 1 	 13			0.000000		0.000000																																																																																																		-4.469315	-0.000001					-0.000001								-0.000302				-0.447343																										0.000004								3.579493	0.000005	0.000008																																																	-32165.016360	32166.353811															0.000000	
 1 	 14			0.000000		0.000000																																																																																																		-4.525189	-0.000001					-0.000001								-0.000303				-0.447343																										0.000004								3.579670	0.000005	0.000008																																																	-32166.648161	32168.041311															0.000000	
 1 	 15			0.000000		0.000000																																																																																																		-5.083860	-0.000001					-0.000001								-0.000305				-0.447343																										0.000004								3.579562	0.000005	0.000008																																																	-32164.381450	32166.333380															0.000000	
 1 	 16			0.000000		0.000000																																																																																																		-5.307333	-0.000001					-0.000001								-2.095733				-0.447343																										0.000004								3.578922	0.000005	0.000008																																																	-32163.660374	32167.931845															0.000000	
 1 	 17			0.000000		0.000000																																																																																																		-5.307333	-0.000001					-0.000001								-2.096364				-0.447343																										0.000004								3.578050	0.000005	0.000008																																																	-32160.354777	32164.627751															0.000000	
 1 	 18			0.000000		0.000000																																																																																																		-3.910669	-0.000000					-0.000001								-2.093712				-0.447343																										0.000004								3.577593	0.000005	0.000008																																																	-32162.153199	32165.027313															0.000000	
 1 	 19			0.000000		0.000000																																																																																																		-2.793328	-0.000000					-0.000000								-2.092791				-0.447343																										0.000004								3.577496	0.000005	0.000008																																																	-32161.135206	32162.891155															0.000000	
 1 	 20			0.000000		0.000000																																																																																																		-2.094687	-0.000000					-0.000000								-2.091867				-0.447343																										0.000004								3.577352	0.000005	0.000008																																																	-32156.345981	32157.402508															0.000000	
 1 	 21			0.000000		0.000000																																																																																																		-1.395665	-0.000000					-0.000000								-2.090368				-0.447343																										0.000004								3.577391	0.000005	0.000008																																																	-32162.466420	32162.822388															0.000000	
 1 	 22			0.000000		0.000000																																																																																																		-0.893987	-0.000000					-0.000000								-2.089875				-0.447343																										0.000004								3.577433	0.000005	0.000008																																																	-32163.081680	32162.935435															0.000000	
 1 	 23			0.000000		0.000000																																																																																																		-0.558742	-0.000000					-0.000000								-2.090066				-0.447343																										0.000004								3.577361	0.000005	0.000008																																																	-32155.017076	32154.535848															0.000000	
 1 	 24			0.000000		0.000000																																																																																																		-0.223497	-0.000000					-0.000000								-2.092617				-0.447343																										0.000004								3.578249	0.000005	0.000009																																																	-32015.155268	32014.340459															0.000000	
 2 	 1			0.000000		0.000000																																																																																																		-0.139567	-0.000000					-0.000000								-0.000256				-0.447343																										0.000004								3.568503	0.000006	0.000010																																																	-31873.938504	31870.957147															0.000000	
 2 	 2			0.000000		0.000000																																																																																																		-0.055874	-0.000000					-0.000000								-0.000260				-0.447343																										0.000004								3.569525	0.000006	0.000010																																																	-31856.803284	31853.737216															0.000000	
 2 	 3			0.000000		0.000000																																																																																																		-0.027818	-0.000000					-0.000000								-0.000079				-0.447343																										0.000004								3.569994	0.000006	0.000010																																																	-30325.424169	30322.329396															0.000000	
 2 	 4			0.000000		0.000000																																																																																																		-0.335245	-0.000000					-0.000000								-2.010217				-0.447343																										0.000004								3.566965	0.000006	0.000010																																																	-32156.813327	32156.039147															0.000000	
