Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1	0.000000																						-0.000001																																						50.634357	22.328068	0.000039			0.000000	11.430250	4.570120	7.734756		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000058	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000032	0.000021	0.000019	0.000016					-0.000002	-0.020190					-0.048774						-0.000001	-0.744419						-0.480711				-0.000005		-0.000001	-0.000000			-0.041962	-0.000001	-0.000002					-0.000001	-0.000001		0.529095		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000004	0.680653	-0.000009	0.000020	-6.398009	0.744431	-0.000015	0.000001																																															-36.115597	
 1 	 2	0.000000																						-0.000001																																						50.634357	22.328068	0.000040			0.000000	9.711066	4.449635	7.734756		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000058	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000032	0.000021	0.000019	0.000016					-0.000002	-0.008083					-0.019526						-0.000000	-0.298021						-0.480711				-0.000005		-0.000001	-0.000000			-0.041962	-0.000001	-0.000002					-0.000001	-0.000002		0.529096		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000004	0.205032	-0.000011	0.000017	-5.417520	0.298034	-0.000015	0.000001																																															-34.822148	
 1 	 3	0.000000																						-0.000001																																						50.634357	22.328068	0.000039			0.000000	8.510735	4.481092	7.734135		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000057	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000031	0.000021	0.000019	0.000016					-0.000002	-0.004024					-0.009722						-0.000000	-0.148376						-0.480711				-0.000005		-0.000001	-0.000000			-0.041962	-0.000001	-0.000002					-0.000002	-0.000001		0.529096		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000005	0.118732	-0.000012	0.000012	-4.540107	0.148389	-0.000015	0.000000																																															-34.457619	
 1 	 4	0.000000																						-0.000001																																						50.634357	22.328068	0.000039			0.000000	8.301644	4.523529	7.734135		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000058	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000031	0.000021	0.000019	0.000016					-0.000002	-0.048498					-0.117157						-0.000002	-1.788127						-0.480711				-0.000005		-0.000002	-0.000000			-0.041962	-0.000001	-0.000002					-0.000001	-0.000001		0.529095		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000004	0.109599	-0.000011	0.000015	-4.736187	1.788140	-0.000015	0.000002																																															-33.933849	
 1 	 5	0.000000																						-0.000001																																						50.634357	22.328068	0.000039			0.000000	8.549455	4.597719	7.734135		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000057	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000031	0.000021	0.000019	0.000016					-0.000002	-0.129328					-0.312419						-0.000004	-4.768339						-0.480711				-0.000005		-0.000002	-0.000000			-0.041962	-0.000001	-0.000002					-0.000001	-0.000001		0.529095		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000004	0.095935	-0.000011	0.000017	-5.166049	4.768352	-0.000015	0.000005																																															-33.536233	
 1 	 6	0.000000																						-0.000001																																						50.634357	22.328068	0.000039			0.000000	8.913426	4.566559	7.734135		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000057	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000031	0.000021	0.000019	0.000016					-0.000002	-0.323321					-0.781048						-0.000011	-11.920846						-0.480711				-0.000005		-0.000002	-0.000000			-0.041962	-0.000001	-0.000002					-0.000001	-0.000001		0.529095		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000004	0.093009	-0.000010	0.000019	-4.920861	11.920858	-0.000015	0.000011																																															-33.448687	
 1 	 7	0.000000																						-0.000001																																						50.634357	22.328068	0.000041			0.000000	8.712080	4.484653	7.733513		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000057	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000031	0.000020	0.000019	0.000016					-0.000002	-0.626349					-1.513072						-0.000021	-23.093469						-0.480711				-0.000005		-0.000002	-0.000000			-0.041962	-0.000001	-0.000002					-0.000001	-0.000001		0.529095		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000004	0.096737	-0.000010	0.000021	-2.999882	23.093480	-0.000015	0.000021																																															-34.054470	
 1 	 8	0.000000																						-0.000001																																						50.634357	22.328068	0.000042			0.000000	8.642383	4.219052	7.733513		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000056	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000031	0.000021	0.000018	0.000016					-0.000002	-0.545529					-1.317835						-0.000018	-20.113638						-0.480711				-0.000005		-0.000002	-0.000000			-0.041962	-0.000001	-0.000002					-0.000001	-0.000001		0.529095		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000005	0.114244	-0.000011	0.000026	-1.735662	20.113650	-0.000014	0.000018																																															-35.276962	
 1 	 9	0.000000																						-0.000001																																						50.634357	22.328069	0.000042			0.101587	8.580431	4.001229	7.733513		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000055	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000031	0.000020	0.000018	0.000016					-0.000002	-0.505121					-1.220221						-0.000017	-18.623786						-0.480711				-0.000005		-0.000002	-0.000000			-0.041962	-0.000001	-0.000002					-0.000001	-0.000001		0.529095		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000001			-0.273999		-0.000005	0.183204	-0.000010	0.000031	-0.740963	18.623799	-0.000014	0.000017																																															-36.300462	
 1 	 10	0.000000																						-0.000001																																						50.634357	22.328067	0.000038			7.689637	8.835985	3.925555	7.733513		0.000026	0.000017	0.000005						-0.000002	-0.000003	0.000055	0.000008	0.000005	0.000008	0.000005						-54.528298		0.000031	0.000020	0.000018	0.000016					-0.000002	-0.565736					-1.366651						-0.000019	-20.858691						-0.480711				-0.000005		-0.000001	-0.000000			-0.041962	-0.000001	-0.000002					-0.000002	-0.000001		0.529095		-0.000000				0.000001	0.000000			-0.000000			-0.000000	-0.000001								-0.000001	-0.000000			-0.273999		-0.000004	0.374864	-0.000009	0.000045	-7.801629	20.858704	-0.000014	0.000019																																															-36.992349	
