Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1								0.000000	3.116436																																																																																																											-10.389269																																							7.158535	0.000002	0.000003																																																													-1406854.424415	1406854.538708			0.000000	
 1 	 2								0.000000	3.116436																																																																																																											-10.389269																																							7.160962	0.000002	0.000003																																																													-1406721.383317	1406721.495183			0.000000	
 1 	 3								0.000000	3.116436																																																																																																											-10.389269																																							7.161834	0.000002	0.000003																																																													-1407202.288579	1407202.399572			0.000000	
 1 	 4								0.000000	3.116436																																																																																																											-10.389269																																							7.154247	0.000002	0.000003																																																													-1545220.505562	1545220.624143			0.000000	
 1 	 5								0.000000	3.116436																																																																																																											-10.389269																																							7.154197	0.000002	0.000003																																																													-1545209.585216	1545209.703846			0.000000	
 1 	 6								0.000000	3.116436																																																																																																											-10.389269																																							7.154269	0.000002	0.000003																																																													-1545197.360824	1545197.479383			0.000000	
 1 	 7								0.000000	3.116436																																																																																																											-10.389269																																							7.153742	0.000002	0.000003																																																													-1545188.131960	1545188.251045			0.000000	
 1 	 8								0.000000	3.116436																																																																																																											-10.389269																																							7.154616	0.000002	0.000003																																																													-1545194.060025	1545194.178236			0.000000	
 1 	 9								0.000000	3.116436																																																																																																											-10.389269																																							7.154245	0.000002	0.000003																																																													-1545196.028189	1545196.146772			0.000000	
 1 	 10								0.000000	3.116436																																																																																																											-10.389269																																							7.154297	0.000002	0.000003																																																													-1545195.735577	1545195.854108			0.000000	
 1 	 11								0.000000	3.116436																																																																																																											-10.389269																																							7.154963	0.000002	0.000003																																																													-1545197.645859	1545197.763723			0.000000	
 1 	 12								0.000000	3.116436																																																																																																											-10.389269																																							7.157395	0.000002	0.000003																																																													-1545196.915560	1545197.030993			0.000000	
 1 	 13								0.000000	3.116436																																																																																																											-10.389269																																							7.158987	0.000002	0.000003																																																													-1545194.688503	1545194.802343			0.000000	
 1 	 14								0.000000	3.116436																																																																																																											-10.389269																																							7.159339	0.000002	0.000003																																																													-1545194.545273	1545194.658762			0.000000	
 1 	 15								0.000000	3.116436																																																																																																											-10.389269																																							7.159124	0.000002	0.000003																																																													-1545198.522512	1545198.636216			0.000000	
 1 	 16								0.000000	3.116436																																																																																																											-10.389269																																							7.157844	0.000002	0.000003																																																													-1545196.116776	1545196.231759			0.000000	
 1 	 17								0.000000	3.116436																																																																																																											-10.389269																																							7.156100	0.000002	0.000003																																																													-1545198.555385	1545198.672112			0.000000	
 1 	 18								0.000000	3.116436																																																																																																											-10.389269																																							7.155186	0.000002	0.000003																																																													-1545194.860964	1545194.978605			0.000000	
 1 	 19								0.000000	3.116436																																																																																																											-10.389269																																							7.154992	0.000002	0.000003																																																													-1545195.011841	1545195.129677			0.000000	
 1 	 20								0.000000	3.116436																																																																																																											-10.389269																																							7.154705	0.000002	0.000003																																																													-1545196.989553	1545197.107676			0.000000	
 1 	 21								0.000000	3.116436																																																																																																											-10.389269																																							7.154782	0.000002	0.000003																																																													-1545198.514618	1545198.632663			0.000000	
 1 	 22								0.000000	3.116436																																																																																																											-10.389269																																							7.154866	0.000002	0.000003																																																													-1545200.411304	1545200.529266			0.000000	
 1 	 23								0.000000	3.116436																																																																																																											-10.389269																																							7.154722	0.000002	0.000003																																																													-1545176.542268	1545176.660374			0.000000	
 1 	 24								0.000000	3.116436																																																																																																											-10.389269																																							7.156497	0.000002	0.000003																																																													-1545189.816594	1545189.932924			0.000000	
 2 	 1								0.000000	3.116436																																																																																																											-10.389269																																							7.137007	0.000003	0.000004																																																													-1406838.670672	1406838.806491			0.000000	
 2 	 2								0.000000	3.116436																																																																																																											-10.389269																																							7.139051	0.000003	0.000004																																																													-1406724.734462	1406724.868238			0.000000	
 2 	 3								0.000000	3.116436																																																																																																											-10.389269																																							7.139988	0.000003	0.000004																																																													-1407221.502695	1407221.635534			0.000000	
 2 	 4								0.000000	3.116436																																																																																																											-10.389269																																							7.133929	0.000003	0.000004																																																													-1545215.695643	1545215.834540			0.000000	
 2 	 5								0.000000	3.116436																																																																																																											-10.389269																																							7.133241	0.000003	0.000004																																																													-1545208.054958	1545208.194543			0.000000	
 2 	 6								0.000000	3.116436																																																																																																											-10.389269																																							7.132682	0.000003	0.000004																																																													-1545198.375834	1545198.515978			0.000000	
 2 	 7								0.000000	3.116436																																																																																																											-10.389269																																							7.132117	0.000003	0.000004																																																													-1545173.796234	1545173.936943			0.000000	
 2 	 8								0.000000	3.116436																																																																																																											-10.389269																																							7.133052	0.000003	0.000004																																																													-1545190.565244	1545190.705018			0.000000	
 2 	 9								0.000000	3.116436																																																																																																											-10.389269																																							7.132879	0.000003	0.000004																																																													-1545192.922811	1545193.062758			0.000000	
 2 	 10								0.000000	3.116436																																																																																																											-10.389269																																							7.132817	0.000003	0.000004																																																													-1545195.817956	1545195.957966			0.000000	
 2 	 11								0.000000	3.116436																																																																																																											-10.389269																																							7.132760	0.000003	0.000004																																																													-1545198.241603	1545198.381670			0.000000	
 2 	 12								0.000000	3.116436																																																																																																											-10.389269																																							7.316672	0.000003	0.000004																																																													-1545196.783513	1545196.739668			0.000000	
 2 	 13								0.000000	3.116436																																																																																																											-10.389269																																							7.316707	0.000003	0.000004																																																													-1545195.221180	1545195.177299			0.000000	
 2 	 14								0.000000	3.116436																																																																																																											-10.389269																																							7.316708	0.000003	0.000004																																																													-1545196.447403	1545196.403521			0.000000	
 2 	 15								0.000000	3.116436																																																																																																											-10.389269																																							7.316708	0.000003	0.000004																																																													-1545198.417008	1545198.373127			0.000000	
