Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000006	7.176427	0.000007				-6.320590																	0.000001																																																																-34146.967395	34147.104287							-0.992694	
 1 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000045			-0.000002					0.000005	7.175196	0.000006				-6.320592																	0.000001																																																																-34116.604919	34116.743043							-0.992694	
 1 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000002					0.000005	7.179613	0.000007				-6.320602																	0.000001																																																																-33849.015113	33849.148829							-0.992694	
 1 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000047			-0.000002					0.000005	7.171622	0.000006				-6.320590																	0.000001																																																																-31714.663185	31714.804882							-0.992694	
 1 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000047			-0.000002					0.000005	7.172419	0.000006				-6.320596																	0.000001																																																																-31260.903417	31261.044323							-0.992694	
 1 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000047			-0.000002					0.000005	7.172719	0.000006				-6.320596																	0.000001																																																																-31613.440119	31613.580725							-0.992694	
 1 	 7																				0.000000		0.000000																																																																																									-0.000000								-0.000047			-0.000002					0.000005	7.172232	0.000006				-6.320596																	0.000001																																																																-31977.078126	31977.219220							-0.992694	
 1 	 8																				0.000000		0.000000																																																																																									-0.000000								-0.000047			-0.000002					0.000005	7.173700	0.000006				-6.320595																	0.000001																																																																-32161.881332	32162.020957							-0.992694	
 1 	 9																				0.000000		0.000000																																																																																									-0.000000								-0.000047			-0.000002					0.000005	7.173437	0.000006				-6.320595																	0.000001																																																																-32268.724727	32268.864615							-0.992694	
 1 	 10																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.173316	0.000006				-6.320595																	0.000001																																																																-32307.969057	32308.109066							-0.992694	
 1 	 11																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.173095	0.000006				-6.320596																	0.000001																																																																-32322.668754	32322.808985							-0.992694	
 1 	 12																				0.000000		0.000000																																																																																									-0.000001								-0.000046			-0.000002					0.000006	7.173329	0.000006				-6.320400																	0.000001																																																																-32317.968276	32318.108075							-0.992694	
 1 	 13																				0.000000		0.000000																																																																																									-0.000000								-0.000041			-0.000002					0.000006	7.173421	0.000006				-6.282502																	0.000001																																																																-32318.066296	32318.168101							-0.992694	
 1 	 14																				0.000000		0.000000																																																																																									-0.000000								-0.000041			-0.000002					0.000006	7.173705	0.000006				-6.282507																	0.000001																																																																-32320.637461	32320.738987							-0.992694	
 1 	 15																				0.000000		0.000000																																																																																									-0.000001								-0.000041			-0.000002					0.000006	7.173715	0.000006				-6.282505																	0.000001																																																																-32329.486165	32329.587679							-0.992694	
 1 	 16																				0.000000		0.000000																																																																																									-0.000001								-0.000046			-0.000002					0.000006	7.173702	0.000006				-6.320396																	0.000001																																																																-32334.806661	32334.946085							-0.992694	
 1 	 17																				0.000000		0.000000																																																																																									-0.000001								-0.000046			-0.000002					0.000005	7.174053	0.000006				-6.320597																	0.000001																																																																-32333.579552	32333.718825							-0.992694	
 1 	 18																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.173989	0.000006				-6.320597																	0.000001																																																																-32326.727187	32326.866523							-0.992694	
 1 	 19																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.173871	0.000006				-6.320596																	0.000001																																																																-32300.056438	32300.195891							-0.992694	
 1 	 20																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.173618	0.000006				-6.320596																	0.000001																																																																-32203.990812	32204.130520							-0.992694	
 1 	 21																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.173689	0.000006				-6.320596																	0.000001																																																																-32018.902094	32019.041730							-0.992694	
 1 	 22																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.173811	0.000006				-6.320596																	0.000001																																																																-31709.108210	31709.247724							-0.992694	
 1 	 23																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.174201	0.000006				-6.320590																	0.000001																																																																-31396.687935	31396.827052							-0.992694	
 1 	 24																				0.000000		0.000000																																																																																									-0.000000								-0.000046			-0.000002					0.000005	7.176722	0.000006				-6.320579																	0.000001																																																																-31835.060951	31835.197537							-0.992694	
 2 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000048			-0.000002					0.000007	7.143591	0.000007				-6.320453																	0.000001																																																																-34224.851874	34225.021464							-0.992694	
 2 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000047			-0.000002					0.000007	7.141892	0.000007				-6.320455																	0.000001																																																																-34113.855909	34114.027199							-0.992694	
 2 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000044			-0.000002					0.000006	7.149444	0.000007				-6.320397																	0.000001																																																																-33810.633200	33810.796878							-0.992694	
 2 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000053			-0.000002					0.000007	7.138167	0.000007				-6.320387																	0.000001																																																																-31788.515869	31788.690824							-0.992694	
 2 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000054			-0.000002					0.000007	7.137551	0.000007				-6.320358																	0.000001																																																																-31364.883065	31365.058607							-0.992694	
 2 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000054			-0.000002					0.000007	7.137622	0.000007				-6.320359																	0.000001																																																																-31644.880355	31645.055827							-0.992694	
