Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1									0.086325	0.000000																								0.000089	0.000082	0.126848	0.000290	0.022046	0.000083	0.014565	0.000930	0.002235	0.288814	0.302701	0.063465	0.006822	0.066910	0.024536	0.021163	0.187514	0.055573	0.008931	0.002326	0.151514	0.012291	0.011532	0.009166	0.075890	0.063786	0.000021																																																								5.159311																																												6.870240							-13.635999																																																							0.000000	
 1 	 2									0.086325	0.000000																								0.000089	0.000082	0.126624	0.000290	0.022018	0.000083	0.014547	0.000928	0.002232	0.288290	0.302167	0.063380	0.006811	0.066795	0.024502	0.021129	0.187182	0.055479	0.008919	0.002323	0.151269	0.012416	0.011638	0.009259	0.076179	0.063717	0.000021																																																								5.159311																																												6.870240							-13.634243																																																							0.000000	
 1 	 3									0.086325	0.000000																								0.000088	0.000082	0.126144	0.000289	0.021962	0.000082	0.014511	0.000925	0.002225	0.287183	0.301003	0.063207	0.006789	0.066549	0.024422	0.021060	0.186462	0.055268	0.008896	0.002316	0.150769	0.012468	0.011675	0.009298	0.076126	0.063707	0.000021																																																								5.159311																																												6.870240							-13.629405																																																							0.000000	
 1 	 4									0.086325	0.000000																								0.000088	0.000082	0.126525	0.000289	0.022006	0.000083	0.014539	0.000927	0.002230	0.288053	0.301918	0.063343	0.006807	0.066744	0.024485	0.021114	0.187028	0.055433	0.008914	0.002321	0.151161	0.012287	0.011527	0.009163	0.075843	0.063793	0.000021																																																								5.159311																																												6.870240							-13.632601																																																							0.000000	
 1 	 5									0.086325	0.000000																								0.000088	0.000082	0.126531	0.000289	0.022007	0.000083	0.014540	0.000928	0.002230	0.288069	0.301935	0.063345	0.006807	0.066747	0.024486	0.021115	0.187038	0.055436	0.008915	0.002321	0.151168	0.012284	0.011534	0.009161	0.075951	0.063781	0.000021																																																								5.159311																																												6.870240							-13.632768																																																							0.000000	
 1 	 6									0.086325	0.000000																								0.000088	0.000082	0.126580	0.000289	0.022012	0.000083	0.014543	0.000928	0.002231	0.288186	0.302059	0.063363	0.006809	0.066772	0.024494	0.021122	0.187115	0.055458	0.008917	0.002322	0.151222	0.012276	0.011531	0.009155	0.075996	0.063778	0.000021																																																								5.159311																																												6.870240							-13.633310																																																							0.000000	
 1 	 7									0.086325	0.000000																								0.000089	0.000082	0.126662	0.000290	0.022023	0.000083	0.014550	0.000928	0.002232	0.288387	0.302270	0.063395	0.006813	0.066815	0.024507	0.021135	0.187245	0.055494	0.008921	0.002323	0.151313	0.012259	0.011519	0.009141	0.076042	0.063778	0.000021																																																								5.159311																																												6.870240							-13.634194																																																							0.000000	
 1 	 8									0.086325	0.000000																								0.000089	0.000082	0.126613	0.000289	0.022017	0.000083	0.014546	0.000928	0.002231	0.288268	0.302145	0.063376	0.006811	0.066790	0.024500	0.021127	0.187168	0.055473	0.008919	0.002323	0.151260	0.012272	0.011531	0.009152	0.076028	0.063775	0.000021																																																								5.159311																																												6.870240							-13.633692																																																							0.000000	
 1 	 9									0.086325	0.000000																								0.000088	0.000081	0.125753	0.000288	0.021917	0.000082	0.014483	0.000923	0.002220	0.286263	0.300055	0.063073	0.006772	0.066343	0.024359	0.021005	0.185874	0.055098	0.008878	0.002311	0.150334	0.012271	0.011531	0.009150	0.076024	0.063776	0.000021																																																								5.159311																																												6.870240							-13.624852																																																							0.000000	
 1 	 10									0.086325	0.000000																								0.000088	0.000081	0.125892	0.000288	0.021933	0.000082	0.014493	0.000924	0.002222	0.286600	0.300410	0.063121	0.006778	0.066416	0.024382	0.021025	0.186094	0.055162	0.008885	0.002313	0.150493	0.012259	0.011521	0.009142	0.076017	0.063780	0.000021																																																								5.159311																																												6.870240							-13.626299																																																							0.000000	
 1 	 11									0.086325	0.000000																								0.000089	0.000082	0.127291	0.000291	0.022101	0.000083	0.014599	0.000933	0.002241	0.289805	0.303745	0.063627	0.006843	0.067137	0.024604	0.021229	0.188158	0.055759	0.008953	0.002332	0.152006	0.012242	0.011505	0.009129	0.075958	0.063792	0.000021																																																								5.159311																																												6.870240							-13.640432																																																							0.000000	
 1 	 12									0.086325	0.000000																								0.000089	0.000082	0.127373	0.000291	0.022112	0.000083	0.014606	0.000933	0.002242	0.290012	0.303962	0.063660	0.006848	0.067179	0.024618	0.021241	0.188292	0.055798	0.008957	0.002334	0.152110	0.012242	0.011505	0.009129	0.075952	0.063792	0.000021																																																								5.159311																																												6.870240							-13.641341																																																							0.000000	
 1 	 13									0.086325	0.000000																								0.000088	0.000082	0.126203	0.000289	0.021968	0.000083	0.014515	0.000925	0.002226	0.287321	0.301148	0.063228	0.006792	0.066579	0.024431	0.021068	0.186551	0.055292	0.008899	0.002317	0.150833	0.012240	0.011505	0.009128	0.075919	0.063791	0.000021																																																								5.159311																																												6.870240							-13.629318																																																							0.000000	
 1 	 14									0.086325	0.000000																								0.000088	0.000082	0.126127	0.000289	0.021959	0.000082	0.014510	0.000925	0.002225	0.287152	0.300971	0.063201	0.006788	0.066539	0.024419	0.021057	0.186441	0.055261	0.008895	0.002316	0.150758	0.012225	0.011499	0.009117	0.075900	0.063797	0.000021																																																								5.159311																																												6.870240							-13.628521																																																							0.000000	
