Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																									16.000370																																										-11.430250	-4.570120																																																																																																																																																										0.000000	
 1 	 2																									14.160701																																										-9.711066	-4.449635																																																																																																																																																										0.000000	
 1 	 3																									12.991827																																										-8.510735	-4.481092																																																																																																																																																										0.000000	
 1 	 4																									12.825173																																										-8.301644	-4.523529																																																																																																																																																										0.000000	
 1 	 5																									13.147174																																										-8.549455	-4.597719																																																																																																																																																										0.000000	
 1 	 6																									13.479985																																										-8.913426	-4.566559																																																																																																																																																										0.000000	
 1 	 7																									13.196733																																										-8.712080	-4.484653																																																																																																																																																										0.000000	
 1 	 8																									12.861435																																										-8.642383	-4.219052																																																																																																																																																										0.000000	
 1 	 9																									12.581660																																										-8.580431	-4.001229																																																																																																																																																										0.000000	
 1 	 10																									12.761540																																										-8.835985	-3.925555																																																																																																																																																										0.000000	
 1 	 11																									13.331352																																										-9.656857	-3.674495																																																																																																																																																										0.000000	
 1 	 12																									13.598535																																										-10.253149	-3.345386																																																																																																																																																										0.000000	
 1 	 13																									14.107899																																										-10.857183	-3.250716																																																																																																																																																										0.000000	
 1 	 14																									14.715723																																										-11.360547	-3.355176																																																																																																																																																										0.000000	
 1 	 15																									14.538825																																										-11.027552	-3.511272																																																																																																																																																										0.000000	
 1 	 16																									15.757350																																										-12.088494	-3.668856																																																																																																																																																										0.000000	
 1 	 17																									18.899962																																										-14.907339	-3.992623																																																																																																																																																										0.000000	
 1 	 18																									20.514359																																										-15.968277	-4.546083																																																																																																																																																										0.000000	
 1 	 19																									21.410042																																										-16.471641	-4.938401																																																																																																																																																										0.000000	
 1 	 20																									21.537466																																										-16.502618	-5.034848																																																																																																																																																										0.000000	
 1 	 21																									21.150121																																										-16.239319	-4.910802																																																																																																																																																										0.000000	
 1 	 22																									20.545477																																										-15.875348	-4.670129																																																																																																																																																										0.000000	
 1 	 23																									19.448659																																										-14.984779	-4.463880																																																																																																																																																										0.000000	
 1 	 24																									17.532539																																										-13.296572	-4.235967																																																																																																																																																										0.000000	
 2 	 1																									14.510591																																										-9.308371	-5.202220																																																																																																																																																										0.000000	
 2 	 2																									15.947314																																										-10.555167	-5.392147																																																																																																																																																										0.000000	
 2 	 3																									16.052538																																										-10.764258	-5.288281																																																																																																																																																										0.000000	
 2 	 4																									15.129821																																										-10.090523	-5.039298																																																																																																																																																										0.000000	
 2 	 5																									14.119107																																										-9.292883	-4.826224																																																																																																																																																										0.000000	
 2 	 6																									12.853884																																										-8.200969	-4.652915																																																																																																																																																										0.000000	
 2 	 7																									11.359589																																										-6.791548	-4.568041																																																																																																																																																										0.000000	
 2 	 8																									10.009478																																										-5.451823	-4.557655																																																																																																																																																										0.000000	
 2 	 9																									9.018816																																										-4.538023	-4.480794																																																																																																																																																										0.000000	
 2 	 10																									8.776602																																										-4.359909	-4.416693																																																																																																																																																										0.000000	
 2 	 11																									9.215152																																										-4.832293	-4.382859																																																																																																																																																										0.000000	
 2 	 12																									9.770336																																										-5.304681	-4.465655																																																																																																																																																										0.000000	
 2 	 13																									10.496073																																										-6.079088	-4.416986																																																																																																																																																										0.000000	
 2 	 14																									10.507859																																										-6.218481	-4.289378																																																																																																																																																										0.000000	
 2 	 15																									10.114000																																										-6.040368	-4.073633																																																																																																																																																										0.000000	
 2 	 16																									8.847282																																										-5.188521	-3.658762																																																																																																																																																										0.000000	
 2 	 17																									8.128144																																										-4.677412	-3.450732																																																																																																																																																										0.000000	
 2 	 18																									8.637536																																										-5.041387	-3.596149																																																																																																																																																										0.000000	
 2 	 19																									9.461361																																										-5.614449	-3.846912																																																																																																																																																										0.000000	
 2 	 20																									10.420099																																										-6.319159	-4.100939																																																																																																																																																										0.000000	
 2 	 21																									11.764994																																										-7.287168	-4.477826																																																																																																																																																										0.000000	
 2 	 22																									13.456537																																										-8.750798	-4.705739																																																																																																																																																										0.000000	
 2 	 23																									15.020896																																										-10.330589	-4.690307																																																																																																																																																										0.000000	
 2 	 24																									16.332020																																										-11.801964	-4.530056																																																																																																																																																										0.000000	
 3 	 1																									50.958887																																										-39.316654	-11.642233																																																																																																																																																										0.000000	
 3 	 2																									52.488680																																										-40.857724	-11.630956																																																																																																																																																										0.000000	
 3 	 3																									54.568190																																										-43.080273	-11.487917																																																																																																																																																										0.000000	
 3 	 4																									57.069399																																										-45.628074	-11.441326																																																																																																																																																										0.000000	
 3 	 5																									59.559839																																										-48.152641	-11.407198																																																																																																																																																										0.000000	
 3 	 6																									60.032299																																										-48.725703	-11.306596																																																																																																																																																										0.000000	
 3 	 7																									59.064374																																										-47.780926	-11.283449																																																																																																																																																										0.000000	
 3 	 8																									59.098375																																										-47.827390	-11.270985																																																																																																																																																										0.000000	
 3 	 9																									59.665883																																										-48.586310	-11.079574																																																																																																																																																										0.000000	
 3 	 10																									60.324525																																										-49.190347	-11.134178																																																																																																																																																										0.000000	
 3 	 11																									61.180231																																										-50.042195	-11.138036																																																																																																																																																										0.000000	
 3 	 12																									63.652667																																										-52.512554	-11.140113																																																																																																																																																										0.000000	
 3 	 13																									67.320772																																										-56.206477	-11.114295																																																																																																																																																										0.000000	
 3 	 14																									67.393493																																										-56.454287	-10.939206																																																																																																																																																										0.000000	
 3 	 15																									64.884753																																										-54.200762	-10.683991																																																																																																																																																										0.000000	
 3 	 16																									63.241880																																										-52.899758	-10.342122																																																																																																																																																										0.000000	
 3 	 17																									61.799180																																										-51.722659	-10.076521																																																																																																																																																										0.000000	
