Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1													0.000000																																										0.121330	0.357335	0.090478	1.017241	8.586323	0.000467																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 2													0.000000																																										0.122565	0.360596	0.091397	1.021102	8.577048	0.000469																								-0.000065	-0.000019																																																							-10.173065					-0.000027																																																																													0.000000	
 1 	 3													0.000000																																										0.123072	0.361761	0.091783	1.020396	8.575694	0.000468																								-0.000065	-0.000019																																																							-10.173064					-0.000027																																																																													0.000000	
 1 	 4													0.000000																																										0.121293	0.357181	0.090450	1.016609	8.587173	0.000467																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 5													0.000000																																										0.121263	0.357396	0.090430	1.018049	8.585568	0.000468																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 6													0.000000																																										0.121181	0.357285	0.090368	1.018649	8.585223	0.000468																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 7													0.000000																																										0.121008	0.356929	0.090237	1.019269	8.585262	0.000469																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 8													0.000000																																										0.121146	0.357282	0.090340	1.019083	8.584855	0.000469																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 9													0.000000																																										0.121127	0.357290	0.090326	1.019029	8.584933	0.000469																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 10													0.000000																																										0.121013	0.356992	0.090242	1.018942	8.585516	0.000470																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 11													0.000000																																										0.120844	0.356480	0.090118	1.018145	8.587118	0.000470																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 12													0.000000																																										0.120844	0.356475	0.090118	1.018064	8.587130	0.000470																								-0.000026	-0.000015																																																							-10.173032					-0.000027																																																																													0.000000	
 1 	 13													0.000000																																										0.120824	0.356497	0.090106	1.017626	8.587016	0.000470																								-0.000015	-0.000012																																																							-10.172484					-0.000026																																																																													0.000000	
 1 	 14													0.000000																																										0.120680	0.356298	0.090000	1.017368	8.587732	0.000469																								-0.000015	-0.000012																																																							-10.172493					-0.000026																																																																													0.000000	
 1 	 15													0.000000																																										0.120762	0.356382	0.090060	1.017539	8.587329	0.000470																								-0.000015	-0.000012																																																							-10.172488					-0.000026																																																																													0.000000	
 1 	 16													0.000000																																										0.120806	0.356404	0.090090	1.018123	8.587210	0.000470																								-0.000026	-0.000015																																																							-10.173033					-0.000027																																																																													0.000000	
 1 	 17													0.000000																																										0.120836	0.356448	0.090110	1.018550	8.586760	0.000470																								-0.000064	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 18													0.000000																																										0.120826	0.356448	0.090105	1.018457	8.586869	0.000469																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 19													0.000000																																										0.121006	0.356854	0.090236	1.019133	8.585476	0.000470																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 20													0.000000																																										0.120990	0.356832	0.090226	1.018649	8.586009	0.000469																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 21													0.000000																																										0.120984	0.356846	0.090221	1.018837	8.585817	0.000469																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 22													0.000000																																										0.120988	0.356863	0.090224	1.018811	8.585820	0.000469																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 23													0.000000																																										0.121008	0.356916	0.090239	1.018737	8.585807	0.000469																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 1 	 24													0.000000																																										0.121014	0.356732	0.090251	1.017958	8.586751	0.000468																								-0.000065	-0.000019																																																							-10.173063					-0.000027																																																																													0.000000	
 2 	 1													0.000000																																										0.143559	0.417346	0.107179	1.167936	8.336510	0.000546																								-0.000025	-0.000014																																																							-10.173008					-0.000029																																																																													0.000000	
 2 	 2													0.000000																																										0.144669	0.419975	0.108010	1.168949	8.330937	0.000546																								-0.000025	-0.000014																																																							-10.173016					-0.000029																																																																													0.000000	
 2 	 3													0.000000																																										0.144972	0.420795	0.108232	1.168115	8.330420	0.000545																								-0.000025	-0.000014																																																							-10.173011					-0.000029																																																																													0.000000	
 2 	 4													0.000000																																										0.143731	0.418484	0.107310	1.166313	8.336703	0.000545																								-0.000026	-0.000015																																																							-10.173016					-0.000029																																																																													0.000000	
 2 	 5													0.000000																																										0.143813	0.418888	0.107362	1.167491	8.334986	0.000547																								-0.000026	-0.000015																																																							-10.173017					-0.000029																																																																													0.000000	
 2 	 6													0.000000																																										0.143712	0.418742	0.107285	1.168203	8.334597	0.000548																								-0.000026	-0.000015																																																							-10.173017					-0.000029																																																																													0.000000	
 2 	 7													0.000000																																										0.143696	0.418604	0.107271	1.168503	8.334467	0.000548																								-0.000026	-0.000015																																																							-10.173018					-0.000029																																																																													0.000000	
 2 	 8													0.000000																																										0.143707	0.418234	0.107277	1.169246	8.334078	0.000548																								-0.000026	-0.000015																																																							-10.173019					-0.000029																																																																													0.000000	
 2 	 9													0.000000																																										0.143695	0.418517	0.107270	1.168581	8.334478	0.000548																								-0.000026	-0.000015																																																							-10.173018					-0.000029																																																																													0.000000	
