Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1												0.000000																						0.006234	0.007718	5.149227	0.027283	0.894922	0.007798	0.591231	0.037740	0.210284	4.313239	4.520630	1.159810	0.124673	4.807486	1.762919	1.991317	4.436721	3.992892	0.848227	0.241417	10.886268																		-0.000094			-4.279519							-0.000043					-0.000021											-0.000143																														-5.425378				-0.000126									-0.000007	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.167316	-0.000015								-22.433689																																																											-3105268.019160	3105265.307603	0.000000	
 1 	 2												0.000000																						0.006224	0.007705	5.140126	0.027240	0.893794	0.007785	0.590516	0.037678	0.209985	4.305400	4.512652	1.158257	0.124475	4.799231	1.760447	1.988106	4.428876	3.986137	0.847158	0.241081	10.868663																		-0.000094			-4.279519							-0.000043					-0.000021											-0.000143																														-5.424448				-0.000126									-0.000007	-0.000008		-0.000045		-0.000045	-0.000025			-0.000003		-11.171103	-0.000015								-22.504551																																																											-3105268.934231	3105266.372892	0.000000	
 1 	 3												0.000000																						0.006204	0.007681	5.120657	0.027152	0.891500	0.007760	0.589060	0.037552	0.209376	4.288875	4.495264	1.155104	0.124073	4.781538	1.754736	1.981573	4.411838	3.971039	0.844981	0.240380	10.832788																		-0.000094			-4.279521							-0.000043					-0.000021											-0.000144																														-5.427787				-0.000126									-0.000008	-0.000008		-0.000043		-0.000045	-0.000023			-0.000003		-11.172462	-0.000016								-22.643008																																																											-3105193.678446	3105191.422669	0.000000	
 1 	 4												0.000000																						0.006220	0.007700	5.136091	0.027221	0.893292	0.007780	0.590197	0.037650	0.209851	4.301863	4.508931	1.157580	0.124388	4.795569	1.759234	1.986678	4.425223	3.982845	0.846681	0.240927	10.860909																		-0.000094			-4.279518							-0.000043					-0.000021											-0.000144																														-5.421746				-0.000126									-0.000007	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.160627	-0.000015								-22.555376																																																											-3105248.520827	3105246.031841	0.000000	
 1 	 5												0.000000																						0.006220	0.007700	5.136355	0.027222	0.893323	0.007780	0.590217	0.037652	0.209859	4.302101	4.509182	1.157624	0.124393	4.795807	1.759313	1.986768	4.425468	3.983057	0.846711	0.240937	10.861456																		-0.000094			-4.279519							-0.000043					-0.000021											-0.000144																														-5.422349				-0.000126									-0.000007	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.160550	-0.000015								-22.542070																																																											-3105271.615927	3105269.111847	0.000000	
 1 	 6												0.000000																						0.006222	0.007703	5.138321	0.027231	0.893565	0.007783	0.590370	0.037665	0.209923	4.303858	4.511031	1.157957	0.124436	4.797591	1.759920	1.987458	4.427279	3.984656	0.846940	0.241011	10.865305																		-0.000094			-4.279519							-0.000043					-0.000021											-0.000145																														-5.422576				-0.000126									-0.000007	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.160661	-0.000015								-22.524515																																																											-3105271.581116	3105269.042739	0.000000	
 1 	 7												0.000000																						0.006226	0.007707	5.141670	0.027247	0.893978	0.007787	0.590632	0.037688	0.210033	4.306858	4.514189	1.158528	0.124508	4.800628	1.760854	1.988635	4.430372	3.987272	0.847332	0.241135	10.871835																		-0.000094			-4.279519							-0.000043					-0.000021											-0.000145																														-5.422207				-0.000126									-0.000007	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.159839	-0.000015								-22.506330																																																											-3105271.696263	3105269.109622	0.000000	
 1 	 8												0.000000																						0.006223	0.007705	5.139691	0.027237	0.893731	0.007785	0.590475	0.037674	0.209967	4.305076	4.512314	1.158187	0.124465	4.798832	1.760314	1.987934	4.428535	3.985765	0.847098	0.241061	10.868038																		-0.000094			-4.279519							-0.000043					-0.000021											-0.000145																														-5.423317				-0.000126									-0.000007	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.161204	-0.000015								-22.533164																																																											-3105215.893952	3105213.353629	0.000000	
 1 	 9												0.000000																						0.006187	0.007660	5.104770	0.027083	0.889701	0.007740	0.587918	0.037454	0.208888	4.275139	4.481115	1.152645	0.123758	4.766751	1.750225	1.976455	4.397934	3.958808	0.843275	0.239829	10.801513																		-0.000094			-4.279519							-0.000044					-0.000021											-0.000146																														-5.423118				-0.000126									-0.000007	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.160625	-0.000015								-22.698285																																																											-3105191.564074	3105189.481352	0.000000	
 1 	 10												0.000000																						0.006193	0.007668	5.110424	0.027108	0.890337	0.007747	0.588321	0.037488	0.209065	4.280173	4.486413	1.153524	0.123870	4.772011	1.751821	1.978267	4.403122	3.963383	0.843878	0.240023	10.812941																		-0.000095			-4.279519							-0.000044					-0.000021											-0.000145																														-5.423027				-0.000126									-0.000008	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.160706	-0.000015								-22.656767																																																											-3105161.047987	3105158.874807	0.000000	
 1 	 11												0.000000																						0.006253	0.007741	5.167211	0.027368	0.897142	0.007822	0.592639	0.037861	0.210855	4.328038	4.536208	1.162775	0.125064	4.823789	1.767797	1.997461	4.451970	4.006273	0.850333	0.242076	10.921667																		-0.000095			-4.279519							-0.000043					-0.000021											-0.000146																														-5.422860				-0.000126									-0.000008	-0.000008		-0.000046		-0.000045	-0.000024			-0.000003		-11.161745	-0.000015								-22.217148																																																											-3105156.200592	3105153.114102	0.000000	
