Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																											130.750043	0.000218	0.000014	0.000013	0.000003	0.000002	0.000011	21.240820	0.000010	0.000000	0.000001																																																																											-0.000158	0.000212	-22.174478	18.356736	-0.000156	0.000154	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000158	-1.398964	0.778956	-0.000154	0.000157																											-147.553438	
 1 	 2																																																																																											130.750043	0.000218	0.000014	0.000014	0.000003	0.000002	0.000011	21.240820	0.000010	0.000000	0.000001																																																																											-0.000157	0.000213	-20.401445	20.002248	-0.000153	0.000157	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000153	0.000157	-1.084707	1.020059	-0.000154	0.000157																											-151.527352	
 1 	 3																																																																																											130.750043	0.000218	0.000014	0.000014	0.000003	0.000002	0.000011	21.240820	0.000011	0.000000	0.000001																																																																											-0.000158	0.000214	-20.297165	20.122332	-0.000152	0.000155	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000152	0.000156	-1.066332	1.038133	-0.000155	0.000157																											-151.788166	
 1 	 4																																																																																											130.750043	0.000218	0.000014	0.000013	0.000003	0.000002	0.000012	21.240820	0.000011	0.000000	0.000001																																																																											-0.000157	0.000213	-20.181904	20.214095	-0.000154	0.000158	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000157	-1.048754	1.054187	-0.000155	0.000157																											-152.028822	
 1 	 5																																																																																											130.750043	0.000218	0.000014	0.000013	0.000003	0.000002	0.000012	21.240820	0.000011	0.000000	0.000001																																																																											-0.000157	0.000214	-19.624701	20.789329	-0.000152	0.000158	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000157	-0.956529	1.145933	-0.000155	0.000157																											-153.345232	
 1 	 6																																																																																											130.750043	0.000218	0.000014	0.000013	0.000003	0.000002	0.000012	21.240820	0.000011	0.000000	0.000001																																																																											-0.000156	0.000215	-17.813157	22.839395	-0.000149	0.000161	-0.000155	0.000153	-0.000155	0.000153	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000158	-0.686323	1.503065	-0.000155	0.000157																											-157.834191	
 1 	 7																																																																																											130.750043	0.000218	0.000014	0.000013	0.000003	0.000002	0.000013	21.240820	0.000012	0.000000	0.000001																																																																											-0.000156	0.000215	-16.333081	24.718765	-0.000146	0.000164	-0.000154	0.000153	-0.000155	0.000153	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000158	-0.498942	1.861443	-0.000155	0.000157																											-161.739405	
 1 	 8																																																																																											130.750044	0.000218	0.000014	0.000013	0.000003	0.000002	0.000013	21.240820	0.000012	0.000000	0.000001																																																																											-0.000155	0.000216	-15.152903	26.301734	-0.000144	0.000167	-0.000154	0.000153	-0.000155	0.000153	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000158	-0.366884	2.178273	-0.000154	0.000157																											-164.951446	
 1 	 9																																																																																											130.750044	0.000219	0.000014	0.000013	0.000003	0.000002	0.000013	21.240820	0.000012	0.000001	0.000001																																																																											-0.000154	0.000217	-13.818196	28.202966	-0.000142	0.000170	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000158	-0.219172	2.556256	-0.000154	0.000157																											-168.713089	
 1 	 10																																																																																											130.750044	0.000218	0.000014	0.000013	0.000003	0.000002	0.000014	21.240820	0.000012	0.000106	0.000001																																																																											-0.000154	0.000217	-12.853909	29.991915	-0.000140	0.000172	-0.000154	0.000153	-0.000155	0.000153	-0.000154	0.000153	-0.000154	0.000153	-0.000154	0.000157	-0.108801	2.893065	-0.000155	0.000157																											-171.913611	
 1 	 11																																																																																											130.750044	0.000218	0.000014	0.000013	0.000003	0.000002	0.000014	21.240820	0.000012	0.000426	0.000001																																																																											-0.000156	0.000214	-14.691611	26.989508	-0.000147	0.000164	-0.000156	0.000152	-0.000156	0.000151	-0.000155	0.000152	-0.000155	0.000152	-0.000156	0.000155	-0.359163	2.356834	-0.000157	0.000155																											-166.287191	
 1 	 12																																																																																											130.750044	0.000218	0.000007	0.000004	0.000001	0.000001	0.000014	21.240820	0.000013	0.000787	0.000029																																																																											-0.000172	0.000195	-18.145437	22.415766	-0.000158	0.000153	-0.000155	0.000153	-0.000153	0.000154	-0.000156	0.000151	-0.000155	0.000151	-0.000159	0.000153	-0.782014	1.475238	-0.000159	0.000153																											-156.955488	
 1 	 13																																																																																											130.750044	0.000218	0.000002	0.000002	0.000001	0.000000	0.000014	21.240818	0.000013	0.001031	0.000511																																																																											-0.000492	0.000027	-22.411908	18.152860	-0.000169	0.000143	-0.000154	0.000153	-0.000154	0.000154	-0.000156	0.000150	-0.000156	0.000150	-0.000162	0.000151	-1.502744	0.810110	-0.000161	0.000151																											-147.040450	
 1 	 14																																																																																											130.750044	0.000218	0.000002	0.000002	0.000001	0.000000	0.000014	21.240818	0.000013	0.001147	0.000383																																																																											-0.000401	0.000061	-25.181354	15.957984	-0.000175	0.000138	-0.000155	0.000153	-0.000154	0.000153	-0.000156	0.000150	-0.000156	0.000150	-0.000163	0.000151	-1.998492	0.499273	-0.000162	0.000150																											-141.269636	
 1 	 15																																																																																											130.750044	0.000218	0.000002	0.000002	0.000001	0.000000	0.000015	21.240818	0.000013	0.001026	0.000521																																																																											-0.000503	0.000023	-28.585150	13.677654	-0.000179	0.000135	-0.000154	0.000153	-0.000154	0.000153	-0.000156	0.000150	-0.000155	0.000150	-0.000163	0.000151	-2.639328	0.216803	-0.000162	0.000150																											-134.662079	
 1 	 16																																																																																											130.750044	0.000218	0.000007	0.000003	0.000001	0.000001	0.000015	21.240818	0.000014	0.000732	0.000006																																																																											-0.000166	0.000203	-31.478070	12.071617	-0.000180	0.000135	-0.000155	0.000152	-0.000154	0.000154	-0.000155	0.000151	-0.000155	0.000151	-0.000162	0.000152	-3.174110	0.020970	-0.000161	0.000151																											-129.432228	
 1 	 17																																																																																											130.750043	0.000218	0.000014	0.000013	0.000003	0.000002	0.000016	21.240818	0.000014	0.000355	0.000001																																																																											-0.000161	0.000208	-29.623751	13.018314	-0.000172	0.000140	-0.000157	0.000151	-0.000157	0.000151	-0.000155	0.000152	-0.000155	0.000152	-0.000159	0.000153	-2.830389	0.132629	-0.000159	0.000153																											-132.688286	
 1 	 18																																																																																											130.750043	0.000218	0.000014	0.000013	0.000003	0.000002	0.000017	21.240818	0.000015	0.000062	0.000001																																																																											-0.000159	0.000210	-26.350444	15.069234	-0.000163	0.000147	-0.000156	0.000152	-0.000156	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000157	0.000154	-2.195092	0.362550	-0.000157	0.000154																											-138.877472	
 1 	 19																																																																																											130.750044	0.000219	0.000014	0.000013	0.000003	0.000002	0.000018	21.240818	0.000015	0.000002	0.000001																																																																											-0.000157	0.000212	-21.330431	19.121458	-0.000156	0.000155	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000157	0.000154	-1.226512	0.867858	-0.000157	0.000155																											-149.423564	
 1 	 20																																																																																											130.750044	0.000219	0.000014	0.000013	0.000003	0.000002	0.000018	21.240818	0.000018	0.000000	0.000001																																																																											-0.000157	0.000213	-20.926822	19.476581	-0.000153	0.000154	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000158	0.000154	-1.132183	0.896790	-0.000156	0.000152																											-150.305559	
 1 	 21																																																																																											130.750044	0.000219	0.000014	0.000013	0.000003	0.000002	0.000019	21.240819	0.000017	0.000000	0.000001																																																																											-0.000157	0.000213	-20.327806	20.084319	-0.000153	0.000157	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000158	0.000154	-1.088242	1.048892	-0.000158	0.000154																											-151.708358	
 1 	 22																																																																																											130.750044	0.000219	0.000014	0.000013	0.000003	0.000002	0.000020	21.240819	0.000017	0.000000	0.000001																																																																											-0.000157	0.000213	-21.334113	19.112399	-0.000155	0.000155	-0.000155	0.000153	-0.000155	0.000152	-0.000154	0.000153	-0.000154	0.000153	-0.000159	0.000153	-1.279384	0.918661	-0.000158	0.000154																											-149.408754	
