Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1				0.000000	0.000000			0.000000														0.000000		18.244450					19.142252					-0.004631	-0.005733	-2.731539	-0.020248	-0.648790	-0.008687	-0.459459	-0.026246	-0.153070	-2.258918	-2.277439	-0.551910	-0.000024	-6.150977	-2.291217	-1.832913	-2.083533	-1.768131	-0.788751	-0.231746	-4.758129	-0.051348	-0.152959	-0.051406	-0.634608	-5.898874	-0.000250																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.390059																																																							0.000000	
 1 	 2				0.000000	0.000000			0.000000														0.000000		18.203193					19.144398					-0.004624	-0.005723	-2.726193	-0.020211	-0.647608	-0.008673	-0.458644	-0.026198	-0.152766	-2.254607	-2.273092	-0.550921	-0.000024	-6.139041	-2.286720	-1.829308	-2.079448	-1.764655	-0.787451	-0.231380	-4.748873	-0.051210	-0.152649	-0.051268	-0.631839	-5.902231	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.385654																																																							0.000000	
 1 	 3				0.000000	0.000000			0.000000														0.000000		18.189362					19.143411					-0.004604	-0.005699	-2.712823	-0.020118	-0.644662	-0.008636	-0.456613	-0.026077	-0.152009	-2.243761	-2.262157	-0.548455	-0.000024	-6.109022	-2.275484	-1.820306	-2.069242	-1.755974	-0.784209	-0.230380	-4.725647	-0.051131	-0.152415	-0.051188	-0.629937	-5.904527	-0.000248																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.375665																																																							0.000000	
 1 	 4				0.000000	0.000000			0.000000														0.000000		18.340917					19.138513					-0.004628	-0.005728	-2.729215	-0.020231	-0.648260	-0.008681	-0.459092	-0.026224	-0.152932	-2.256998	-2.275503	-0.551463	-0.000024	-6.146088	-2.289248	-1.831323	-2.081735	-1.766596	-0.788170	-0.231581	-4.754243	-0.051163	-0.152486	-0.051221	-0.632615	-5.901710	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.387911																																																							0.000000	
 1 	 5				0.000000	0.000000			0.000000														0.000000		18.616364					19.131790					-0.004626	-0.005726	-2.727918	-0.020222	-0.647968	-0.008677	-0.458891	-0.026212	-0.152857	-2.255924	-2.274421	-0.551219	-0.000024	-6.143282	-2.288153	-1.830442	-2.080738	-1.765746	-0.787850	-0.231490	-4.752039	-0.051110	-0.152404	-0.051168	-0.632381	-5.902133	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.386901																																																							0.000000	
 1 	 6				0.000000	0.000000			0.000000														0.000000		19.277436					19.131562					-0.004623	-0.005723	-2.726174	-0.020210	-0.647578	-0.008672	-0.458622	-0.026196	-0.152756	-2.254475	-2.272960	-0.550892	-0.000024	-6.139458	-2.286684	-1.829260	-2.079399	-1.764606	-0.787422	-0.231369	-4.749052	-0.051083	-0.152369	-0.051140	-0.631901	-5.902702	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.385539																																																							0.000000	
 1 	 7				0.000000	0.000000			0.000000														0.000000		20.310067					19.131856					-0.004622	-0.005721	-2.725016	-0.020202	-0.647318	-0.008669	-0.458442	-0.026185	-0.152689	-2.253505	-2.271982	-0.550673	-0.000024	-6.136950	-2.285707	-1.828474	-2.078509	-1.763848	-0.787136	-0.231289	-4.747083	-0.051005	-0.152145	-0.051063	-0.631202	-5.903781	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.384523																																																							0.000000	
 1 	 8				0.000000	0.000000			0.000000														0.000000		20.034656					19.133032					-0.004618	-0.005716	-2.722343	-0.020183	-0.646726	-0.008661	-0.458033	-0.026161	-0.152537	-2.251345	-2.269805	-0.550177	-0.000024	-6.131016	-2.283458	-1.826670	-2.076465	-1.762107	-0.786484	-0.231105	-4.742471	-0.051148	-0.152547	-0.051207	-0.632671	-5.901622	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.382966																																																							0.000000	
 1 	 9				0.000000	0.000000			0.000000														0.000000		19.896956					19.132896					-0.004588	-0.005680	-2.702153	-0.020043	-0.642281	-0.008606	-0.454970	-0.025979	-0.151395	-2.234986	-2.253312	-0.546455	-0.000024	-6.085599	-2.266495	-1.813084	-2.061054	-1.749007	-0.781594	-0.229432	-4.707360	-0.051046	-0.152273	-0.051105	-0.631635	-5.903137	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.368220																																																							0.000000	
 1 	 10				0.000000	0.000000			0.000000														0.000000		20.103518					19.131639					-0.004590	-0.005682	-2.703696	-0.020054	-0.642615	-0.008610	-0.455199	-0.025992	-0.151481	-2.236179	-2.254515	-0.546732	-0.000024	-6.089188	-2.267787	-1.814115	-2.062222	-1.750000	-0.781961	-0.229564	-4.710099	-0.051108	-0.152445	-0.051167	-0.632231	-5.902244	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.369458																																																							0.000000	
 1 	 11				0.000000	0.000000			0.000000														0.000000		20.378918					19.131566					-0.004634	-0.005736	-2.733863	-0.020262	-0.649240	-0.008693	-0.459766	-0.026264	-0.153182	-2.260556	-2.279093	-0.552275	-0.000024	-6.157316	-2.293122	-1.834396	-2.085222	-1.769555	-0.789255	-0.231882	-4.762686	-0.051129	-0.152475	-0.051187	-0.632320	-5.902084	-0.000249																																																																																									0.000008										-6.270000			-0.000001	-0.000002				14.391119																																																							0.000000	
