Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																													-19.139786	0.000000																																8.362695									0.000003	0.000011	0.000002	0.000000	3.029297	0.000001		2.487840			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036579	0.000000	0.431680	0.000000	3.390740	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000025	0.000000		0.522919	0.000002	0.000000				0.877976																																																																0.000000	
 1 	 2																													-19.140990	0.000000																																8.362695									0.000003	0.000011	0.000002	0.000000	3.027903	0.000001		2.488845			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036576	0.000000	0.431680	0.000000	3.390739	0.000001						0.000001		0.000001	0.000001		0.000015		0.000004	0.000003		-0.000025	0.000000		0.522937	0.000002	0.000000				0.879555																																																																0.000000	
 1 	 3																													-19.141355	0.000000																																8.362695									0.000003	0.000011	0.000002	0.000000	3.031979	0.000001		2.485906			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036597	0.000000	0.431679	0.000000	3.390743	0.000001						0.000001		0.000001	0.000001		0.000014		0.000004	0.000003		-0.000025	0.000000		0.522965	0.000002	0.000000				0.878734																																																																0.000000	
 1 	 4																													-19.135177	0.000000																																8.362695									0.000003	0.000011	0.000002	0.000000	3.010744	0.000001		2.501222			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036566	0.000000	0.431679	0.000000	3.390745	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000025	0.000000		0.523079	0.000002	0.000000				0.878389																																																																0.000000	
 1 	 5																													-19.130007	0.000000																																8.362695									0.000003	0.000011	0.000002	0.000000	3.010377	0.000001		2.501487			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036565	0.000000	0.431678	0.000000	3.390747	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000025	0.000000		0.523231	0.000002	0.000000				0.873168																																																																0.000000	
 1 	 6																													-19.129579	0.000000																																8.362695									0.000003	0.000011	0.000002	0.000000	3.010726	0.000001		2.501236			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036564	0.000000	0.431678	0.000000	3.390747	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000025	0.000000		0.523254	0.000002	0.000000				0.872621																																																																0.000000	
 1 	 7																													-19.128874	0.000000																																8.362695									0.000003	0.000011	0.000002	0.000000	3.010933	0.000001		2.501087			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036562	0.000000	0.431678	0.000000	3.390746	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000025	0.000000		0.523234	0.000002	0.000000				0.871881																																																																0.000000	
 1 	 8																													-19.129315	0.000000																																8.362695									0.000002	0.000011	0.000002	0.000000	3.010622	0.000001		2.501310			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036566	0.000000	0.431678	0.000000	3.390747	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000024	0.000000		0.523270	0.000002	0.000000				0.872367																																																																0.000000	
 1 	 9																													-19.129308	0.000000																																8.362695									0.000002	0.000011	0.000002	0.000000	3.010747	0.000001		2.501220			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036565	0.000000	0.431678	0.000000	3.390747	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000025	0.000000		0.523315	0.000002	0.000000				0.872282																																																																0.000000	
 1 	 10																													-19.128709	0.000000																																8.362695									0.000002	0.000011	0.000002	0.000000	3.010206	0.000001		2.501611			0.000007	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036565	0.000000	0.431678	0.000000	3.390747	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000024	0.000000		0.523249	0.000002	0.000000				0.871899																																																																0.000000	
 1 	 11																													-19.127357	0.000000																																8.362693									0.000003	0.000011	0.000002	0.000000	3.007464	0.000001		2.503589			0.000008	0.000007	0.000002	0.000009	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036565	0.000000	0.431678	0.000000	3.390747	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-0.000024	0.000000		0.523258	0.000002	0.000000				0.871304																																																																0.000000	
 1 	 12																													-11.969357	0.000000																																4.236955									0.000001	0.000009	0.000002	0.000000	3.005103	0.000001		2.505294			0.000006	0.000007	0.000002	0.000005	0.000002	0.000001	0.000009	0.000001																																							0.000000	0.036565	0.000000	0.431659	0.000000	3.390805	0.000001						0.000001		0.000001	0.000001		0.000016		0.000004	0.000003		-3.044409	0.000000		0.523193	0.000002	0.000000				0.884117																																																																0.000000	
 1 	 13																													-8.001902	0.000000																																0.000000									0.000000	0.000005	0.000001	0.000000	3.145113	0.000001		2.604485			0.000001	0.000005	0.000001	0.000003	0.000001	0.000001	0.000009	0.000001																																							0.000000	0.036566	0.000000	0.426181	0.000000	3.407912	0.000001						0.000001		0.000001	0.000001		0.000015		0.000004	0.000003		-3.044428	0.000000		0.523155	0.000002	0.000000				0.902859																																																																0.000000	
