Name	GWP_constr	GWP_op
NUCLEAR	707.879968	0.000000
CCGT	185.787243	0.000000
CCGT_AMMONIA	0.000212	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	10533.562630	0.000000
WIND_ONSHORE	1557.124968	0.000000
WIND_OFFSHORE	0.000591	0.000000
HYDRO_RIVER	0.001236	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.000518	0.000000
IND_COGEN_WOOD	0.000207	0.000000
IND_COGEN_WASTE	0.000240	0.000000
IND_BOILER_GAS	0.000130	0.000000
IND_BOILER_WOOD	15.377401	0.000000
IND_BOILER_OIL	0.000137	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	17.075296	0.000000
IND_DIRECT_ELEC	1.872862	0.000000
DHN_HP_ELEC	129.918590	0.000000
DHN_COGEN_GAS	0.000613	0.000000
DHN_COGEN_WOOD	0.000152	0.000000
DHN_COGEN_WASTE	0.000215	0.000000
DHN_COGEN_WET_BIOMASS	0.000355	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000192	0.000000
DHN_BOILER_GAS	0.000029	0.000000
DHN_BOILER_WOOD	0.000089	0.000000
DHN_BOILER_OIL	0.000028	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000322	0.000000
DEC_HP_ELEC	1292.291021	0.000000
DEC_THHP_GAS	0.006800	0.000000
DEC_COGEN_GAS	0.001237	0.000000
DEC_COGEN_OIL	0.001228	0.000000
DEC_ADVCOGEN_GAS	0.000548	0.000000
DEC_ADVCOGEN_H2	0.000502	0.000000
DEC_BOILER_GAS	0.000157	0.000000
DEC_BOILER_WOOD	27.152919	0.000000
DEC_BOILER_OIL	0.000136	0.000000
DEC_SOLAR	0.234321	0.000000
DEC_DIRECT_ELEC	0.000097	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
PLANE	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
CO2_TO_METHANOL	0.000000	0.000000
E_WOOD_TO_METHANOL	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.916299	0.000000
BATT_LI	0.000759	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
JETFUEL_STORAGE	0.000000	0.000000
WOOD_STORAGE	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
ALKALINE_ELECTROLYSIS	0.000000	0.000000
HT_ELECTROLYSIS	0.000000	0.000000
SMR	0.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
WOOD_TO_METHANE	0.000000	0.000000
CO2_TO_METHANE	0.000000	0.000000
E_WOOD_TO_METHANE	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
WOOD_TO_METHANOL	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
E_WOOD_TO_FT	0.000000	0.000000
WOOD_TO_FT	0.000000	0.000000
CO2_TO_FT	0.000000	0.000000
REFINERY_JETFUEL	0.000000	0.000000
REFINERY_GASOLINE	0.000000	0.000000
REFINERY_DIESEL	0.000000	0.000000
CEMENT_PROCESS	0.000000	0.000000
NATURAL_CO2_SEQUESTRATION	0.000000	0.000000
AGRICULTURE_EMISSIONS	0.000000	0.000000
BIOMASS_SEQUESTRATION	0.000000	0.000000
DAC_HT	0.000000	0.000000
DAC_LT	0.000000	0.000000
WOOD_GROWTH	0.000000	0.000000
WET_BIOMASS_GROWTH	0.000000	0.000000
SEQUESTRATION	0.000000	0.000000
GHG_EMISSIONS	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	0.000000	19847.099939
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	0.000000	5087.405401
WASTE	0.000000	12758.500115
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATMOSPHERE	0.000000	0.000000
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	0.000000	1.263378
APPLES	0.000000	1.168715
CEREALSTRAW	0.000000	1305.624617
CHERRIES	0.000000	4.133050
MAIZESTRAW	0.000000	307.246065
OLIVES	0.000000	1.771310
OSR	0.000000	217.604126
RICESTRAW	0.000000	12.419405
VINEYARDS	0.000000	31.293025
MISCANTHUS	0.000000	2925.779674
SWITCHGRASS	0.000000	2949.959701
WILLOW	0.000000	580.640029
POPLAR	0.000000	0.013842
CP_RES	0.000000	1681.838215
FUELWOOD_RES	0.000000	617.798973
LANDSCAPECARE	0.000000	376.557829
MSW	0.000000	1704.633965
FUELWOODRW	0.000000	475.140765
OTHERSECRESID	0.000000	159.681183
SAWDUST	0.000000	42.822580
CP_RW	0.000000	1294.362285
GRASS_FOR_BIOGAS	0.000000	87.134829
MAIZE_SILAGE	0.000000	80.225331
SUGARBEETTOPS	0.000000	87.233151
MANURE_LIQ	0.000000	789.556531
MANURE_SOL	0.000000	872.472882
SLUDGE	0.000000	0.189633
