Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																											131.575458	0.000326	0.000021	0.000020	0.000004	0.000004	0.000015	20.413864	0.000014	0.000000	0.000001																																																																											-0.000252	0.000340	-22.049991	18.208150	-0.000251	0.000249	-0.000250	0.000247	-0.000250	0.000246	-0.000249	0.000248	-0.000248	0.000247	-0.000247	0.000254	-1.338961	0.744425	-0.000248	0.000254																											-147.553438	
 1 	 2																																																																																											131.575458	0.000326	0.000021	0.000020	0.000004	0.000003	0.000015	20.413865	0.000014	0.000000	0.000001																																																																											-0.000251	0.000341	-20.260174	19.858458	-0.000247	0.000253	-0.000249	0.000247	-0.000250	0.000246	-0.000249	0.000248	-0.000248	0.000247	-0.000246	0.000253	-1.036824	0.976062	-0.000248	0.000254																											-151.527352	
 1 	 3																																																																																											131.575458	0.000326	0.000021	0.000020	0.000004	0.000003	0.000015	20.413865	0.000015	0.000000	0.000001																																																																											-0.000252	0.000342	-20.157843	19.981908	-0.000245	0.000252	-0.000249	0.000246	-0.000250	0.000246	-0.000249	0.000247	-0.000248	0.000247	-0.000245	0.000252	-1.018408	0.992679	-0.000248	0.000253																											-151.788166	
 1 	 4																																																																																											131.575458	0.000327	0.000021	0.000020	0.000004	0.000003	0.000016	20.413865	0.000015	0.000000	0.000001																																																																											-0.000251	0.000341	-20.035975	20.068370	-0.000247	0.000254	-0.000249	0.000247	-0.000250	0.000247	-0.000249	0.000248	-0.000249	0.000248	-0.000247	0.000253	-1.001362	1.007958	-0.000248	0.000253																											-152.028822	
 1 	 5																																																																																											131.575458	0.000327	0.000021	0.000020	0.000004	0.000003	0.000017	20.413865	0.000015	0.000000	0.000001																																																																											-0.000251	0.000342	-19.475838	20.647819	-0.000244	0.000254	-0.000249	0.000247	-0.000250	0.000247	-0.000249	0.000248	-0.000249	0.000248	-0.000247	0.000253	-0.913402	1.096818	-0.000248	0.000253																											-153.345232	
 1 	 6																																																																																											131.575458	0.000327	0.000021	0.000020	0.000004	0.000003	0.000017	20.413865	0.000016	0.000000	0.000001																																																																											-0.000250	0.000343	-17.658937	22.716907	-0.000240	0.000259	-0.000249	0.000247	-0.000250	0.000247	-0.000249	0.000248	-0.000249	0.000247	-0.000248	0.000254	-0.654544	1.440915	-0.000248	0.000253																											-157.834191	
 1 	 7																																																																																											131.575458	0.000327	0.000021	0.000020	0.000004	0.000003	0.000017	20.413865	0.000016	0.000000	0.000002																																																																											-0.000249	0.000345	-16.178563	24.617186	-0.000236	0.000264	-0.000249	0.000247	-0.000249	0.000247	-0.000248	0.000248	-0.000249	0.000248	-0.000247	0.000254	-0.479369	1.790286	-0.000248	0.000253																											-161.739405	
 1 	 8																																																																																											131.575458	0.000327	0.000021	0.000020	0.000004	0.000003	0.000018	20.413865	0.000016	0.000000	0.000002																																																																											-0.000248	0.000345	-15.008351	26.227563	-0.000233	0.000268	-0.000248	0.000248	-0.000249	0.000247	-0.000248	0.000248	-0.000249	0.000247	-0.000248	0.000254	-0.356730	2.099088	-0.000248	0.000253																											-164.951446	
 1 	 9																																																																																											131.575459	0.000327	0.000021	0.000020	0.000004	0.000003	0.000018	20.413864	0.000017	0.000010	0.000002																																																																											-0.000247	0.000347	-13.669562	28.145142	-0.000230	0.000273	-0.000248	0.000248	-0.000249	0.000247	-0.000248	0.000248	-0.000248	0.000247	-0.000248	0.000254	-0.214666	2.462286	-0.000248	0.000253																											-168.713089	
 1 	 10																																																																																											131.575458	0.000327	0.000021	0.000020	0.000004	0.000003	0.000019	20.413865	0.000017	0.000771	0.000002																																																																											-0.000246	0.000347	-12.728031	29.974228	-0.000227	0.000275	-0.000248	0.000247	-0.000249	0.000247	-0.000249	0.000248	-0.000249	0.000247	-0.000248	0.000253	-0.104983	2.781738	-0.000249	0.000253																											-171.913611	
 1 	 11																																																																																											131.575458	0.000327	0.000020	0.000020	0.000004	0.000003	0.000019	20.413865	0.000017	0.003037	0.000002																																																																											-0.000250	0.000343	-14.547001	26.922532	-0.000238	0.000264	-0.000251	0.000245	-0.000251	0.000245	-0.000251	0.000247	-0.000250	0.000246	-0.000250	0.000250	-0.330467	2.249256	-0.000251	0.000250																											-166.287191	
 1 	 12																																																																																											131.575459	0.000326	0.000010	0.000005	0.000002	0.000001	0.000019	20.413865	0.000018	0.005587	0.000082																																																																											-0.000293	0.000295	-17.992252	22.289537	-0.000255	0.000248	-0.000249	0.000248	-0.000247	0.000250	-0.000251	0.000245	-0.000250	0.000245	-0.000254	0.000247	-0.731687	1.394544	-0.000254	0.000247																											-156.955488	
 1 	 13																																																																																											131.575459	0.000326	0.000003	0.000002	0.000001	0.000001	0.000020	20.413861	0.000018	0.007305	0.000710																																																																											-0.000705	0.000072	-22.283922	17.997984	-0.000270	0.000233	-0.000247	0.000248	-0.000247	0.000248	-0.000251	0.000244	-0.000251	0.000244	-0.000258	0.000246	-1.450120	0.779511	-0.000257	0.000244																											-147.040450	
 1 	 14																																																																																											131.575459	0.000326	0.000003	0.000002	0.000001	0.000001	0.000020	20.413861	0.000019	0.008123	0.000757																																																																											-0.000744	0.000058	-25.086228	15.804628	-0.000279	0.000226	-0.000248	0.000247	-0.000249	0.000247	-0.000252	0.000243	-0.000251	0.000243	-0.000260	0.000244	-1.947680	0.501136	-0.000259	0.000243																											-141.269636	
