Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1												0.000000																						0.001234	0.001907	0.000176	0.026952	0.000164	0.007701	0.177012	0.000355	0.050034	0.000006	0.000006	0.000006	0.000006	4.731116	0.438532	0.490663	0.000019	3.425594	0.203923	0.053880	9.091005																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.524385																																																											-4162321.041003	4162321.865119	0.000000	
 1 	 2												0.000000																						0.001233	0.001906	0.000176	0.026931	0.000163	0.007697	0.176819	0.000354	0.049982	0.000006	0.000006	0.000006	0.000006	4.728536	0.437992	0.490085	0.000019	3.423720	0.203697	0.053824	9.084941																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.546503																																																											-4162314.042981	4162314.901402	0.000000	
 1 	 3												0.000000																						0.001232	0.001904	0.000176	0.026872	0.000163	0.007685	0.176311	0.000354	0.049844	0.000006	0.000006	0.000006	0.000006	4.721240	0.436677	0.488610	0.000019	3.418913	0.203103	0.053674	9.068168																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.599019																																																											-4162304.278288	4162305.222357	0.000000	
 1 	 4												0.000000																						0.001233	0.001907	0.000176	0.026946	0.000163	0.007700	0.176962	0.000354	0.050021	0.000006	0.000006	0.000006	0.000006	4.730611	0.438391	0.490502	0.000019	3.425185	0.203864	0.053866	9.090180																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.530414																																																											-4162327.542152	4162328.374481	0.000000	
 1 	 5												0.000000																						0.001233	0.001906	0.000176	0.026942	0.000163	0.007699	0.176918	0.000354	0.050009	0.000006	0.000006	0.000006	0.000006	4.730072	0.438268	0.490374	0.000019	3.424780	0.203813	0.053853	9.089035																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.531614																																																											-4162315.788496	4162316.624490	0.000000	
 1 	 6												0.000000																						0.001233	0.001906	0.000176	0.026936	0.000163	0.007698	0.176864	0.000354	0.049995	0.000006	0.000006	0.000006	0.000006	4.729410	0.438120	0.490219	0.000019	3.424284	0.203750	0.053837	9.087599																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.533413																																																											-4162315.597492	4162316.438335	0.000000	
 1 	 7												0.000000																						0.001233	0.001906	0.000176	0.026934	0.000163	0.007697	0.176847	0.000354	0.049990	0.000006	0.000006	0.000006	0.000006	4.729237	0.438072	0.490169	0.000019	3.424148	0.203730	0.053832	9.087333																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.533840																																																											-4162313.685754	4162314.527750	0.000000	
 1 	 8												0.000000																						0.001233	0.001906	0.000176	0.026925	0.000163	0.007695	0.176769	0.000354	0.049969	0.000006	0.000006	0.000006	0.000006	4.728237	0.437855	0.489942	0.000019	3.423432	0.203639	0.053810	9.085041																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.539960																																																											-4162325.441462	4162326.294251	0.000000	
 1 	 9												0.000000																						0.001231	0.001902	0.000175	0.026833	0.000162	0.007677	0.175987	0.000353	0.049751	0.000006	0.000006	0.000006	0.000006	4.716453	0.435860	0.487689	0.000019	3.415848	0.202726	0.053574	9.059150																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000002																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.600519																																																											-4162280.681521	4162281.646645	0.000000	
 1 	 10												0.000000																						0.001231	0.001902	0.000175	0.026842	0.000162	0.007679	0.176062	0.000353	0.049773	0.000006	0.000006	0.000006	0.000006	4.717706	0.436049	0.487901	0.000019	3.416707	0.202813	0.053597	9.061967																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000002																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.585001																																																											-4162311.380995	4162312.325053	0.000000	
 1 	 11												0.000000																						0.001234	0.001908	0.000176	0.026979	0.000164	0.007707	0.177262	0.000355	0.050101	0.000006	0.000006	0.000006	0.000006	4.735176	0.439245	0.491468	0.000019	3.428393	0.204214	0.053952	9.102177																		-0.000001			-0.000001							-0.000001					-0.000001											-0.000003																														-0.000001				-0.000001									-0.000001	-0.000001		-0.000001		-0.000003	-0.000001			-0.000001		-0.000001	-0.000001								-19.434840																																																											-4162287.429340	4162288.143645	0.000000	
