Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1								0.000000	3.116438																																																																																																											-10.389269																																							0.000018	0.000001	0.000001																																																													-1757143.169736	1757150.442548			0.000000	
 1 	 2								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1757088.444073	1757095.716885			0.000000	
 1 	 3								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1757509.741038	1757517.013850			0.000000	
 1 	 4								0.000000	3.116438																																																																																																											-10.389269																																							0.000018	0.000001	0.000001																																																													-1960782.898966	1960790.171778			0.000000	
 1 	 5								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960785.871579	1960793.144391			0.000000	
 1 	 6								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960782.140094	1960789.412906			0.000000	
 1 	 7								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960774.107012	1960781.379825			0.000000	
 1 	 8								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960777.660765	1960784.933577			0.000000	
 1 	 9								0.000000	3.116438																																																																																																											-10.389269																																							0.000012	0.000001	0.000001																																																													-1960780.125512	1960787.398328			0.000000	
 1 	 10								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960780.576566	1960787.849379			0.000000	
 1 	 11								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960781.824798	1960789.097611			0.000000	
 1 	 12								0.000000	3.116438																																																																																																											-10.389269																																							0.000186	0.000001	0.000001																																																													-1960781.371525	1960788.644168			0.000000	
 1 	 13								0.000000	3.116438																																																																																																											-10.389269																																							8.385950	0.000001	0.000001																																																													-1960784.810898	1960783.697776			0.000000	
 1 	 14								0.000000	3.116438																																																																																																											-10.389269																																							6.772583	0.000001	0.000001																																																													-1960783.923062	1960784.423308			0.000000	
 1 	 15								0.000000	3.116438																																																																																																											-10.389269																																							8.385957	0.000001	0.000001																																																													-1960785.446851	1960784.333721			0.000000	
 1 	 16								0.000000	3.116438																																																																																																											-10.389269																																							0.000186	0.000001	0.000001																																																													-1960779.013010	1960786.285651			0.000000	
 1 	 17								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960779.615225	1960786.888036			0.000000	
 1 	 18								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960778.861937	1960786.134749			0.000000	
 1 	 19								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960779.223689	1960786.496501			0.000000	
 1 	 20								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960780.554176	1960787.826988			0.000000	
 1 	 21								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960781.061817	1960788.334628			0.000000	
 1 	 22								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960781.328435	1960788.601247			0.000000	
 1 	 23								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960765.158661	1960772.431473			0.000000	
 1 	 24								0.000000	3.116438																																																																																																											-10.389269																																							0.000017	0.000001	0.000001																																																													-1960765.017419	1960772.290232			0.000000	
 2 	 1								0.000000	3.116438																																																																																																											-10.389269																																							0.000088	0.000001	0.000002																																																													-1757195.132054	1757202.404794			0.000000	
 2 	 2								0.000000	3.116438																																																																																																											-10.389269																																							0.000088	0.000001	0.000002																																																													-1757086.023856	1757093.296597			0.000000	
 2 	 3								0.000000	3.116438																																																																																																											-10.389269																																							0.000087	0.000001	0.000002																																																													-1757444.337306	1757451.610048			0.000000	
 2 	 4								0.000000	3.116438																																																																																																											-10.389269																																							0.000087	0.000001	0.000002																																																													-1960772.307789	1960779.580531			0.000000	
 2 	 5								0.000000	3.116438																																																																																																											-10.389269																																							0.000084	0.000001	0.000002																																																													-1960782.728539	1960790.001284			0.000000	
 2 	 6								0.000000	3.116438																																																																																																											-10.389269																																							0.000085	0.000001	0.000002																																																													-1960781.737214	1960789.009958			0.000000	
 2 	 7								0.000000	3.116438																																																																																																											-10.389269																																							0.000091	0.000001	0.000002																																																													-1960763.312152	1960770.584890			0.000000	
 2 	 8								0.000000	3.116438																																																																																																											-10.389269																																							0.000089	0.000001	0.000002																																																													-1960774.813482	1960782.086223			0.000000	
 2 	 9								0.000000	3.116438																																																																																																											-10.389269																																							0.000089	0.000001	0.000002																																																													-1960778.083633	1960785.356373			0.000000	
 2 	 10								0.000000	3.116438																																																																																																											-10.389269																																							0.000099	0.000001	0.000002																																																													-1960780.453436	1960787.726166			0.000000	
 2 	 11								0.000000	3.116438																																																																																																											-10.389269																																							8.385927	0.000001	0.000002																																																													-1960785.985881	1960784.872783			0.000000	
 2 	 12								0.000000	3.116438																																																																																																											-10.389269																																							8.385937	0.000001	0.000002																																																													-1960785.060511	1960783.947402			0.000000	
 2 	 13								0.000000	3.116438																																																																																																											-10.389269																																							8.386080	0.000001	0.000002																																																													-1960784.444432	1960783.331181			0.000000	
 2 	 14								0.000000	3.116438																																																																																																											-10.389269																																							8.386083	0.000001	0.000002																																																													-1960784.891768	1960783.778514			0.000000	
 2 	 15								0.000000	3.116438																																																																																																											-10.389269																																							8.386047	0.000001	0.000002																																																													-1960784.396544	1960783.283326			0.000000	
