Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1												0.000000																						0.001233	0.001906	3.072114	0.026959	0.265582	0.000119	0.176995	0.013984	0.050056	0.000006	0.000006	0.000005	0.000005	4.726503	0.438743	0.490926	0.000175	3.423445	0.203951	0.053905	6.442538																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000006																														-0.140109				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.785579																																																											-3935800.185189	3935800.721798	0.000000	
 1 	 2												0.000000																						0.001233	0.001905	3.069150	0.026942	0.265333	0.000119	0.176829	0.013976	0.050021	0.000006	0.000006	0.000005	0.000005	4.723572	0.438344	0.490477	0.000175	3.421024	0.203751	0.053866	6.440608																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000006																														-0.140093				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.813714																																																											-3935784.939301	3935785.515839	0.000000	
 1 	 3												0.000000																						0.001231	0.001903	3.061453	0.026897	0.264675	0.000119	0.176478	0.013954	0.049930	0.000006	0.000006	0.000005	0.000005	4.715718	0.437291	0.489291	0.000174	3.414355	0.203231	0.053767	6.435266																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000006																														-0.140247				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.886512																																																											-3935767.350343	3935768.031423	0.000000	
 1 	 4												0.000000																						0.001233	0.001906	3.071429	0.026954	0.265517	0.000119	0.176950	0.013982	0.050046	0.000006	0.000006	0.000005	0.000005	4.725964	0.438641	0.490811	0.000175	3.422930	0.203899	0.053894	6.442491																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000007																														-0.140070				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.792968																																																											-3935813.966072	3935814.512224	0.000000	
 1 	 5												0.000000																						0.001233	0.001906	3.070779	0.026950	0.265461	0.000119	0.176910	0.013980	0.050038	0.000006	0.000006	0.000005	0.000005	4.725363	0.438550	0.490709	0.000175	3.422412	0.203854	0.053886	6.442191																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000007																														-0.140068				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.794388																																																											-3935788.607646	3935789.157643	0.000000	
 1 	 6												0.000000																						0.001233	0.001906	3.069989	0.026945	0.265392	0.000119	0.176863	0.013978	0.050029	0.000006	0.000006	0.000005	0.000005	4.724620	0.438441	0.490586	0.000175	3.421779	0.203798	0.053875	6.441794																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000007																														-0.140068				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.796571																																																											-3935788.138970	3935788.694143	0.000000	
 1 	 7												0.000000																						0.001233	0.001906	3.069752	0.026944	0.265370	0.000119	0.176850	0.013977	0.050026	0.000006	0.000006	0.000005	0.000005	4.724436	0.438405	0.490546	0.000175	3.421602	0.203780	0.053871	6.441786																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000006																														-0.140060				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.797003																																																											-3935784.251657	3935784.807998	0.000000	
 1 	 8												0.000000																						0.001232	0.001905	3.068579	0.026937	0.265269	0.000119	0.176792	0.013974	0.050012	0.000006	0.000006	0.000005	0.000005	4.723310	0.438244	0.490365	0.000175	3.420654	0.203699	0.053856	6.441126																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000006																														-0.140074				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.804697																																																											-3935808.717702	3935809.286280	0.000000	
 1 	 9												0.000000																						0.001230	0.001901	3.056898	0.026870	0.264257	0.000119	0.176261	0.013941	0.049873	0.000006	0.000006	0.000005	0.000005	4.711236	0.436638	0.488543	0.000174	3.409637	0.202969	0.053707	6.432846																		-0.000004			-0.000002							-0.000001					-0.000001											-0.000004																														-0.140440				-0.000002									-0.000001	-0.000001		-0.000050		-0.000004	-0.000001			-0.000001		-0.000003	-0.000001								-19.887602																																																											-3935717.339764	3935718.040761	0.000000	
 1 	 10												0.000000																						0.001230	0.001901	3.057994	0.026876	0.264354	0.000119	0.176311	0.013944	0.049886	0.000006	0.000006	0.000005	0.000005	4.712451	0.436789	0.488716	0.000174	3.410830	0.203027	0.053720	6.433844																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000004																														-0.140074				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.867010																																																											-3935781.977136	3935782.652108	0.000000	
 1 	 11												0.000000																						0.001234	0.001908	3.076327	0.026983	0.265906	0.000119	0.177217	0.013995	0.050102	0.000006	0.000006	0.000005	0.000005	4.731267	0.439277	0.491515	0.000175	3.427079	0.204211	0.053955	6.447043																		-0.000003			-0.000002							-0.000001					-0.000001											-0.000005																														-0.140072				-0.000002									-0.000001	-0.000001		-0.000050		-0.000003	-0.000001			-0.000001		-0.000003	-0.000001								-19.670743																																																											-3935731.275396	3935731.677953	0.000000	
