Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1				0.000000	0.000000			0.000000														0.000000		4.011365					4.307804					-0.000469	-0.000724	-1.167262	-0.010251	-0.100993	-0.000043	-0.067341	-0.005316	-0.019038	-0.000003	-0.000003	-0.000003	-0.000003	-1.792410	-0.166890	-0.186674	-0.000187	-1.299279	-0.077580	-0.020502	-2.443429	-0.033942	-0.098679	-0.021887	-0.147391	-0.637155	-0.000093																																																																																									0.408646										-6.270000			-0.000000	-0.000001				12.355958																																																							0.000000	
 1 	 2				0.000000	0.000000			0.000000														0.000000		3.995519					4.307795					-0.000468	-0.000724	-1.166403	-0.010246	-0.100923	-0.000043	-0.067301	-0.005314	-0.019028	-0.000003	-0.000003	-0.000003	-0.000003	-1.790689	-0.166774	-0.186541	-0.000187	-1.298219	-0.077530	-0.020491	-2.442084	-0.033621	-0.097616	-0.021700	-0.145625	-0.640492	-0.000092																																																																																									0.408646										-6.270000			-0.000000	-0.000001				12.355226																																																							0.000000	
 1 	 3				0.000000	0.000000			0.000000														0.000000		3.990206					4.307866					-0.000468	-0.000723	-1.164122	-0.010231	-0.100740	-0.000043	-0.067195	-0.005307	-0.019003	-0.000003	-0.000003	-0.000003	-0.000003	-1.786827	-0.166469	-0.186194	-0.000187	-1.295407	-0.077403	-0.020463	-2.438465	-0.033495	-0.097041	-0.021621	-0.144699	-0.642199	-0.000092																																																																																									0.408646										-6.270000			-0.000000	-0.000001				12.354404																																																							0.000000	
 1 	 4				0.000000	0.000000			0.000000														0.000000		4.048417					4.307785					-0.000469	-0.000724	-1.167063	-0.010250	-0.100975	-0.000043	-0.067331	-0.005316	-0.019035	-0.000003	-0.000003	-0.000003	-0.000003	-1.792021	-0.166860	-0.186639	-0.000187	-1.299033	-0.077567	-0.020499	-2.443212	-0.033858	-0.098431	-0.021826	-0.147050	-0.637889	-0.000093																																																																																									0.408645										-6.270000			-0.000000	-0.000001				12.355797																																																							0.000000	
 1 	 5				0.000000	0.000000			0.000000														0.000000		4.154216					4.307804					-0.000469	-0.000724	-1.166875	-0.010248	-0.100959	-0.000043	-0.067322	-0.005315	-0.019033	-0.000003	-0.000003	-0.000003	-0.000003	-1.791647	-0.166833	-0.186609	-0.000187	-1.298801	-0.077555	-0.020497	-2.442948	-0.033863	-0.098403	-0.021831	-0.146984	-0.637974	-0.000093																																																																																									0.408644										-6.270000			-0.000000	-0.000001				12.355738																																																							0.000000	
 1 	 6				0.000000	0.000000			0.000000														0.000000		4.408131					4.307803					-0.000468	-0.000724	-1.166645	-0.010247	-0.100940	-0.000043	-0.067311	-0.005314	-0.019030	-0.000003	-0.000003	-0.000003	-0.000003	-1.791189	-0.166802	-0.186573	-0.000187	-1.298518	-0.077541	-0.020494	-2.442617	-0.033848	-0.098339	-0.021821	-0.146859	-0.638187	-0.000093																																																																																									0.408644										-6.270000			-0.000000	-0.000001				12.355647																																																							0.000000	
 1 	 7				0.000000	0.000000			0.000000														0.000000		4.804761					4.307799					-0.000468	-0.000724	-1.166575	-0.010246	-0.100934	-0.000043	-0.067307	-0.005314	-0.019029	-0.000003	-0.000003	-0.000003	-0.000003	-1.791053	-0.166791	-0.186561	-0.000187	-1.298431	-0.077537	-0.020493	-2.442543	-0.033796	-0.098191	-0.021784	-0.146613	-0.638671	-0.000092																																																																																									0.408644										-6.270000			-0.000000	-0.000001				12.355554																																																							0.000000	
 1 	 8				0.000000	0.000000			0.000000														0.000000		4.698977					4.307811					-0.000468	-0.000724	-1.166233	-0.010244	-0.100905	-0.000043	-0.067291	-0.005313	-0.019026	-0.000003	-0.000003	-0.000003	-0.000003	-1.790373	-0.166745	-0.186508	-0.000187	-1.298010	-0.077517	-0.020488	-2.442033	-0.033863	-0.098365	-0.021834	-0.146810	-0.638182	-0.000093																																																																																									0.408643										-6.270000			-0.000000	-0.000001				12.355541																																																							0.000000	
 1 	 9				0.000000	0.000000			0.000000														0.000000		4.646092					5.320577					-0.000467	-0.000722	-1.162767	-0.010222	-0.100625	-0.000043	-0.067127	-0.005302	-0.018986	-0.000003	-0.000003	-0.000003	-0.000003	-1.784843	-0.166236	-0.185974	-0.000187	-1.293683	-0.077323	-0.020446	-2.436454	-0.033843	-0.098309	-0.021820	-0.146741	-0.638344	-0.000093																																																																																									0.306463										-6.270000			-0.000000	-0.000001				12.354655																																																							0.000000	
 1 	 10				0.000000	0.000000			0.000000														0.000000		4.725426					4.307808					-0.000467	-0.000722	-1.163098	-0.010224	-0.100650	-0.000043	-0.067142	-0.005303	-0.018990	-0.000003	-0.000003	-0.000003	-0.000003	-1.785366	-0.166291	-0.186025	-0.000187	-1.294106	-0.077341	-0.020450	-2.437042	-0.033878	-0.098486	-0.021841	-0.147088	-0.637762	-0.000093																																																																																									0.408643										-6.270000			-0.000000	-0.000001				12.354827																																																							0.000000	
 1 	 11				0.000000	0.000000			0.000000														0.000000		4.831206					4.307807					-0.000469	-0.000725	-1.168477	-0.010258	-0.101083	-0.000043	-0.067394	-0.005320	-0.019050	-0.000003	-0.000003	-0.000003	-0.000003	-1.794899	-0.167031	-0.186854	-0.000187	-1.300778	-0.077646	-0.020515	-2.445755	-0.033854	-0.098361	-0.021826	-0.146880	-0.638134	-0.000093																																																																																									0.408643										-6.270000			-0.000000	-0.000001				12.356142																																																							0.000000	
