Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1								0.000000	3.116438																																																																																																											-10.389269																																							0.000030	0.000001	0.000002																																																													-1858955.111756	1858962.384553			0.000000	
 1 	 2								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-1858897.302379	1858904.575177			0.000000	
 1 	 3								0.000000	3.116438																																																																																																											-10.389269																																							0.000028	0.000001	0.000002																																																													-1859343.121395	1859350.394195			0.000000	
 1 	 4								0.000000	3.116438																																																																																																											-10.389269																																							0.000031	0.000001	0.000002																																																													-2046654.121377	2046661.394175			0.000000	
 1 	 5								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046657.117156	2046664.389955			0.000000	
 1 	 6								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046652.857065	2046660.129864			0.000000	
 1 	 7								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046643.710484	2046650.983283			0.000000	
 1 	 8								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046647.705510	2046654.978309			0.000000	
 1 	 9								0.000000	3.116438																																																																																																											-10.389269																																							0.000024	0.000001	0.000002																																																													-2046650.521912	2046657.794717			0.000000	
 1 	 10								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046651.065581	2046658.338379			0.000000	
 1 	 11								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046652.470178	2046659.742977			0.000000	
 1 	 12								0.000000	3.116438																																																																																																											-10.389269																																							0.000282	0.000002	0.000003																																																													-2046651.999106	2046659.271651			0.000000	
 1 	 13								0.000000	3.116438																																																																																																											-10.389269																																							8.286955	0.000002	0.000003																																																													-2046655.277685	2046654.263558			0.000000	
 1 	 14								0.000000	3.116438																																																																																																											-10.389269																																							8.286806	0.000002	0.000003																																																													-2046655.175181	2046654.161203			0.000000	
 1 	 15								0.000000	3.116438																																																																																																											-10.389269																																							8.286972	0.000002	0.000003																																																													-2046655.948942	2046654.934797			0.000000	
 1 	 16								0.000000	3.116438																																																																																																											-10.389269																																							0.000280	0.000002	0.000003																																																													-2046649.238198	2046656.510746			0.000000	
 1 	 17								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046649.908097	2046657.180895			0.000000	
 1 	 18								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046649.098503	2046656.371302			0.000000	
 1 	 19								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046649.490916	2046656.763714			0.000000	
 1 	 20								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046651.023565	2046658.296363			0.000000	
 1 	 21								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046651.613947	2046658.886746			0.000000	
 1 	 22								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046651.951161	2046659.223959			0.000000	
 1 	 23								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046633.485965	2046640.758764			0.000000	
 1 	 24								0.000000	3.116438																																																																																																											-10.389269																																							0.000029	0.000001	0.000002																																																													-2046633.373457	2046640.646256			0.000000	
 2 	 1								0.000000	3.116438																																																																																																											-10.389269																																							0.000481	0.000002	0.000003																																																													-1859010.017236	1859017.289582			0.000000	
 2 	 2								0.000000	3.116438																																																																																																											-10.389269																																							0.000461	0.000002	0.000003																																																													-1858894.815091	1858902.087456			0.000000	
 2 	 3								0.000000	3.116438																																																																																																											-10.389269																																							0.000381	0.000002	0.000003																																																													-1859274.302061	1859281.574507			0.000000	
 2 	 4								0.000000	3.116438																																																																																																											-10.389269																																							0.000274	0.000002	0.000003																																																													-2046642.333342	2046649.605893			0.000000	
 2 	 5								0.000000	3.116438																																																																																																											-10.389269																																							0.000231	0.000002	0.000003																																																													-2046653.495896	2046660.768491			0.000000	
 2 	 6								0.000000	3.116438																																																																																																											-10.389269																																							0.000205	0.000002	0.000003																																																													-2046652.386027	2046659.658648			0.000000	
 2 	 7								0.000000	3.116438																																																																																																											-10.389269																																							0.000170	0.000002	0.000003																																																													-2046631.425727	2046638.698382			0.000000	
 2 	 8								0.000000	3.116438																																																																																																											-10.389269																																							0.000161	0.000002	0.000003																																																													-2046644.468843	2046651.741508			0.000000	
 2 	 9								0.000000	3.116438																																																																																																											-10.389269																																							0.000154	0.000002	0.000003																																																													-2046648.195413	2046655.468084			0.000000	
 2 	 10								0.000000	3.116438																																																																																																											-10.389269																																							0.000213	0.000002	0.000003																																																													-2046650.892624	2046658.165236			0.000000	
 2 	 11								0.000000	3.116438																																																																																																											-10.389269																																							8.286955	0.000002	0.000003																																																													-2046656.582941	2046655.568812			0.000000	
 2 	 12								0.000000	3.116438																																																																																																											-10.389269																																							8.286967	0.000002	0.000003																																																													-2046655.547590	2046654.533449			0.000000	
 2 	 13								0.000000	3.116438																																																																																																											-10.389269																																							8.287028	0.000002	0.000003																																																													-2046654.834874	2046653.820671			0.000000	
 2 	 14								0.000000	3.116438																																																																																																											-10.389269																																							8.287008	0.000002	0.000003																																																													-2046655.361494	2046654.347312			0.000000	
 2 	 15								0.000000	3.116438																																																																																																											-10.389269																																							8.286996	0.000002	0.000003																																																													-2046654.785615	2046653.771444			0.000000	
 2 	 16								0.000000	3.116438																																																																																																											-10.389269																																							8.286958	0.000002	0.000003																																																													-2046655.235647	2046654.221515			0.000000	
 2 	 17								0.000000	3.116438																																																																																																											-10.389269																																							8.286951	0.000002	0.000003																																																													-2046652.065848	2046651.051723			0.000000	
 2 	 18								0.000000	3.116438																																																																																																											-10.389269																																							0.000339	0.000002	0.000003																																																													-2046648.874609	2046656.147096			0.000000	
 2 	 19								0.000000	3.116438																																																																																																											-10.389269																																							0.000211	0.000002	0.000003																																																													-2046649.675656	2046656.948271			0.000000	
 2 	 20								0.000000	3.116438																																																																																																											-10.389269																																							0.000210	0.000002	0.000003																																																													-2046649.771551	2046657.044167			0.000000	
 2 	 21								0.000000	3.116438																																																																																																											-10.389269																																							0.000208	0.000002	0.000003																																																													-2046650.555247	2046657.827865			0.000000	
 2 	 22								0.000000	3.116438																																																																																																											-10.389269																																							0.000180	0.000002	0.000003																																																													-2046649.115975	2046656.388620			0.000000	
