Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																			0.000000		0.000000																																										-0.000055																																																															0.000012																									-0.000005																																																													-41182.537740	41186.880824									-4.343037	
 1 	 2																			0.000000		0.000000																																										-0.000052																																																															0.000012																									-0.000005																																																													-41086.023307	41090.366388									-4.343037	
 1 	 3																			0.000000		0.000000																																										-0.000046																																																															0.000012																									-0.000005																																																													-40905.094568	40909.437643									-4.343037	
 1 	 4																			0.000000		0.000000																																										-0.000056																																																															0.000013																									-0.000005																																																													-41107.592797	41111.935881									-4.343037	
 1 	 5																			0.000000		0.000000																																										-0.000070																																																															0.000012																									-0.000005																																																													-41099.503139	41103.846238									-4.343037	
 1 	 6																			0.000000		0.000000																																										-0.000071																																																															0.000012																									-0.000005																																																													-41094.543600	41098.886699									-4.343037	
 1 	 7																			0.000000		0.000000																																										-0.000072																																																															0.000012																									-0.000005																																																													-41082.645485	41086.988586									-4.343037	
 1 	 8																			0.000000		0.000000																																										-0.000068																																																															0.000012																									-0.000005																																																													-41067.413790	41071.756886									-4.343037	
 1 	 9																			0.000000		0.000000																																										-0.000107																																																															0.000011																									-0.000005																																																													-41065.035863	41069.379000									-4.343037	
 1 	 10																			0.000000		0.000000																																										-0.000055																																																															0.000012																									-0.000005																																																													-41064.979453	41069.322537									-4.343037	
 1 	 11																			0.000000		0.000000																																										-0.000056																																																															0.000012																									-0.000005																																																													-41064.588051	41068.931136									-4.343037	
 1 	 12																			0.000000		0.000000																																										-0.000005																																																															0.000033																									-0.000005																																																													-41063.599618	41067.942631									-4.343037	
 1 	 13																			0.000000		0.000000																																										-0.000003																																																															0.000111																									-0.000005																																																													-41062.532944	41066.875878									-4.343037	
 1 	 14																			0.000000		0.000000																																										-0.000003																																																															0.000125																									-0.000005																																																													-41062.362187	41066.705106									-4.343037	
 1 	 15																			0.000000		0.000000																																										-0.000003																																																															0.000109																									-0.000005																																																													-41060.351054	41064.693989									-4.343037	
 1 	 16																			0.000000		0.000000																																										-0.000005																																																															0.000033																									-0.000005																																																													-41054.577577	41058.920590									-4.343037	
 1 	 17																			0.000000		0.000000																																										-0.000056																																																															0.000012																									-0.000005																																																													-41058.285741	41062.628826									-4.343037	
 1 	 18																			0.000000		0.000000																																										-0.000055																																																															0.000012																									-0.000005																																																													-41061.449051	41065.792134									-4.343037	
 1 	 19																			0.000000		0.000000																																										-0.000055																																																															0.000012																									-0.000005																																																													-41067.777905	41072.120989									-4.343037	
 1 	 20																			0.000000		0.000000																																										-0.000056																																																															0.000012																									-0.000005																																																													-41077.096046	41081.439131									-4.343037	
 1 	 21																			0.000000		0.000000																																										-0.000057																																																															0.000012																									-0.000005																																																													-41085.764228	41090.107313									-4.343037	
 1 	 22																			0.000000		0.000000																																										-0.000057																																																															0.000012																									-0.000005																																																													-41094.730779	41099.073865									-4.343037	
 1 	 23																			0.000000		0.000000																																										-0.000057																																																															0.000012																									-0.000005																																																													-41114.180003	41118.523090									-4.343037	
 1 	 24																			0.000000		0.000000																																										-0.000058																																																															0.000012																									-0.000005																																																													-41186.587497	41190.930585									-4.343037	
 2 	 1																			0.000000		0.000000																																										-0.000005																																																															0.000059																									-0.000007																																																													-41179.950198	41184.293187									-4.343037	
 2 	 2																			0.000000		0.000000																																										-0.000005																																																															0.000057																									-0.000007																																																													-41108.637179	41112.980170									-4.343037	
 2 	 3																			0.000000		0.000000																																										-0.000005																																																															0.000056																									-0.000007																																																													-40934.019194	40938.362186									-4.343037	
 2 	 4																			0.000000		0.000000																																										-0.000005																																																															0.000060																									-0.000006																																																													-41077.081832	41081.424820									-4.343037	
 2 	 5																			0.000000		0.000000																																										-0.000005																																																															0.000059																									-0.000006																																																													-41073.916155	41078.259144									-4.343037	
 2 	 6																			0.000000		0.000000																																										-0.000005																																																															0.000059																									-0.000006																																																													-41070.810055	41075.153044									-4.343037	
 2 	 7																			0.000000		0.000000																																										-0.000005																																																															0.000058																									-0.000006																																																													-41061.915462	41066.258451									-4.343037	
 2 	 8																			0.000000		0.000000																																										-0.000005																																																															0.000057																									-0.000006																																																													-41059.530354	41063.873344									-4.343037	
 2 	 9																			0.000000		0.000000																																										-0.000005																																																															0.000056																									-0.000006																																																													-41063.977563	41068.320555									-4.343037	
 2 	 10																			0.000000		0.000000																																										-0.000005																																																															0.000060																									-0.000006																																																													-41062.765930	41067.108917									-4.343037	
 2 	 11																			0.000000		0.000000																																										-0.000004																																																															0.000098																									-0.000006																																																													-41061.371795	41065.714744									-4.343037	
 2 	 12																			0.000000		0.000000																																										-0.000004																																																															0.000114																									-0.000006																																																													-41058.415064	41062.757997									-4.343037	
 2 	 13																			0.000000		0.000000																																										-0.000004																																																															0.000409																									-0.000006																																																													-41058.531748	41062.874386									-4.343037	
 2 	 14																			0.000000		0.000000																																										-0.000004																																																															0.981523																									-0.000006																																																													-41056.530708	41059.892231									-4.343037	
 2 	 15																			0.000000		0.000000																																										-0.000004																																																															0.000145																									-0.000006																																																													-41051.804929	41056.147831									-4.343037	
 2 	 16																			0.000000		0.000000																																										-0.000004																																																															0.000095																									-0.000006																																																													-41048.292927	41052.635879									-4.343037	
 2 	 17																			0.000000		0.000000																																										-0.000004																																																															0.000099																									-0.000006																																																													-41046.061189	41050.404137									-4.343037	
 2 	 18																			0.000000		0.000000																																										-0.000005																																																															0.000063																									-0.000006																																																													-41048.953095	41053.296079									-4.343037	
