Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1									0.086325	0.000000																								0.000018	0.000020	0.075765	0.000287	0.006554	0.000002	0.004369	0.000345	0.000533	0.000002	0.000002	0.000001	0.000001	0.065732	0.006117	0.005225	0.107562	0.047614	0.002151	0.000520	0.092441	0.009148	0.008529	0.005891	0.029395	0.012365	0.000011																																																								5.159311																																												6.907422							-12.633659																																																							0.000000	
 1 	 2									0.086325	0.000000																								0.000018	0.000020	0.075693	0.000287	0.006548	0.000002	0.004365	0.000344	0.000532	0.000002	0.000002	0.000001	0.000001	0.065670	0.006110	0.005219	0.107408	0.047570	0.002149	0.000519	0.092353	0.009086	0.008495	0.005852	0.029261	0.012393	0.000011																																																								5.159311																																												6.907422							-12.632972																																																							0.000000	
 1 	 3									0.086325	0.000000																								0.000018	0.000020	0.075498	0.000286	0.006531	0.000002	0.004355	0.000344	0.000531	0.000002	0.000002	0.000001	0.000001	0.065499	0.006091	0.005203	0.106999	0.047452	0.002144	0.000518	0.092120	0.009044	0.008458	0.005830	0.029118	0.012421	0.000011																																																								5.159311																																												6.907422							-12.631558																																																							0.000000	
 1 	 4									0.086325	0.000000																								0.000018	0.000020	0.075750	0.000287	0.006553	0.000002	0.004368	0.000345	0.000532	0.000002	0.000002	0.000001	0.000001	0.065720	0.006115	0.005224	0.107527	0.047605	0.002151	0.000520	0.092425	0.009123	0.008511	0.005874	0.029317	0.012380	0.000011																																																								5.159311																																												6.907422							-12.633441																																																							0.000000	
 1 	 5									0.086325	0.000000																								0.000018	0.000020	0.075734	0.000287	0.006551	0.000002	0.004367	0.000345	0.000532	0.000002	0.000002	0.000001	0.000001	0.065708	0.006114	0.005222	0.107493	0.047595	0.002150	0.000520	0.092406	0.009138	0.008521	0.005884	0.029351	0.012372	0.000011																																																								5.159311																																												6.907422							-12.633407																																																							0.000000	
 1 	 6									0.086325	0.000000																								0.000018	0.000020	0.075716	0.000287	0.006550	0.000002	0.004366	0.000344	0.000532	0.000002	0.000002	0.000001	0.000001	0.065692	0.006112	0.005221	0.107453	0.047584	0.002150	0.000520	0.092385	0.009135	0.008521	0.005882	0.029338	0.012374	0.000011																																																								5.159311																																												6.907422							-12.633276																																																							0.000000	
 1 	 7									0.086325	0.000000																								0.000018	0.000020	0.075711	0.000287	0.006549	0.000002	0.004366	0.000344	0.000532	0.000002	0.000002	0.000001	0.000001	0.065688	0.006112	0.005220	0.107443	0.047581	0.002150	0.000520	0.092380	0.009122	0.008512	0.005874	0.029307	0.012381	0.000011																																																								5.159311																																												6.907422							-12.633193																																																							0.000000	
 1 	 8									0.086325	0.000000																								0.000018	0.000020	0.075683	0.000286	0.006547	0.000002	0.004364	0.000344	0.000532	0.000002	0.000002	0.000001	0.000001	0.065663	0.006109	0.005218	0.107383	0.047564	0.002149	0.000519	0.092346	0.009137	0.008523	0.005884	0.029343	0.012373	0.000011																																																								5.159311																																												6.907422							-12.633083																																																							0.000000	
 1 	 9									0.086325	0.000000																								0.000017	0.000020	0.075380	0.000285	0.006520	0.000002	0.004348	0.000343	0.000530	0.000002	0.000002	0.000001	0.000001	0.065399	0.006080	0.005193	0.106753	0.047382	0.002141	0.000517	0.091985	0.009130	0.008517	0.005879	0.029319	0.012377	0.000011																																																								5.159311																																												6.907422							-12.631197																																																							0.000000	
 1 	 10									0.086325	0.000000																								0.000017	0.000020	0.075411	0.000285	0.006523	0.000002	0.004350	0.000343	0.000530	0.000002	0.000002	0.000001	0.000001	0.065426	0.006083	0.005196	0.106816	0.047401	0.002142	0.000518	0.092023	0.009137	0.008523	0.005884	0.029345	0.012372	0.000011																																																								5.159311																																												6.907422							-12.631422																																																							0.000000	
 1 	 11									0.086325	0.000000																								0.000018	0.000020	0.075861	0.000287	0.006563	0.000002	0.004374	0.000345	0.000533	0.000002	0.000002	0.000001	0.000001	0.065826	0.006126	0.005233	0.107789	0.047682	0.002154	0.000521	0.092584	0.009136	0.008521	0.005883	0.029339	0.012374	0.000011																																																								5.159311																																												6.907422							-12.634247																																																							0.000000	
 1 	 12									0.086325	0.000000																								0.000018	0.000020	0.075862	0.000287	0.006563	0.000002	0.004374	0.000345	0.000533	0.000002	0.000002	0.000001	0.000001	0.065827	0.006126	0.005233	0.107790	0.047682	0.002154	0.000521	0.092586	0.009146	0.008549	0.005887	0.029509	0.012349	0.000011																																																								5.159311																																												6.907422							-12.634440																																																							0.000000	
 1 	 13									0.086325	0.000000																								0.000017	0.000020	0.075412	0.000285	0.006523	0.000002	0.004350	0.000343	0.000530	0.000002	0.000002	0.000001	0.000001	0.065427	0.006083	0.005196	0.106816	0.047401	0.002142	0.000518	0.092027	0.009147	0.008499	0.005894	0.029218	0.012384	0.000011																																																								5.159311																																												6.907422							-12.631310																																																							0.000000	
 1 	 14									0.086325	0.000000																								0.000017	0.000020	0.075385	0.000285	0.006520	0.000002	0.004349	0.000343	0.000530	0.000002	0.000002	0.000001	0.000001	0.065405	0.006080	0.005194	0.106762	0.047386	0.002141	0.000517	0.091997	0.009100	0.008505	0.005856	0.029223	0.012389	0.000011																																																								5.159311																																												6.907422							-12.631084																																																							0.000000	
