Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1													0.000000																																										0.090300	0.264285	0.058150	0.394018	1.664419	0.000245																								-0.000027	-0.000033																																																							-2.471335					-0.000019																																																																													0.000000	
 1 	 2													0.000000																																										0.089687	0.263233	0.057769	0.392219	1.668269	0.000245																								-0.000026	-0.000033																																																							-2.471338					-0.000019																																																																													0.000000	
 1 	 3													0.000000																																										0.089277	0.262061	0.057546	0.390306	1.671986	0.000244																								-0.000026	-0.000033																																																							-2.471338					-0.000019																																																																													0.000000	
 1 	 4													0.000000																																										0.090053	0.263711	0.057986	0.392965	1.666457	0.000245																								-0.000026	-0.000033																																																							-2.471335					-0.000019																																																																													0.000000	
 1 	 5													0.000000																																										0.090200	0.264042	0.058082	0.393419	1.665432	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 6													0.000000																																										0.090174	0.264019	0.058065	0.393250	1.665667	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 7													0.000000																																										0.090046	0.263757	0.057982	0.392829	1.666563	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 8													0.000000																																										0.090195	0.264081	0.058080	0.393309	1.665512	0.000245																								-0.000029	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 9													0.000000																																										0.090127	0.263906	0.058036	0.392994	1.666128	0.000245																								-0.000037	-0.000035																																																							-2.471341					-0.000019																																																																													0.000000	
 1 	 10													0.000000																																										0.090194	0.264089	0.058079	0.393343	1.665471	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 11													0.000000																																										0.090181	0.264031	0.058070	0.393262	1.665631	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 12													0.000000																																										0.090282	0.264886	0.058112	0.395538	1.662266	0.000245																								-0.000014	-0.000020																																																							-2.471274					-0.000019																																																																													0.000000	
 1 	 13													0.000000																																										0.090289	0.263352	0.058180	0.391639	1.667084	0.000245																								-0.000018	-0.000020																																																							-2.470730					-0.000019																																																																													0.000000	
 1 	 14													0.000000																																										0.089828	0.263535	0.057809	0.391713	1.667643	0.000244																								-0.000018	-0.000020																																																							-2.470714					-0.000019																																																																													0.000000	
 1 	 15													0.000000																																										0.090000	0.263596	0.057938	0.392759	1.666245	0.000245																								-0.000018	-0.000020																																																							-2.470723					-0.000019																																																																													0.000000	
 1 	 16													0.000000																																										0.090303	0.264747	0.058135	0.395087	1.662812	0.000245																								-0.000014	-0.000020																																																							-2.471274					-0.000019																																																																													0.000000	
 1 	 17													0.000000																																										0.090239	0.264161	0.058109	0.393493	1.665173	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 18													0.000000																																										0.090256	0.264241	0.058120	0.393672	1.664887	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 19													0.000000																																										0.090344	0.264325	0.058182	0.393967	1.664357	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 20													0.000000																																										0.090308	0.264238	0.058157	0.393834	1.664639	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 21													0.000000																																										0.090346	0.264332	0.058183	0.393991	1.664323	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 22													0.000000																																										0.090365	0.264392	0.058197	0.394089	1.664132	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 23													0.000000																																										0.090380	0.264439	0.058208	0.394158	1.663991	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 1 	 24													0.000000																																										0.090360	0.264382	0.058193	0.394159	1.664081	0.000245																								-0.000028	-0.000034																																																							-2.471337					-0.000019																																																																													0.000000	
 2 	 1													0.000000																																										0.105279	0.299453	0.068112	0.437123	1.560907	0.000290																								-0.000013	-0.000015																																																							-2.471112					-0.000021																																																																													0.000000	
 2 	 2													0.000000																																										0.104704	0.298606	0.067730	0.435128	1.564753	0.000289																								-0.000013	-0.000015																																																							-2.471156					-0.000022																																																																													0.000000	
 2 	 3													0.000000																																										0.104297	0.297697	0.067460	0.433501	1.567969	0.000289																								-0.000013	-0.000015																																																							-2.471160					-0.000021																																																																													0.000000	
 2 	 4													0.000000																																										0.105166	0.299461	0.068040	0.436849	1.561357	0.000290																								-0.000013	-0.000015																																																							-2.471109					-0.000021																																																																													0.000000	
 2 	 5													0.000000																																										0.105388	0.299830	0.068180	0.437565	1.559914	0.000290																								-0.000013	-0.000015																																																							-2.471114					-0.000021																																																																													0.000000	
 2 	 6													0.000000																																										0.105341	0.299730	0.068148	0.437354	1.560311	0.000290																								-0.000013	-0.000016																																																							-2.471121					-0.000021																																																																													0.000000	
 2 	 7													0.000000																																										0.105276	0.299542	0.068106	0.437083	1.560887	0.000290																								-0.000013	-0.000016																																																							-2.471130					-0.000021																																																																													0.000000	
 2 	 8													0.000000																																										0.105377	0.299785	0.068170	0.437466	1.560103	0.000290																								-0.000013	-0.000016																																																							-2.471138					-0.000021																																																																													0.000000	
 2 	 9													0.000000																																										0.105312	0.299649	0.068129	0.437219	1.560598	0.000290																								-0.000014	-0.000016																																																							-2.471143					-0.000021																																																																													0.000000	
