Name	C_inv	C_maint	C_op
NUCLEAR	15359.467083	6175.859147	0.000000
CCGT	332.086455	118.539539	0.000000
CCGT_AMMONIA	0.000739	0.000264	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1490.001575	2927.868017	0.000000
WIND_ONSHORE	5571.460255	996.141175	0.000000
WIND_OFFSHORE	20910.003090	2236.403067	0.000000
HYDRO_RIVER	5663.688019	1109.785545	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.001076	0.000975	0.000000
IND_COGEN_WOOD	0.000591	0.000305	0.000000
IND_COGEN_WASTE	0.000961	0.000499	0.000000
IND_BOILER_GAS	0.000693	0.000157	0.000000
IND_BOILER_WOOD	0.000663	0.000150	0.000000
IND_BOILER_OIL	0.000665	0.000161	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	196.391078	44.280979	0.000000
IND_DIRECT_ELEC	887.299098	41.779743	0.000000
DHN_HP_ELEC	666.230300	318.396607	0.000000
DHN_COGEN_GAS	0.001245	0.000513	0.000000
DHN_COGEN_WOOD	0.000596	0.000308	0.000000
DHN_COGEN_WASTE	0.000804	0.000418	0.000000
DHN_COGEN_WET_BIOMASS	0.000424	0.000487	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.001371	0.000695	0.000000
DHN_BOILER_GAS	0.000171	0.000039	0.000000
DHN_BOILER_WOOD	0.000252	0.000057	0.000000
DHN_BOILER_OIL	0.000156	0.000038	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.002016	0.000037	0.000000
DEC_HP_ELEC	7875.900504	3838.642968	0.000000
DEC_THHP_GAS	0.001205	0.000439	0.000000
DEC_COGEN_GAS	0.001055	0.000845	0.000000
DEC_COGEN_OIL	0.000949	0.000725	0.000000
DEC_ADVCOGEN_GAS	0.001925	0.000447	0.000000
DEC_ADVCOGEN_H2	0.001883	0.000437	0.000000
DEC_BOILER_GAS	0.001298	0.000439	0.000000
DEC_BOILER_WOOD	0.001329	0.000524	0.000000
DEC_BOILER_OIL	0.001013	0.000685	0.000000
DEC_SOLAR	0.034624	0.004787	0.000000
DEC_DIRECT_ELEC	0.001974	0.000090	0.000000
TRAMWAY_TROLLEY	662.296893	203.622531	0.000000
BUS_COACH_DIESEL	0.000493	0.000271	0.000000
BUS_COACH_HYDIESEL	2234.288904	939.795872	0.000000
BUS_COACH_CNG_STOICH	0.000289	0.000157	0.000000
BUS_COACH_FC_HYBRIDH2	0.000228	0.000066	0.000000
TRAIN_PUB	4450.018111	2755.793783	0.000000
CAR_GASOLINE	0.000058	0.000036	0.000000
CAR_DIESEL	0.000283	0.000172	0.000000
CAR_NG	0.000159	0.000096	0.000000
CAR_METHANOL	0.000048	0.000030	0.000000
CAR_HEV	0.000078	0.000065	0.000000
CAR_PHEV	0.061643	0.045947	0.000000
CAR_BEV	96307.570991	16289.796522	0.000000
CAR_FUEL_CELL	0.004443	0.000434	0.000000
PLANE	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	63.911723	57.982528	0.000000
BOAT_FREIGHT_NG	20.538590	18.406423	0.000000
BOAT_FREIGHT_METHANOL	0.000566	0.000514	0.000000
TRAIN_FREIGHT	111.058400	38.111602	0.000000
TRUCK_DIESEL	0.000329	0.000180	0.000000
TRUCK_METHANOL	0.000009	0.000005	0.000000
TRUCK_FUEL_CELL	2890.440356	841.577769	0.000000
TRUCK_ELEC	4379.837249	1197.282943	0.000000
TRUCK_NG	0.000015	0.000008	0.000000
HABER_BOSCH	610.091686	148.651271	0.000000
CO2_TO_METHANOL	245.078775	122.168930	0.000000
E_WOOD_TO_METHANOL	347.853821	173.401099	0.000000
METHANE_TO_METHANOL	6.908301	3.894609	0.000000
OIL_TO_HVC	87.145504	4.808958	0.000000
GAS_TO_HVC	0.000825	0.000291	0.000000
BIOMASS_TO_HVC	0.000939	0.000349	0.000000
METHANOL_TO_HVC	324.950885	364.462509	0.000000
PHS	17.714790	0.000000	0.000000
BATT_LI	0.007158	0.000115	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.003920	0.000342	0.000000
TS_DEC_HP_ELEC	281.054120	24.520233	0.000000
TS_DEC_THHP_GAS	0.003870	0.000338	0.000000
TS_DEC_COGEN_GAS	0.003896	0.000340	0.000000
TS_DEC_COGEN_OIL	0.003900	0.000340	0.000000
TS_DEC_ADVCOGEN_GAS	0.003902	0.000340	0.000000
TS_DEC_ADVCOGEN_H2	0.003907	0.000341	0.000000
TS_DEC_BOILER_GAS	0.003871	0.000338	0.000000
TS_DEC_BOILER_WOOD	0.003881	0.000339	0.000000
TS_DEC_BOILER_OIL	0.003867	0.000337	0.000000
TS_DHN_DAILY	0.004294	0.000211	0.000000
TS_DHN_SEASONAL	782.540194	60.234132	0.000000
TS_HIGH_TEMP	0.000000	0.000000	0.000000
GAS_STORAGE	0.000000	31.362561	0.000000
H2_STORAGE	0.000000	18.746395	0.000000
DIESEL_STORAGE	0.000000	16.760075	0.000000
GASOLINE_STORAGE	0.000000	16.796489	0.000000
LFO_STORAGE	0.000000	18.320640	0.000000
AMMONIA_STORAGE	0.000000	17.436812	0.000000
METHANOL_STORAGE	0.000000	17.926834	0.000000
CO2_STORAGE	0.000000	6.575003	0.000000
JETFUEL_STORAGE	0.000000	5.030343	0.000000
WOOD_STORAGE	0.000000	10.102212	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	1289.789643	0.000000	0.000000
GRID	10298.291294	0.000000	0.000000
ALKALINE_ELECTROLYSIS	2653.899404	1322.938104	0.000000
HT_ELECTROLYSIS	2482.515522	1237.505224	0.000000
SMR	0.000563	0.000732	0.000000
BIO_HYDROLYSIS	237.262066	167.908209	0.000000
H2_BIOMASS	0.000611	0.000606	0.000000
WOOD_TO_METHANE	0.000813	0.000405	0.000000
CO2_TO_METHANE	0.000651	0.000324	0.000000
E_WOOD_TO_METHANE	0.000780	0.000389	0.000000
