Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																																					2.282638	0.000464	0.000004																																																																																																							-2.283105	
 1 	 2																																																																																																																					2.282641	0.000461	0.000004																																																																																																							-2.283105	
 1 	 3																																																																																																																					2.282645	0.000457	0.000004																																																																																																							-2.283105	
 1 	 4																																																																																																																					2.282644	0.000458	0.000004																																																																																																							-2.283105	
 1 	 5																																																																																																																					2.282648	0.000454	0.000004																																																																																																							-2.283105	
 1 	 6																																																																																																																					2.282649	0.000452	0.000004																																																																																																							-2.283105	
 1 	 7																																																																																																																					2.282651	0.000451	0.000004																																																																																																							-2.283105	
 1 	 8																																																																																																																					2.282650	0.000451	0.000004																																																																																																							-2.283105	
 1 	 9																																																																																																																					2.282650	0.000452	0.000004																																																																																																							-2.283105	
 1 	 10																																																																																																																					2.282649	0.000452	0.000004																																																																																																							-2.283105	
 1 	 11																																																																																																																					2.282649	0.000452	0.000004																																																																																																							-2.283105	
 1 	 12																																																																																																																					1.564309	0.718793	0.000004																																																																																																							-2.283105	
 1 	 13																																																																																																																					1.639742	0.643360	0.000004																																																																																																							-2.283105	
 1 	 14																																																																																																																					1.642398	0.640703	0.000004																																																																																																							-2.283105	
 1 	 15																																																																																																																					1.645633	0.637468	0.000004																																																																																																							-2.283105	
 1 	 16																																																																																																																					1.566705	0.716396	0.000004																																																																																																							-2.283105	
 1 	 17																																																																																																																					2.282649	0.000452	0.000004																																																																																																							-2.283105	
 1 	 18																																																																																																																					2.282649	0.000453	0.000004																																																																																																							-2.283105	
 1 	 19																																																																																																																					2.282648	0.000453	0.000004																																																																																																							-2.283105	
 1 	 20																																																																																																																					2.282647	0.000454	0.000004																																																																																																							-2.283105	
 1 	 21																																																																																																																					2.282647	0.000454	0.000004																																																																																																							-2.283105	
 1 	 22																																																																																																																					2.282647	0.000455	0.000004																																																																																																							-2.283105	
 1 	 23																																																																																																																					2.282645	0.000457	0.000004																																																																																																							-2.283105	
 1 	 24																																																																																																																					2.282639	0.000463	0.000004																																																																																																							-2.283105	
 2 	 1																																																																																																																					1.305582	0.977518	0.000004																																																																																																							-2.283105	
 2 	 2																																																																																																																					1.261938	1.021162	0.000004																																																																																																							-2.283105	
 2 	 3																																																																																																																					1.377318	0.905783	0.000004																																																																																																							-2.283105	
 2 	 4																																																																																																																					1.526679	0.756422	0.000004																																																																																																							-2.283105	
 2 	 5																																																																																																																					1.581477	0.701624	0.000004																																																																																																							-2.283105	
 2 	 6																																																																																																																					1.597910	0.685191	0.000004																																																																																																							-2.283105	
 2 	 7																																																																																																																					1.610429	0.672672	0.000004																																																																																																							-2.283105	
 2 	 8																																																																																																																					1.604430	0.678671	0.000004																																																																																																							-2.283105	
 2 	 9																																																																																																																					1.599263	0.683838	0.000004																																																																																																							-2.283105	
 2 	 10																																																																																																																					1.592669	0.690432	0.000004																																																																																																							-2.283105	
 2 	 11																																																																																																																					1.659644	0.623457	0.000004																																																																																																							-2.283105	
 2 	 12																																																																																																																					1.655708	0.627393	0.000004																																																																																																							-2.283105	
 2 	 13																																																																																																																					1.661592	0.621509	0.000004																																																																																																							-2.283105	
 2 	 14																																																																																																																					1.660798	0.622303	0.000004																																																																																																							-2.283105	
 2 	 15																																																																																																																					1.662211	0.620890	0.000004																																																																																																							-2.283105	
 2 	 16																																																																																																																					1.664652	0.618449	0.000004																																																																																																							-2.283105	
 2 	 17																																																																																																																					1.658423	0.624678	0.000004																																																																																																							-2.283105	
 2 	 18																																																																																																																					1.582900	0.700201	0.000004																																																																																																							-2.283105	
 2 	 19																																																																																																																					1.581020	0.702081	0.000004																																																																																																							-2.283105	
 2 	 20																																																																																																																					1.579249	0.703852	0.000004																																																																																																							-2.283105	
 2 	 21																																																																																																																					1.557994	0.725106	0.000004																																																																																																							-2.283105	
 2 	 22																																																																																																																					1.565298	0.717802	0.000004																																																																																																							-2.283105	
 2 	 23																																																																																																																					1.565335	0.717766	0.000004																																																																																																							-2.283105	
 2 	 24																																																																																																																					1.416262	0.866839	0.000004																																																																																																							-2.283105	
 3 	 1																																																																																																																					1.728954	0.554149	0.000002																																																																																																							-2.283105	
 3 	 2																																																																																																																					1.712123	0.570980	0.000002																																																																																																							-2.283105	
 3 	 3																																																																																																																					1.719241	0.563862	0.000002																																																																																																							-2.283105	
 3 	 4																																																																																																																					1.636808	0.646295	0.000002																																																																																																							-2.283105	
 3 	 5																																																																																																																					1.762549	0.520554	0.000002																																																																																																							-2.283105	
 3 	 6																																																																																																																					1.563928	0.719175	0.000002																																																																																																							-2.283105	
 3 	 7																																																																																																																					1.591348	0.691755	0.000002																																																																																																							-2.283105	
 3 	 8																																																																																																																					1.776466	0.506637	0.000002																																																																																																							-2.283105	
 3 	 9																																																																																																																					1.777237	0.505866	0.000002																																																																																																							-2.283105	
 3 	 10																																																																																																																					1.779821	0.503282	0.000002																																																																																																							-2.283105	
 3 	 11																																																																																																																					1.785827	0.497276	0.000002																																																																																																							-2.283105	
 3 	 12																																																																																																																					1.779854	0.503249	0.000002																																																																																																							-2.283105	
 3 	 13																																																																																																																					1.774955	0.508148	0.000002																																																																																																							-2.283105	
 3 	 14																																																																																																																					1.774260	0.508843	0.000002																																																																																																							-2.283105	
 3 	 15																																																																																																																					1.777635	0.505468	0.000002																																																																																																							-2.283105	
 3 	 16																																																																																																																					1.778092	0.505011	0.000002																																																																																																							-2.283105	
 3 	 17																																																																																																																					1.775347	0.507756	0.000002																																																																																																							-2.283105	
