Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																0.000006	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.349340		0.000000			0.019344									-0.000004																																	-0.000283	0.000397	-26.237420	56.405208																							-26.050436	
 1 	 2																																																																																0.000006	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.349419		0.000000			0.019409									-0.000004																																	-0.000315	0.000359	-25.980789	56.849943																							-26.751718	
 1 	 3																																																																																0.000006	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.349784		0.000000			0.019716									-0.000004																																	-0.000330	0.000342	-25.982698	56.897984																							-26.797759	
 1 	 4																																																																																0.000006	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.346476		0.000000			0.016955									-0.000004																																	-0.000335	0.000338	-25.965950	56.923028																							-26.840090	
 1 	 5																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326386		0.000000			0.000192									-0.000004																																	-0.000338	0.000335	-25.891169	57.076396																							-27.071559	
 1 	 6																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000006	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326386		0.000000			0.000191									-0.000004																																	-0.000340	0.000334	-25.602603	57.580002																							-27.863729	
 1 	 7																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000006	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326386		0.000000			0.000191									-0.000004																																	-0.000340	0.000333	-25.355331	58.021887																							-28.552884	
 1 	 8																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326401		0.000000			0.000204									-0.000004																																	-0.000339	0.000334	-25.135735	58.369122																							-29.119715	
 1 	 9																																																																																0.000004	0.000030	0.000002	0.000005	0.000003	0.000006	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212477															0.000000	0.000001	-0.000000					-4.326210		0.000000			0.000049									-0.000003																																	-0.000340	0.000333	-24.901190	58.798355																							-29.783527	
 1 	 10																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000006																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326459		0.000000			0.000252									-0.000003																																	-0.000339	0.000334	-24.689939	59.151951																							-30.348335	
 1 	 11																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000028																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326461		0.000000			0.000253									-0.000003																																	-0.000339	0.000334	-25.051527	58.520619																							-29.355439	
 1 	 12																																																																																22.990977	0.000003	0.000001	0.000002	0.000001	0.000003	0.000003	0.000002	0.000001		0.000056																																				0.000003	0.212469															0.000000	0.000001	-0.000000					-4.742488		0.000000			0.347455									-0.000019																																	-0.000338	0.000335	-34.645480	44.712590																							-28.875576	
 1 	 13																																																																																23.497146	0.000002	0.000001	0.000002	0.000001	0.000003	0.000003	0.000002	0.000001		0.000074																																				0.000007	0.000072															0.000000	0.000001	-0.000000					-3.917292		0.000000			4.460472									-6.751139																																	-0.000338	0.000335	-34.641778	44.698628																							-27.346204	
 1 	 14																																																																																23.497146	0.000001	0.000001	0.000002	0.000001	0.000003	0.000003	0.000002	0.000001		0.000082																																				0.000008	0.000070															0.000000	0.000001	-0.000000					-3.917273		0.000000			4.460463									-6.751137																																	-0.000337	0.000336	-35.106389	44.144842																							-26.327825	
 1 	 15																																																																																23.497135	0.000002	0.000001	0.000002	0.000001	0.000003	0.000003	0.000002	0.000001		0.000073																																				0.000007	0.000068															0.000000	0.000001	-0.000000					-3.917263		0.000000			4.460456									-6.751133																																	-0.000336	0.000336	-35.641368	43.513792																							-25.161784	
 1 	 16																																																																																23.497157	0.000001	0.000001	0.000002	0.000001	0.000002	0.000003	0.000002	0.000001		0.000052																																				0.000007	0.144202															0.000000	0.000000	-0.000000					-4.742491		0.000000			0.569035									-0.000633																																	-0.000337	0.000336	-37.206107	41.790272																							-24.051504	
 1 	 17																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000023																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326462		0.000000			0.000254									-0.000003																																	-0.000337	0.000336	-27.284545	54.824420																							-23.426220	
 1 	 18																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000003																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326461		0.000000			0.000253									-0.000003																																	-0.000338	0.000335	-26.877235	55.509340																							-24.518428	
 1 	 19																																																																																0.000005	0.000029	0.000001	0.000004	0.000002	0.000005	0.000003	0.000002	0.000001		0.000000																																				0.000001	0.212479															0.000000	0.000001	-0.000000					-4.326460		0.000000			0.000253									-0.000003																																	-0.000339	0.000335	-26.183863	56.677047																							-26.379503	
