Name	GWP_constr	GWP_op
NUCLEAR	707.879995	0.000000
CCGT	31.777611	0.000000
CCGT_AMMONIA	0.000149	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	10709.999390	0.000000
WIND_ONSHORE	1557.124993	0.000000
WIND_OFFSHORE	1245.699966	0.000000
HYDRO_RIVER	347.275489	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.000662	0.000000
IND_COGEN_WOOD	0.000076	0.000000
IND_COGEN_WASTE	0.000138	0.000000
IND_BOILER_GAS	0.000133	0.000000
IND_BOILER_WOOD	0.000152	0.000000
IND_BOILER_OIL	0.000137	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	27.203754	0.000000
IND_DIRECT_ELEC	2.346585	0.000000
DHN_HP_ELEC	164.132514	0.000000
DHN_COGEN_GAS	0.000389	0.000000
DHN_COGEN_WOOD	0.000072	0.000000
DHN_COGEN_WASTE	0.000147	0.000000
DHN_COGEN_WET_BIOMASS	0.000269	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000196	0.000000
DHN_BOILER_GAS	0.000031	0.000000
DHN_BOILER_WOOD	0.000053	0.000000
DHN_BOILER_OIL	0.000031	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000722	0.000000
DEC_HP_ELEC	1492.866283	0.000000
DEC_THHP_GAS	0.001302	0.000000
DEC_COGEN_GAS	0.000745	0.000000
DEC_COGEN_OIL	0.000719	0.000000
DEC_ADVCOGEN_GAS	0.000467	0.000000
DEC_ADVCOGEN_H2	0.000455	0.000000
DEC_BOILER_GAS	0.000156	0.000000
DEC_BOILER_WOOD	0.000052	0.000000
DEC_BOILER_OIL	0.000133	0.000000
DEC_SOLAR	0.009027	0.000000
DEC_DIRECT_ELEC	0.000068	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
