Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.290535	0.000023				-6.334255																	0.000000																																																																-35178.189464	35178.512361							-0.992694	
 1 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.287663	0.000023				-6.334255																	0.000000																																																																-35200.752250	35201.078020							-0.992694	
 1 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713494	5.312326	0.000023				-6.334253																	0.000000																																																																-34962.496893	34962.797999							-0.992694	
 1 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713494	5.285587	0.000023				-6.334252																	0.000000																																																																-33033.574407	33033.902250							-0.992694	
 1 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713491	5.285293	0.000023				-6.334253																	0.000000																																																																-32072.654979	32072.983120							-0.992694	
 1 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713492	5.285383	0.000023				-6.334253																	0.000000																																																																-32139.668877	32139.996928							-0.992694	
 1 	 7																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713492	5.284174	0.000023				-6.334253																	0.000000																																																																-32345.655770	32345.985030							-0.992694	
 1 	 8																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713491	5.286366	0.000023				-6.334253																	0.000000																																																																-32496.852174	32497.179242							-0.992694	
 1 	 9																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713487	5.286312	0.000023				-6.334257																	0.000000																																																																-32596.093316	32596.420446							-0.992694	
 1 	 10																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.286383	0.000023				-6.334249																	0.000000																																																																-32680.053743	32680.380786							-0.992694	
 1 	 11																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.286170	0.000023				-6.334250																	0.000000																																																																-32726.968173	32727.295430							-0.992694	
 1 	 12																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.712979	5.286853	0.000030				-6.334271																	0.000000																																																																-32749.621496	32749.948600							-0.992694	
 1 	 13																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					0.000440	5.594856	0.026388				-6.318595																	0.000000																																																																-32764.114315	32765.803921							-0.992694	
 1 	 14																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					0.000447	5.594857	0.040278				-6.329249																	0.000000																																																																-32775.439474	32777.125838							-0.992694	
 1 	 15																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					0.000440	5.594856	0.039991				-6.329231																	0.000000																																																																-32771.219648	32772.906288							-0.992694	
 1 	 16																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.712990	5.287113	0.000030				-6.334270																	0.000000																																																																-32767.687498	32768.014331							-0.992694	
 1 	 17																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.286788	0.000023				-6.334251																	0.000000																																																																-32737.210085	32737.536725							-0.992694	
 1 	 18																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.287257	0.000023				-6.334250																	0.000000																																																																-32704.736473	32705.062643							-0.992694	
 1 	 19																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.287469	0.000023				-6.334249																	0.000000																																																																-32627.886085	32628.212043							-0.992694	
 1 	 20																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.287570	0.000023				-6.334249																	0.000000																																																																-32499.549897	32499.875753							-0.992694	
 1 	 21																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713494	5.287947	0.000023				-6.334249																	0.000000																																																																-32382.410199	32382.735679							-0.992694	
 1 	 22																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713494	5.288419	0.000023				-6.334249																	0.000000																																																																-32238.200747	32238.525755							-0.992694	
 1 	 23																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713494	5.289265	0.000023				-6.334251																	0.000000																																																																-32244.536399	32244.860564							-0.992694	
 1 	 24																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713495	5.290275	0.000023				-6.334253																	0.000000																																																																-33005.549951	33005.873106							-0.992694	
 2 	 1																				0.000000		0.000000																																																																																									-0.000000								-0.000002			-0.000000					1.713469	5.224697	0.000035				-6.334239																	0.000000																																																																-35213.310613	35213.699346							-0.992694	
 2 	 2																				0.000000		0.000000																																																																																									-0.000000								-0.000002			-0.000000					1.713469	5.221488	0.000035				-6.334241																	0.000000																																																																-35107.534077	35107.926021							-0.992694	
 2 	 3																				0.000000		0.000000																																																																																									-0.000000								-0.000001			-0.000000					1.713467	5.246007	0.000034				-6.334241																	0.000000																																																																-34882.195904	34882.563332							-0.992694	
 2 	 4																				0.000000		0.000000																																																																																									-0.000000								-0.000002			-0.000000					1.713466	5.215241	0.000034				-6.334233																	0.000000																																																																-33036.996180	33037.394367							-0.992694	
 2 	 5																				0.000000		0.000000																																																																																									-0.000000								-0.000002			-0.000000					1.713467	5.213209	0.000034				-6.334232																	0.000000																																																																-32210.420995	32210.821213							-0.992694	
 2 	 6																				0.000000		0.000000																																																																																									-0.000000								-0.000002			-0.000000					1.713468	5.217149	0.000034				-6.334226																	0.000000																																																																-32228.913996	32229.310267							-0.992694	
