Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																											151.991180	0.000042	0.000025	0.000003	0.000009	0.000009	0.000012	0.000008	0.000003	0.000000	0.000002																																																																											-0.000923	0.001003	-16.258267	11.820330	-0.000938	0.000958	-0.000960	0.000949	-0.000955	0.000954	-0.000958	0.000951	-0.000957	0.000951	-0.000947	0.000949	-0.000947	0.000951	-0.000947	0.000948																											-147.553438	
 1 	 2																																																																																											151.991180	0.000045	0.000025	0.000003	0.000009	0.000009	0.000012	0.000008	0.000003	0.000000	0.000002																																																																											-0.000922	0.001004	-14.144913	13.680885	-0.000938	0.000957	-0.000959	0.000949	-0.000954	0.000954	-0.000957	0.000950	-0.000954	0.000949	-0.000943	0.000945	-0.000946	0.000950	-0.000947	0.000948																											-151.527352	
 1 	 3																																																																																											151.991180	0.000046	0.000024	0.000003	0.000009	0.000009	0.000012	0.000008	0.000003	0.000000	0.000002																																																																											-0.000923	0.001005	-14.017979	13.814764	-0.000935	0.000953	-0.000958	0.000948	-0.000954	0.000953	-0.000956	0.000950	-0.000957	0.000951	-0.000943	0.000945	-0.000945	0.000949	-0.000947	0.000948																											-151.788166	
 1 	 4																																																																																											151.991180	0.000046	0.000024	0.000003	0.000009	0.000009	0.000013	0.000008	0.000003	0.000000	0.000002																																																																											-0.000921	0.001003	-13.882590	13.920031	-0.000940	0.000958	-0.000959	0.000949	-0.000955	0.000954	-0.000957	0.000951	-0.000958	0.000953	-0.000943	0.000945	-0.000944	0.000948	-0.000947	0.000948																											-152.028822	
 1 	 5																																																																																											151.991180	0.000046	0.000027	0.000003	0.000009	0.000009	0.000013	0.000008	0.000003	0.000000	0.000002																																																																											-0.000921	0.001005	-13.239604	14.593453	-0.000931	0.000950	-0.000960	0.000948	-0.000955	0.000954	-0.000958	0.000951	-0.000959	0.000952	-0.000945	0.000947	-0.000945	0.000949	-0.000947	0.000948																											-153.345232	
 1 	 6																																																																																											151.991180	0.000048	0.000026	0.000003	0.000009	0.000009	0.000013	0.000008	0.000003	0.000000	0.000002																																																																											-0.000920	0.001006	-11.239288	17.082091	-0.000934	0.000953	-0.000960	0.000948	-0.000955	0.000954	-0.000957	0.000951	-0.000958	0.000952	-0.000946	0.000948	-0.000946	0.000950	-0.000947	0.000948																											-157.834191	
 1 	 7																																																																																											151.991181	0.000049	0.000026	0.000003	0.000009	0.000009	0.000014	0.000008	0.000003	0.000000	0.000002																																																																											-0.000918	0.001006	-9.689481	19.437492	-0.000933	0.000952	-0.000959	0.000948	-0.000955	0.000954	-0.000957	0.000950	-0.000958	0.000952	-0.000945	0.000947	-0.000948	0.000953	-0.000947	0.000948																											-161.739405	
 1 	 8																																																																																											151.991181	0.000050	0.000026	0.000003	0.000009	0.000009	0.000014	0.000008	0.000003	0.000000	0.000002																																																																											-0.000919	0.001008	-8.500125	21.460173	-0.000936	0.000955	-0.000959	0.000949	-0.000954	0.000954	-0.000957	0.000950	-0.000958	0.000952	-0.000948	0.000950	-0.000951	0.000956	-0.000947	0.000948																											-164.951446	
 1 	 9																																																																																											151.991180	0.000053	0.000029	0.000003	0.000010	0.000009	0.000014	0.000008	0.000003	0.000001	0.000002																																																																											-0.000917	0.001009	-7.209724	23.931409	-0.000941	0.000959	-0.000961	0.000947	-0.000955	0.000954	-0.000957	0.000950	-0.000957	0.000951	-0.000947	0.000950	-0.000945	0.000950	-0.000947	0.000948																											-168.713088	
 1 	 10																																																																																											151.991181	0.000052	0.000022	0.000003	0.000009	0.000009	0.000014	0.000008	0.000003	0.000040	0.000002																																																																											-0.000918	0.001007	-6.238053	26.160247	-0.000939	0.000955	-0.000958	0.000950	-0.000955	0.000951	-0.000959	0.000950	-0.000959	0.000951	-0.000948	0.000948	-0.000948	0.000949	-0.000949	0.000947																											-171.913611	
 1 	 11																																																																																											151.991181	0.000053	0.000022	0.000003	0.000009	0.000009	0.000014	0.000009	0.000003	0.000178	0.000002																																																																											-0.000931	0.000997	-8.038390	22.334139	-0.000952	0.000948	-0.000961	0.000946	-0.000959	0.000946	-0.000962	0.000947	-0.000962	0.000948	-0.000955	0.000941	-0.000956	0.000940	-0.000954	0.000939																											-166.287191	
 1 	 12																																																																																											151.991184	0.000056	0.000003	0.000001	0.000001	0.000001	0.000015	0.000009	0.000003	0.000340	0.000019																																																																											-0.000953	0.000974	-11.589348	16.553368	-0.000967	0.000935	-0.000955	0.000953	-0.000968	0.000941	-0.000960	0.000948	-0.000960	0.000948	-0.000964	0.000933	-0.000956	0.000920	-0.000963	0.000931																											-156.955487	
 1 	 13																																																																																											151.991184	0.000057	0.000002	0.000001	0.000001	0.000001	0.000015	0.000009	0.000003	0.000450	0.000202																																																																											-0.001057	0.000873	-16.553432	11.602403	-0.000975	0.000923	-0.000955	0.000950	-0.000972	0.000935	-0.000959	0.000944	-0.000960	0.000943	-0.000972	0.000929	-0.001015	0.000965	-0.000970	0.000926																											-147.040449	
 1 	 14																																																																																											151.991184	0.000059	0.000002	0.000001	0.000001	0.000001	0.000015	0.000009	0.000003	0.000504	0.001573																																																																											-0.001935	0.000369	-20.043750	9.321904	-0.000980	0.000917	-0.000956	0.000950	-0.000974	0.000932	-0.000959	0.000943	-0.000961	0.000942	-0.000976	0.000927	-0.001017	0.000960	-0.000973	0.000924																											-141.269636	
 1 	 15																																																																																											151.991186	0.000061	0.000002	0.000001	0.000001	0.000001	0.000015	0.000009	0.000003	0.000447	0.000079																																																																											-0.000995	0.000927	-24.372918	7.043532	-0.000979	0.000918	-0.000956	0.000950	-0.000972	0.000935	-0.000958	0.000943	-0.000959	0.000943	-0.000974	0.000929	-0.001007	0.000956	-0.000970	0.000927																											-134.662079	
 1 	 16																																																																																											151.991186	0.000063	0.000003	0.000001	0.000001	0.000001	0.000016	0.000009	0.000003	0.000313	0.000017																																																																											-0.000956	0.000966	-28.006622	5.447421	-0.000973	0.000925	-0.000955	0.000952	-0.000966	0.000942	-0.000958	0.000947	-0.000958	0.000947	-0.000968	0.000935	-0.000990	0.000954	-0.000964	0.000933																											-129.432227	
 1 	 17																																																																																											151.991182	0.000064	0.000021	0.000003	0.000009	0.000008	0.000016	0.000009	0.000003	0.000146	0.000002																																																																											-0.000937	0.000989	-25.679075	6.375971	-0.000962	0.000937	-0.000962	0.000946	-0.000960	0.000949	-0.000960	0.000947	-0.000961	0.000948	-0.000958	0.000942	-0.000965	0.000949	-0.000953	0.000940																											-132.688286	
 1 	 18																																																																																											151.991180	0.000067	0.000021	0.000003	0.000009	0.000008	0.000016	0.000009	0.000003	0.000023	0.000002																																																																											-0.000926	0.000999	-21.509649	8.395752	-0.000953	0.000942	-0.000959	0.000949	-0.000955	0.000953	-0.000958	0.000950	-0.000959	0.000952	-0.000950	0.000946	-0.000949	0.000948	-0.000948	0.000946																											-138.877471	
 1 	 19																																																																																											151.991180	0.000073	0.000021	0.000003	0.000009	0.000008	0.000017	0.000010	0.000003	0.000001	0.000002																																																																											-0.000922	0.001003	-15.230848	12.663034	-0.000955	0.000946	-0.000957	0.000951	-0.000954	0.000954	-0.000957	0.000951	-0.000957	0.000952	-0.000949	0.000947	-0.000946	0.000948	-0.000947	0.000948																											-149.423563	
 1 	 20																																																																																											151.991180	0.000080	0.000020	0.000003	0.000009	0.000008	0.000017	0.000010	0.000003	0.000000	0.000002																																																																											-0.000922	0.001004	-14.779211	13.093390	-0.000954	0.000937	-0.000957	0.000951	-0.000953	0.000952	-0.000957	0.000951	-0.000957	0.000951	-0.000949	0.000947	-0.000941	0.000942	-0.000938	0.000938																											-150.305558	
 1 	 21																																																																																											151.991181	0.000077	0.000020	0.000003	0.000009	0.000008	0.000018	0.000011	0.000003	0.000000	0.000002																																																																											-0.000922	0.001004	-14.048413	13.765390	-0.000950	0.000938	-0.000957	0.000951	-0.000954	0.000954	-0.000957	0.000951	-0.000957	0.000951	-0.000949	0.000947	-0.000949	0.000951	-0.000947	0.000948																											-151.708358	
 1 	 22																																																																																											151.991181	0.000080	0.000020	0.000003	0.000009	0.000008	0.000018	0.000010	0.000003	0.000000	0.000002																																																																											-0.000922	0.001003	-15.238968	12.656343	-0.000952	0.000935	-0.000957	0.000951	-0.000954	0.000954	-0.000957	0.000951	-0.000957	0.000951	-0.000949	0.000946	-0.000952	0.000953	-0.000947	0.000948																											-149.408754	
 1 	 23																																																																																											151.991181	0.000083	0.000020	0.000003	0.000009	0.000008	0.000018	0.000010	0.000003	0.000000	0.000002																																																																											-0.000922	0.001004	-14.143720	13.668583	-0.000953	0.000934	-0.000957	0.000951	-0.000954	0.000954	-0.000957	0.000951	-0.000957	0.000951	-0.000949	0.000946	-0.000960	0.000962	-0.000947	0.000948																											-151.516245	
 1 	 24																																																																																											151.991181	0.000090	0.000020	0.000003	0.000009	0.000008	0.000019	0.000008	0.000003	0.000000	0.000002																																																																											-0.000922	0.001004	-14.131631	13.677063	-0.000963	0.000938	-0.000957	0.000951	-0.000954	0.000954	-0.000957	0.000951	-0.000958	0.000952	-0.000948	0.000944	-0.000958	0.000962	-0.000947	0.000948																											-151.536813	
