Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1			0.000000		0.000000																																																																																																		-0.049786	-0.059005					-0.000000								-2.282966				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29100.148656	29101.598940															0.000000	
 1 	 2			0.000000		0.000000																																																																																																		-0.019932	-0.023622					-0.000000								-2.282966				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29019.413534	29020.798581															0.000000	
 1 	 3			0.000000		0.000000																																																																																																		-0.009923	-0.011761					-0.000000								-2.282966				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-26567.008883	26568.372061															0.000000	
 1 	 4			0.000000		0.000000																																																																																																		-0.119589	-0.141733					-0.000000								-2.282966				-0.000000																										0.000000								0.941470	0.000001	0.000001																																																	-29097.975072	29099.577888															0.000000	
 1 	 5			0.000000		0.000000																																																																																																		-0.318905	-0.377956					-0.000000								-2.282967				-0.000000																										0.000000								0.903941	0.000001	0.000001																																																	-29096.650398	29098.726283															0.000000	
 1 	 6			0.000000		0.000000																																																																																																		-0.797261	-0.944889					-0.000000								-2.282968				-0.000000																										0.000000								0.890623	0.000001	0.000001																																																	-29110.606699	29113.741192															0.000000	
 1 	 7			0.000000		0.000000																																																																																																		-1.544482	-1.830472					-0.000000								-2.282968				-0.000000																										0.000000								0.890670	0.000001	0.000001																																																	-29125.602521	29130.369771															0.000000	
 1 	 8			0.000000		0.000000																																																																																																		-1.345192	-1.594280					-0.000000								-2.282968				-0.000000																										0.000000								0.496518	0.000001	0.000001																																																	-29134.787677	29139.513597															0.000000	
 1 	 9			0.000000		0.000000																																																																																																		-1.245551	-1.476189					-0.000000								-2.282968				-0.000000																										0.000000								0.000106	0.000001	0.000001																																																	-29146.683443	29151.688042															0.000000	
 1 	 10			0.000000		0.000000																																																																																																		-1.395021	-1.653335					-0.000000								-2.282968				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29153.029912	29157.419762															0.000000	
 1 	 11			0.000000		0.000000																																																																																																		-1.594302	-1.889518					-0.000000								-2.282968				-0.000000																										0.000000								0.941472	0.000001	0.000001																																																	-29154.404943	29159.230257															0.000000	
 1 	 12			0.000000		0.000000																																																																																																		-1.753737	-2.078475					-0.000000								-1.408750				-0.000000																										0.000000								1.298361	0.000001	0.000001																																																	-29154.625904	29158.568504															0.000000	
 1 	 13			0.000000		0.000000																																																																																																		-1.594302	-1.889518					-0.000000								-1.403904				-0.000000																										0.000000								3.982896	0.000001	0.000001																																																	-29156.554830	29157.459655															0.000000	
 1 	 14			0.000000		0.000000																																																																																																		-1.614234	-1.913140					-0.000000								-1.406792				-0.000000																										0.000000								2.768654	0.000001	0.000001																																																	-29156.459246	29158.624755															0.000000	
 1 	 15			0.000000		0.000000																																																																																																		-1.813524	-2.149332					-0.000000								-1.409279				-0.000000																										0.000000								3.982895	0.000001	0.000001																																																	-29155.413809	29156.803046															0.000000	
 1 	 16			0.000000		0.000000																																																																																																		-1.893241	-2.243811					-0.000000								-1.410888				-0.000000																										0.000000								1.608229	0.000001	0.000001																																																	-29155.516153	29159.455862															0.000000	
 1 	 17			0.000000		0.000000																																																																																																		-1.893241	-2.243811					-0.000000								-2.282968				-0.000000																										0.000000								0.941472	0.000001	0.000001																																																	-29152.628460	29158.107006															0.000000	
 1 	 18			0.000000		0.000000																																																																																																		-1.395021	-1.653335					-0.000000								-2.282967				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29154.212934	29158.602785															0.000000	
 1 	 19			0.000000		0.000000																																																																																																		-0.996441	-1.180951					-0.000000								-2.282967				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29153.229923	29156.748809															0.000000	
 1 	 20			0.000000		0.000000																																																																																																		-0.747220	-0.885583					-0.000000								-2.282967				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29149.263447	29152.237744															0.000000	
 1 	 21			0.000000		0.000000																																																																																																		-0.497864	-0.590053					-0.000000								-2.282967				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29151.742130	29154.171541															0.000000	
 1 	 22			0.000000		0.000000																																																																																																		-0.318905	-0.377956					-0.000000								-2.282967				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29150.428544	29152.466898															0.000000	
 1 	 23			0.000000		0.000000																																																																																																		-0.199315	-0.236222					-0.000000								-2.282966				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29131.904720	29133.681751															0.000000	
 1 	 24			0.000000		0.000000																																																																																																		-0.079726	-0.094489					-0.000000								-2.282967				-0.000000																										0.000000								0.941471	0.000001	0.000001																																																	-29067.516791	29069.032500															0.000000	
 2 	 1			0.000000		0.000000																																																																																																		-0.049786	-0.059005					-0.000000								-1.200505				-0.000000																										0.000000								3.982920	0.000001	0.000001																																																	-29003.199361	29000.525735															0.000000	
 2 	 2			0.000000		0.000000																																																																																																		-0.019932	-0.023622					-0.000000								-1.149920				-0.000000																										0.000000								3.982920	0.000001	0.000001																																																	-28985.011250	28982.221802															0.000000	
 2 	 3			0.000000		0.000000																																																																																																		-0.009923	-0.011761					-0.000000								-1.217517				-0.000000																										0.000000								3.982921	0.000001	0.000001																																																	-26841.582812	26838.839089															0.000000	
 2 	 4			0.000000		0.000000																																																																																																		-0.119589	-0.141733					-0.000000								-1.399854				-0.000000																										0.000000								3.982920	0.000001	0.000001																																																	-29124.644565	29122.322819															0.000000	
