Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1									0.086325	0.000000																								0.000018	0.000020	0.075589	0.000285	0.006524	0.000082	0.004350	0.000343	0.000530	0.000008	0.007604	0.000001	0.000001	0.065705	0.006093	0.005205	0.107391	0.047597	0.002142	0.000518	0.148346	0.009469	0.008717	0.006068	0.029783	0.012246	0.000012																																																								5.159311																																												6.767076							-12.557360																																																							0.000000	
 1 	 2									0.086325	0.000000																								0.000018	0.000020	0.075528	0.000285	0.006518	0.000082	0.004346	0.000343	0.000530	0.000008	0.007599	0.000001	0.000001	0.065667	0.006087	0.005200	0.107299	0.047561	0.002140	0.000518	0.148239	0.009234	0.008567	0.005908	0.029290	0.012359	0.000012																																																								5.159311																																												6.767076							-12.556071																																																							0.000000	
 1 	 3									0.086325	0.000000																								0.000017	0.000020	0.075366	0.000284	0.006501	0.000081	0.004335	0.000342	0.000528	0.000008	0.007586	0.000001	0.000001	0.065565	0.006070	0.005187	0.107058	0.047468	0.002135	0.000516	0.147953	0.009002	0.008423	0.005889	0.028811	0.012458	0.000012																																																								5.159311																																												6.767076							-12.554332																																																							0.000000	
 1 	 4									0.086325	0.000000																								0.000018	0.000020	0.075574	0.000285	0.006523	0.000082	0.004349	0.000343	0.000530	0.000008	0.007603	0.000001	0.000001	0.065697	0.006091	0.005204	0.107368	0.047588	0.002141	0.000518	0.148325	0.009416	0.008682	0.006025	0.029661	0.012274	0.000012																																																								5.159311																																												6.767076							-12.557050																																																							0.000000	
 1 	 5									0.086325	0.000000																								0.000018	0.000020	0.075560	0.000285	0.006521	0.000082	0.004348	0.000343	0.000530	0.000008	0.007602	0.000001	0.000001	0.065689	0.006090	0.005203	0.107347	0.047580	0.002141	0.000518	0.148302	0.009446	0.008696	0.006051	0.029702	0.012262	0.000012																																																								5.159311																																												6.767076							-12.557070																																																							0.000000	
 1 	 6									0.086325	0.000000																								0.000018	0.000020	0.075543	0.000285	0.006519	0.000082	0.004347	0.000343	0.000530	0.000008	0.007600	0.000001	0.000001	0.065679	0.006088	0.005202	0.107323	0.047571	0.002140	0.000518	0.148275	0.009441	0.008691	0.006046	0.029685	0.012266	0.000012																																																								5.159311																																												6.767076							-12.556945																																																							0.000000	
 1 	 7									0.086325	0.000000																								0.000018	0.000020	0.075538	0.000285	0.006519	0.000082	0.004347	0.000343	0.000530	0.000008	0.007600	0.000001	0.000001	0.065676	0.006088	0.005201	0.107315	0.047568	0.002140	0.000518	0.148267	0.009420	0.008680	0.006030	0.029644	0.012275	0.000012																																																								5.159311																																												6.767076							-12.556836																																																							0.000000	
 1 	 8									0.086325	0.000000																								0.000017	0.000020	0.075514	0.000285	0.006516	0.000082	0.004345	0.000343	0.000530	0.000008	0.007598	0.000001	0.000001	0.065661	0.006085	0.005199	0.107278	0.047554	0.002139	0.000517	0.148226	0.009462	0.008708	0.006063	0.029733	0.012254	0.000012																																																								5.159311																																												6.767076							-12.556863																																																							0.000000	
 1 	 9									0.086325	0.000000																								0.000017	0.000020	0.075265	0.000284	0.006490	0.000081	0.004328	0.000341	0.000527	0.000008	0.007578	0.000001	0.000001	0.065504	0.006059	0.005179	0.106907	0.047404	0.002131	0.000515	0.147795	0.009452	0.008701	0.006055	0.029710	0.012260	0.000012																																																								5.159311																																												6.767076							-12.555340																																																							0.000000	
 1 	 10									0.086325	0.000000																								0.000017	0.000020	0.075289	0.000284	0.006492	0.000081	0.004330	0.000341	0.000528	0.000008	0.007580	0.000001	0.000001	0.065520	0.006061	0.005181	0.106942	0.047420	0.002132	0.000516	0.147838	0.009455	0.008703	0.006058	0.029714	0.012258	0.000012																																																								5.159311																																												6.767076							-12.555495																																																							0.000000	
 1 	 11									0.086325	0.000000																								0.000018	0.000020	0.075672	0.000286	0.006533	0.000082	0.004356	0.000344	0.000531	0.000008	0.007610	0.000001	0.000001	0.065762	0.006101	0.005212	0.107513	0.047637	0.002145	0.000519	0.148519	0.009445	0.008697	0.006049	0.029701	0.012262	0.000012																																																								5.159311																																												6.767076							-12.557746																																																							0.000000	
 1 	 12									0.086325	0.000000																								0.000018	0.000020	0.075671	0.000286	0.006533	0.000082	0.004356	0.000344	0.000531	0.000008	0.007610	0.000001	0.000001	0.065762	0.006100	0.005212	0.107513	0.047637	0.002145	0.000519	0.148521	0.009460	0.008700	0.006061	0.029705	0.012259	0.000012																																																								5.159311																																												6.767076							-12.557777																																																							0.000000	
 1 	 13									0.086325	0.000000																								0.000017	0.000020	0.075286	0.000284	0.006492	0.000081	0.004330	0.000341	0.000527	0.000008	0.007579	0.000001	0.000001	0.065519	0.006061	0.005181	0.106937	0.047417	0.002132	0.000516	0.147839	0.009479	0.008718	0.006090	0.029767	0.012244	0.000012																																																								5.159311																																												6.767076							-12.555591																																																							0.000000	
 1 	 14									0.086325	0.000000																								0.000017	0.000020	0.075262	0.000284	0.006489	0.000081	0.004328	0.000341	0.000527	0.000008	0.007577	0.000001	0.000001	0.065505	0.006058	0.005179	0.106902	0.047403	0.002131	0.000515	0.147802	0.009532	0.008748	0.006116	0.029849	0.012223	0.000012																																																								5.159311																																												6.767076							-12.555627																																																							0.000000	
