Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																			0.000000		0.000000																																										-0.000099																																																															0.000005																									-0.000003																																																													-27807.618111	27811.961244									-4.343037	
 1 	 2																			0.000000		0.000000																																										-0.000099																																																															0.000005																									-0.000003																																																													-27724.479493	27728.822626									-4.343037	
 1 	 3																			0.000000		0.000000																																										-0.000099																																																															0.000005																									-0.000003																																																													-27448.589266	27452.932399									-4.343037	
 1 	 4																			0.000000		0.000000																																										-0.000099																																																															0.000006																									-0.000003																																																													-27894.473710	27898.816842									-4.343037	
 1 	 5																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27889.248050	27893.591183									-4.343037	
 1 	 6																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27887.003117	27891.346250									-4.343037	
 1 	 7																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27884.505890	27888.849022									-4.343037	
 1 	 8																			0.000000		0.000000																																										-0.000099																																																															0.000006																									-0.000003																																																													-27881.203189	27885.546321									-4.343037	
 1 	 9																			0.000000		0.000000																																										-0.000100																																																															0.000005																									-0.000003																																																													-27889.444312	27893.787446									-4.343037	
 1 	 10																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27894.070620	27898.413753									-4.343037	
 1 	 11																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27896.186279	27900.529412									-4.343037	
 1 	 12																			0.000000		0.000000																																										-0.000004																																																															0.000023																									-0.000003																																																													-27897.033379	27901.376399									-4.343037	
 1 	 13																			0.000000		0.000000																																										-0.000002																																																															5.370401																									-0.000003																																																													-27899.357943	27898.330583									-4.343037	
 1 	 14																			0.000000		0.000000																																										-0.000001																																																															5.370400																									-0.000003																																																													-27897.233888	27896.206529									-4.343037	
 1 	 15																			0.000000		0.000000																																										-0.000002																																																															5.370401																									-0.000003																																																													-27897.988909	27896.961549									-4.343037	
 1 	 16																			0.000000		0.000000																																										-0.000003																																																															0.000022																									-0.000003																																																													-27897.583691	27901.926711									-4.343037	
 1 	 17																			0.000000		0.000000																																										-0.000097																																																															0.000006																									-0.000003																																																													-27892.424256	27896.767386									-4.343037	
 1 	 18																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27887.248073	27891.591206									-4.343037	
 1 	 19																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27880.628332	27884.971466									-4.343037	
 1 	 20																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27883.329264	27887.672398									-4.343037	
 1 	 21																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27886.734745	27891.077878									-4.343037	
 1 	 22																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27894.747972	27899.091105									-4.343037	
 1 	 23																			0.000000		0.000000																																										-0.000100																																																															0.000006																									-0.000003																																																													-27926.393703	27930.736837									-4.343037	
 1 	 24																			0.000000		0.000000																																										-0.000099																																																															0.000005																									-0.000003																																																													-28060.755324	28065.098457									-4.343037	
 2 	 1																			0.000000		0.000000																																										-0.000003																																																															0.000060																									-0.000003																																																													-27997.306511	28001.649493									-4.343037	
 2 	 2																			0.000000		0.000000																																										-0.000003																																																															0.000054																									-0.000003																																																													-27757.063690	27761.406679									-4.343037	
 2 	 3																			0.000000		0.000000																																										-0.000003																																																															0.000049																									-0.000003																																																													-27550.427431	27554.770425									-4.343037	
 2 	 4																			0.000000		0.000000																																										-0.000003																																																															0.000064																									-0.000003																																																													-27874.861787	27879.204765									-4.343037	
 2 	 5																			0.000000		0.000000																																										-0.000003																																																															0.000064																									-0.000003																																																													-27875.086187	27879.429166									-4.343037	
 2 	 6																			0.000000		0.000000																																										-0.000003																																																															0.000063																									-0.000003																																																													-27872.701685	27877.044665									-4.343037	
 2 	 7																			0.000000		0.000000																																										-0.000003																																																															0.000061																									-0.000003																																																													-27874.894351	27879.237333									-4.343037	
 2 	 8																			0.000000		0.000000																																										-0.000003																																																															0.000059																									-0.000003																																																													-27886.221467	27890.564450									-4.343037	
 2 	 9																			0.000000		0.000000																																										-0.000003																																																															0.000057																									-0.000003																																																													-27892.982548	27897.325534									-4.343037	
 2 	 10																			0.000000		0.000000																																										-0.000003																																																															0.000061																									-0.000003																																																													-27896.083106	27900.426088									-4.343037	
 2 	 11																			0.000000		0.000000																																										-0.000002																																																															5.370292																									-0.000003																																																													-27899.827813	27898.800563									-4.343037	
 2 	 12																			0.000000		0.000000																																										-0.000002																																																															5.370239																									-0.000003																																																													-27899.061921	27898.034724									-4.343037	
 2 	 13																			0.000000		0.000000																																										-0.000002																																																															5.370393																									-0.000003																																																													-27896.148152	27895.120801									-4.343037	
 2 	 14																			0.000000		0.000000																																										-0.000002																																																															5.370372																									-0.000003																																																													-27893.623522	27892.596192									-4.343037	
 2 	 15																			0.000000		0.000000																																										-0.000002																																																															5.370340																									-0.000003																																																													-27891.266906	27890.239607									-4.343037	
 2 	 16																			0.000000		0.000000																																										-0.000002																																																															5.370272																									-0.000003																																																													-27888.294340	27887.267110									-4.343037	
 2 	 17																			0.000000		0.000000																																										-0.000002																																																															5.370295																									-0.000003																																																													-27884.013155	27882.985903									-4.343037	
 2 	 18																			0.000000		0.000000																																										-0.000003																																																															0.000065																									-0.000003																																																													-27873.157281	27877.500258									-4.343037	
