Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068644		0.000000			1.308050									-0.000002																																	-0.000150	0.000241	-21.894655	51.759374																							-26.104247	
 1 	 2																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068643		0.000000			1.308049									-0.000002																																	-0.000172	0.000213	-21.645212	52.211259																							-26.805526	
 1 	 3																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000017					-5.068640		0.000000			1.308047									-0.000003																																	-0.000185	0.000198	-21.639782	52.251882																							-26.851552	
 1 	 4																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068641		0.000000			1.308048									-0.000002																																	-0.000188	0.000196	-21.625737	52.280312																							-26.894020	
 1 	 5																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068558		0.000000			1.307978									-0.000002																																	-0.000192	0.000192	-21.548039	52.434912																							-27.126325	
 1 	 6																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068555		0.000000			1.307975									-0.000002																																	-0.000193	0.000191	-21.266931	52.945975																							-27.918494	
 1 	 7																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068554		0.000000			1.307975									-0.000002																																	-0.000194	0.000189	-21.025343	53.393545																							-28.607649	
 1 	 8																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068136		0.000000			1.307626									-0.000002																																	-0.000192	0.000191	-20.815957	53.750899																							-29.174462	
 1 	 9																																																																																0.000003	0.000022	0.000005	0.000005	0.000004	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-3.501217		0.000000			0.000087									-0.000002																																	-0.000194	0.000190	-20.702938	53.976942																							-29.772905	
 1 	 10																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000002																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068564		0.000000			1.307983									-0.000002																																	-0.000193	0.000190	-20.386277	54.549925																							-30.403098	
 1 	 11																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000010																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068565		0.000000			1.307983									-0.000002																																	-0.000193	0.000190	-20.734602	53.905345																							-29.410200	
 1 	 12																																																																																21.799223	0.000004	0.000002	0.000002	0.000001	0.000003	0.000002	0.000003	0.000002		0.000020																																				0.000003	0.000001															0.000001	0.000001	-0.000009					-5.068688		0.000000			1.308103									-0.000027																																	-0.000193	0.000191	-29.598997	40.413748																							-28.853396	
 1 	 13																																																																																23.273187	0.000001	0.000002	0.000002	0.000001	0.000003	0.000003	0.000004	0.000002		0.000027																																				0.719861	0.000001															0.000001	0.000001	-0.000195					-1.966450		0.000000			1.586962									-4.706413																																	-0.000193	0.000190	-30.730455	39.050775																							-27.227317	
 1 	 14																																																																																23.273182	0.000001	0.000002	0.000002	0.000001	0.000002	0.000003	0.000004	0.000002		0.000030																																				0.719860	0.000001															0.000001	0.000001	-0.000196					-1.264287		0.000000			1.001031									-4.706413																																	-0.000192	0.000191	-31.263747	38.420161																							-26.179642	
 1 	 15																																																																																23.273187	0.000001	0.000002	0.000002	0.000001	0.000003	0.000003	0.000004	0.000002		0.000026																																				0.719861	0.000001															0.000001	0.000001	-0.000195					-1.362648		0.000000			1.083111									-4.706413																																	-0.000191	0.000191	-31.799106	37.809863																							-25.017706	
 1 	 16																																																																																22.126521	0.000004	0.000002	0.000002	0.000001	0.000003	0.000002	0.000003	0.000002		0.000018																																				0.000003	0.000001															0.000001	0.000001	-0.000009					-5.068688		0.000000			1.308187									-0.000163																																	-0.000192	0.000191	-31.966948	37.613777																							-24.012719	
 1 	 17																																																																																0.000004	0.000022	0.000004	0.000005	0.000003	0.000004	0.000002	0.000003	0.000002		0.000008																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068564		0.000000			1.307983									-0.000002																																	-0.000192	0.000191	-22.891077	50.132600																							-23.480982	
 1 	 18																																																																																0.000004	0.000022	0.000004	0.000005	0.000003	0.000004	0.000002	0.000003	0.000002		0.000001																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068563		0.000000			1.307982									-0.000002																																	-0.000193	0.000190	-22.493339	50.827079																							-24.573191	
 1 	 19																																																																																0.000004	0.000022	0.000004	0.000004	0.000003	0.000004	0.000002	0.000003	0.000002		0.000000																																				0.000001	0.000001															0.000001	0.000002	-0.000018					-5.068563		0.000000			1.307982									-0.000002																																	-0.000194	0.000189	-21.819619	52.014438																							-26.434266	
