Name	C_inv	C_maint	C_op
NUCLEAR	15359.467025	6175.859123	0.000000
CCGT	336.154057	119.991485	0.000000
CCGT_AMMONIA	0.001551	0.000554	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1490.001500	2927.867871	0.000000
WIND_ONSHORE	5571.460242	996.141173	0.000000
WIND_OFFSHORE	19638.348140	2100.394812	0.000000
HYDRO_RIVER	5663.687718	1109.785486	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000860	0.000779	0.000000
IND_COGEN_WOOD	0.000759	0.000391	0.000000
IND_COGEN_WASTE	0.000917	0.000477	0.000000
IND_BOILER_GAS	0.000669	0.000151	0.000000
IND_BOILER_WOOD	0.000703	0.000158	0.000000
IND_BOILER_OIL	0.000653	0.000158	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	196.390890	44.280937	0.000000
IND_DIRECT_ELEC	598.384501	28.175787	0.000000
DHN_HP_ELEC	651.115178	311.172974	0.000000
DHN_COGEN_GAS	0.001079	0.000445	0.000000
DHN_COGEN_WOOD	0.000541	0.000279	0.000000
DHN_COGEN_WASTE	0.000769	0.000399	0.000000
DHN_COGEN_WET_BIOMASS	0.000412	0.000473	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.001183	0.000600	0.000000
DHN_BOILER_GAS	0.000144	0.000032	0.000000
DHN_BOILER_WOOD	0.000216	0.000049	0.000000
DHN_BOILER_OIL	0.000131	0.000032	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000783	0.000014	0.000000
DEC_HP_ELEC	7873.406215	3837.427274	0.000000
DEC_THHP_GAS	0.001169	0.000426	0.000000
DEC_COGEN_GAS	0.000997	0.000798	0.000000
DEC_COGEN_OIL	0.000951	0.000727	0.000000
DEC_ADVCOGEN_GAS	0.001717	0.000399	0.000000
DEC_ADVCOGEN_H2	0.001847	0.000429	0.000000
DEC_BOILER_GAS	0.001240	0.000419	0.000000
DEC_BOILER_WOOD	0.001256	0.000496	0.000000
DEC_BOILER_OIL	0.000971	0.000656	0.000000
DEC_SOLAR	0.016552	0.002289	0.000000
DEC_DIRECT_ELEC	0.001771	0.000080	0.000000
TRAMWAY_TROLLEY	662.296945	203.622547	0.000000
BUS_COACH_DIESEL	1569.439671	861.261636	0.000000
BUS_COACH_HYDIESEL	0.565245	0.237756	0.000000
BUS_COACH_CNG_STOICH	0.000697	0.000378	0.000000
BUS_COACH_FC_HYBRIDH2	0.000615	0.000179	0.000000
TRAIN_PUB	4450.017753	2755.793561	0.000000
CAR_GASOLINE	0.000098	0.000061	0.000000
CAR_DIESEL	0.000114	0.000069	0.000000
CAR_NG	0.000171	0.000103	0.000000
CAR_METHANOL	0.000084	0.000053	0.000000
CAR_HEV	0.000106	0.000088	0.000000
CAR_PHEV	0.049323	0.036765	0.000000
CAR_BEV	96307.580905	16289.798199	0.000000
CAR_FUEL_CELL	0.003475	0.000340	0.000000
PLANE	0.000000	0.000000	0.000000
BOAT_FREIGHT_DIESEL	44.208948	40.107612	0.000000
BOAT_FREIGHT_NG	40.483838	36.281102	0.000000
BOAT_FREIGHT_METHANOL	0.000494	0.000448	0.000000
TRAIN_FREIGHT	111.058409	38.111605	0.000000
TRUCK_DIESEL	0.000397	0.000218	0.000000
TRUCK_METHANOL	0.000071	0.000039	0.000000
TRUCK_FUEL_CELL	5035.380099	1466.096312	0.000000
TRUCK_ELEC	0.002831	0.000774	0.000000
TRUCK_NG	0.000012	0.000007	0.000000
HABER_BOSCH	414.400717	100.970387	0.000000
CO2_TO_METHANOL	0.000823	0.000410	0.000000
E_WOOD_TO_METHANOL	684.328149	341.129653	0.000000
METHANE_TO_METHANOL	0.000705	0.000398	0.000000
OIL_TO_HVC	87.145427	4.808953	0.000000
