Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 2																																																																																																																					2.283027	0.000070	0.000008																																																																																																							-2.283105	
 1 	 3																																																																																																																					2.283030	0.000067	0.000008																																																																																																							-2.283105	
 1 	 4																																																																																																																					2.283022	0.000074	0.000008																																																																																																							-2.283105	
 1 	 5																																																																																																																					2.283023	0.000073	0.000008																																																																																																							-2.283105	
 1 	 6																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 7																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 8																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 9																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 10																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 11																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 12																																																																																																																					1.440224	0.842872	0.000008																																																																																																							-2.283105	
 1 	 13																																																																																																																					1.423442	0.859654	0.000008																																																																																																							-2.283105	
 1 	 14																																																																																																																					1.429264	0.853833	0.000008																																																																																																							-2.283105	
 1 	 15																																																																																																																					1.433699	0.849398	0.000008																																																																																																							-2.283105	
 1 	 16																																																																																																																					1.443696	0.839401	0.000008																																																																																																							-2.283105	
 1 	 17																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 18																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 1 	 19																																																																																																																					2.283023	0.000073	0.000008																																																																																																							-2.283105	
 1 	 20																																																																																																																					2.283023	0.000073	0.000008																																																																																																							-2.283105	
 1 	 21																																																																																																																					2.283023	0.000074	0.000008																																																																																																							-2.283105	
 1 	 22																																																																																																																					2.283023	0.000074	0.000008																																																																																																							-2.283105	
 1 	 23																																																																																																																					2.283023	0.000074	0.000008																																																																																																							-2.283105	
 1 	 24																																																																																																																					2.283024	0.000073	0.000008																																																																																																							-2.283105	
 2 	 1																																																																																																																					1.297593	0.985502	0.000010																																																																																																							-2.283105	
 2 	 2																																																																																																																					1.205541	1.077554	0.000009																																																																																																							-2.283105	
 2 	 3																																																																																																																					1.304429	0.978666	0.000009																																																																																																							-2.283105	
 2 	 4																																																																																																																					1.449368	0.833727	0.000010																																																																																																							-2.283105	
 2 	 5																																																																																																																					1.488821	0.794275	0.000010																																																																																																							-2.283105	
 2 	 6																																																																																																																					1.509944	0.773152	0.000010																																																																																																							-2.283105	
 2 	 7																																																																																																																					1.529647	0.753448	0.000010																																																																																																							-2.283105	
 2 	 8																																																																																																																					1.520991	0.762105	0.000010																																																																																																							-2.283105	
 2 	 9																																																																																																																					1.511866	0.771229	0.000010																																																																																																							-2.283105	
 2 	 10																																																																																																																					1.503654	0.779441	0.000010																																																																																																							-2.283105	
 2 	 11																																																																																																																					1.148890	1.134206	0.000010																																																																																																							-2.283105	
 2 	 12																																																																																																																					1.140417	1.142678	0.000010																																																																																																							-2.283105	
 2 	 13																																																																																																																					1.133200	1.149896	0.000010																																																																																																							-2.283105	
 2 	 14																																																																																																																					1.132743	1.150353	0.000010																																																																																																							-2.283105	
 2 	 15																																																																																																																					1.134597	1.148498	0.000010																																																																																																							-2.283105	
 2 	 16																																																																																																																					1.140402	1.142693	0.000010																																																																																																							-2.283105	
 2 	 17																																																																																																																					1.145167	1.137929	0.000010																																																																																																							-2.283105	
 2 	 18																																																																																																																					1.489275	0.793820	0.000010																																																																																																							-2.283105	
 2 	 19																																																																																																																					1.486836	0.796260	0.000010																																																																																																							-2.283105	
 2 	 20																																																																																																																					1.484767	0.798329	0.000010																																																																																																							-2.283105	
 2 	 21																																																																																																																					1.469673	0.813423	0.000010																																																																																																							-2.283105	
 2 	 22																																																																																																																					1.472987	0.810109	0.000010																																																																																																							-2.283105	
 2 	 23																																																																																																																					1.471445	0.811651	0.000010																																																																																																							-2.283105	
 2 	 24																																																																																																																					1.420850	0.862245	0.000010																																																																																																							-2.283105	
 3 	 1																																																																																																																					0.889174	1.393926	0.000005																																																																																																							-2.283105	
 3 	 2																																																																																																																					0.873312	1.409788	0.000005																																																																																																							-2.283105	
 3 	 3																																																																																																																					0.873317	1.409783	0.000005																																																																																																							-2.283105	
 3 	 4																																																																																																																					0.792401	1.490699	0.000005																																																																																																							-2.283105	
 3 	 5																																																																																																																					0.924008	1.359092	0.000005																																																																																																							-2.283105	
 3 	 6																																																																																																																					0.932780	1.350319	0.000005																																																																																																							-2.283105	
 3 	 7																																																																																																																					0.859150	1.423950	0.000005																																																																																																							-2.283105	
 3 	 8																																																																																																																					0.952522	1.330578	0.000005																																																																																																							-2.283105	
 3 	 9																																																																																																																					0.952805	1.330294	0.000005																																																																																																							-2.283105	
 3 	 10																																																																																																																					0.958150	1.324950	0.000005																																																																																																							-2.283105	
 3 	 11																																																																																																																					0.971955	1.311145	0.000005																																																																																																							-2.283105	
 3 	 12																																																																																																																					0.961270	1.321829	0.000005																																																																																																							-2.283105	
 3 	 13																																																																																																																					0.948484	1.334616	0.000005																																																																																																							-2.283105	
 3 	 14																																																																																																																					0.947371	1.335728	0.000005																																																																																																							-2.283105	
 3 	 15																																																																																																																					0.953189	1.329911	0.000005																																																																																																							-2.283105	
 3 	 16																																																																																																																					0.954194	1.328906	0.000005																																																																																																							-2.283105	
 3 	 17																																																																																																																					0.949413	1.333687	0.000005																																																																																																							-2.283105	
