Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1				0.000000	0.000000			0.000000														0.000000		4.018753					3.776203					-0.000469	-0.000725	-1.168247	-0.010261	-0.101146	-0.002933	-0.067435	-0.005321	-0.019054	-0.000026	-0.830230	-0.000016	-0.000015	-1.794575	-0.167059	-0.186908	-0.967451	-1.300275	-0.077694	-0.020520	-4.034591	-0.035523	-0.103206	-0.022877	-0.153338	-0.624106	-0.000096																																																																																									0.442450										-6.270000			-0.000001	-0.000004				12.759038																																																							0.000000	
 1 	 2				0.000000	0.000000			0.000000														0.000000		3.998465					3.776107					-0.000469	-0.000725	-1.167632	-0.010253	-0.101055	-0.002931	-0.067368	-0.005317	-0.019037	-0.000027	-0.829931	-0.000016	-0.000015	-1.793615	-0.166921	-0.186753	-0.966440	-1.299587	-0.077619	-0.020502	-4.030727	-0.034946	-0.102001	-0.022557	-0.151184	-0.628364	-0.000097																																																																																									0.442450										-6.270000			-0.000001	-0.000004				12.757927																																																							0.000000	
 1 	 3				0.000000	0.000000			0.000000														0.000000		3.991663					3.776905					-0.000468	-0.000724	-1.166002	-0.010231	-0.100757	-0.002925	-0.067188	-0.005306	-0.018992	-0.000028	-0.829083	-0.000016	-0.000015	-1.791070	-0.166470	-0.186268	-0.963619	-1.297763	-0.077410	-0.020453	-4.020471	-0.034628	-0.100847	-0.022405	-0.149398	-0.631774	-0.000097																																																																																									0.442451										-6.270000			-0.000001	-0.000004				12.756244																																																							0.000000	
 1 	 4				0.000000	0.000000			0.000000														0.000000		4.066195					3.775602					-0.000469	-0.000725	-1.168108	-0.010259	-0.101127	-0.002932	-0.067420	-0.005320	-0.019050	-0.000026	-0.830178	-0.000016	-0.000015	-1.794364	-0.167026	-0.186871	-0.967216	-1.300121	-0.077679	-0.020516	-4.033770	-0.035387	-0.102927	-0.022798	-0.152731	-0.625208	-0.000096																																																																																									0.442450										-6.270000			-0.000001	-0.000004				12.758766																																																							0.000000	
 1 	 5				0.000000	0.000000			0.000000														0.000000		4.201668					3.775589					-0.000469	-0.000725	-1.167975	-0.010257	-0.101109	-0.002932	-0.067405	-0.005319	-0.019046	-0.000027	-0.830109	-0.000016	-0.000015	-1.794158	-0.166996	-0.186838	-0.966995	-1.299972	-0.077662	-0.020512	-4.032949	-0.035515	-0.103186	-0.022875	-0.153078	-0.624399	-0.000096																																																																																									0.442445										-6.270000			-0.000001	-0.000004				12.758801																																																							0.000000	
 1 	 6				0.000000	0.000000			0.000000														0.000000		4.526794					3.775528					-0.000469	-0.000725	-1.167814	-0.010255	-0.101087	-0.002931	-0.067387	-0.005318	-0.019042	-0.000027	-0.830024	-0.000016	-0.000015	-1.793909	-0.166960	-0.186797	-0.966730	-1.299793	-0.077641	-0.020507	-4.031958	-0.035496	-0.103155	-0.022864	-0.152960	-0.624579	-0.000096																																																																																									0.442446										-6.270000			-0.000001	-0.000004				12.758658																																																							0.000000	
 1 	 7				0.000000	0.000000			0.000000														0.000000		5.034660					3.775471					-0.000469	-0.000725	-1.167773	-0.010254	-0.101079	-0.002931	-0.067382	-0.005318	-0.019041	-0.000027	-0.830002	-0.000016	-0.000015	-1.793846	-0.166950	-0.186786	-0.966659	-1.299746	-0.077636	-0.020506	-4.031714	-0.035426	-0.103033	-0.022824	-0.152709	-0.625062	-0.000096																																																																																									0.442446										-6.270000			-0.000001	-0.000004				12.758549																																																							0.000000	
 1 	 8				0.000000	0.000000			0.000000														0.000000		4.899208					3.775732					-0.000469	-0.000725	-1.167533	-0.010251	-0.101035	-0.002930	-0.067355	-0.005316	-0.019034	-0.000027	-0.829879	-0.000016	-0.000015	-1.793474	-0.166897	-0.186726	-0.966264	-1.299479	-0.077605	-0.020499	-4.030223	-0.035530	-0.103252	-0.022886	-0.153133	-0.624254	-0.000096																																																																																									0.442439										-6.270000			-0.000001	-0.000004				12.758511																																																							0.000000	
 1 	 9				0.000000	0.000000			0.000000														0.000000		4.831494					5.143569					-0.000468	-0.000723	-1.164955	-0.010218	-0.100575	-0.002921	-0.067078	-0.005300	-0.018966	-0.000029	-0.828572	-0.000016	-0.000015	-1.789548	-0.166167	-0.185928	-0.961797	-1.296665	-0.077283	-0.020423	-4.014398	-0.035497	-0.103171	-0.022867	-0.152963	-0.624565	-0.000096																																																																																									0.304451										-6.270000			-0.000001	-0.000003				12.756631																																																							0.000000	
 1 	 10				0.000000	0.000000			0.000000														0.000000		4.933077					3.775753					-0.000468	-0.000723	-1.165236	-0.010222	-0.100621	-0.002922	-0.067105	-0.005301	-0.018972	-0.000029	-0.828701	-0.000016	-0.000015	-1.789943	-0.166243	-0.186013	-0.962255	-1.296947	-0.077315	-0.020431	-4.016003	-0.035515	-0.103212	-0.022876	-0.153067	-0.624384	-0.000096																																																																																									0.442435										-6.270000			-0.000001	-0.000003				12.756845																																																							0.000000	
 1 	 11				0.000000	0.000000			0.000000														0.000000		5.068524					3.775726					-0.000470	-0.000726	-1.169156	-0.010272	-0.101264	-0.002936	-0.067506	-0.005327	-0.019077	-0.000026	-0.830582	-0.000016	-0.000015	-1.796017	-0.167256	-0.187129	-0.968915	-1.301296	-0.077777	-0.020545	-4.040524	-0.035498	-0.103162	-0.022865	-0.152999	-0.624530	-0.000096																																																																																									0.442435										-6.270000			-0.000001	-0.000003				12.759587																																																							0.000000	
